"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Ifngr2",3.86087986300931e-167,5.31748973035048e-163,1.03479766953837,3.73104808472529e-167,"8",3598.60539814065,"1",5.29113776186233
"Gdpd5",1.6051304426576e-78,1.1438159534378e-74,1,1.6051304426576e-78,"6",742.031026275785,"4",-2.60413555470824
"Cish",1.11808746575667e-73,5.13304292263977e-70,1.03479766953837,1.08048896771817e-73,"9",4449.46976186538,"1",-3.5226477007237
"Chsy1",3.13478482467519e-70,1.09321379683905e-66,1.02168837995027,3.06823967678654e-70,"8",3799.37135450959,"2",-2.59984541601902
"Als2cl",4.08057218130703e-68,1.0963056408991e-64,1.06095075238859,3.84614664923905e-68,"9",5073.67561282678,"5",2.96096788235994
"Ccdc50",1.20176380577735e-67,2.6993906892726e-64,1.05749406264185,1.13642605498426e-67,"7",1299.0086219146,"3",-2.33698379902471
"Car2",9.99076035694553e-66,1.9909385763721e-62,1.02168837995027,9.77867670123821e-66,"6",1068.60208864614,"2",-2.67963329717515
"Rab3ip",1.21461099275313e-64,2.15025301192328e-61,1.00631389496545,1.20699018351012e-64,"8",2524.99154691957,"3",2.45117426717382
"Tcrg-C2",1.12080797720086e-60,1.67836563977808e-57,1.05749406264185,1.05987165015455e-60,"7",1903.95773174629,"3",-4.91651809723723
"Gm49751",3.190274220546e-60,5.90125007964809e-57,0.7704772307147,4.14064698263267e-60,"5",494.92311375517,"1",-4.83786129134834
"Trim13",8.27780808912955e-60,9.44485930191253e-57,1.13554144414917,7.28974546176241e-60,"6",1079.79378183194,"5",2.06908990451734
"Adgrg1",3.65291909173036e-59,4.08920982572375e-56,1.06095075238908,3.44306187964391e-59,"8",2409.39885710564,"5",-5.10577575769373
"Ift80",4.45209337744825e-59,4.77725333120282e-56,1.02168837995027,4.35758443065091e-59,"6",1072.96828963742,"2",2.74677719953592
"Ccr7",7.54099576434814e-58,7.15267662608512e-55,1.07326726614623,7.02620493721525e-58,"9",42305.1295023598,"2",4.39783274655207
"Crmp1",1.42346108775463e-54,9.52205936560729e-52,1.42036273483403,1.00218138144899e-54,"6",845.212107630861,"1",-3.33446298399321
"Itgb1",3.51980115944369e-54,2.9551445962179e-51,1.06095075238859,3.31759146361819e-54,"9",35779.9921436804,"5",-4.02177646943028
"Nsg2",1.0871338902134e-52,8.5904260142208e-50,1.06095075238908,1.02467893798592e-52,"8",2386.29764612853,"5",3.33604993659039
"Igfbp4",2.78411837540311e-52,2.13027447320243e-49,1.03479766953837,2.69049540539179e-52,"9",6532.25017526097,"1",7.42953794591038
"Galnt3",7.30815652654858e-52,7.11492365512316e-49,0.7704772307147,9.48523361263963e-52,"5",457.038486025809,"1",-7.21251982556897
"Rapgef4",1.4369326660403e-51,9.0173566371903e-49,1.13554144414917,1.26541631170226e-51,"5",665.549533722214,"5",4.40614213319004
"Endod1",1.9207626684969e-51,1.1479612694042e-48,1.13554144414917,1.69149499421051e-51,"7",1410.65565536182,"5",-2.8075799268353
"Cdh1",2.80368745760495e-51,1.69229023232375e-48,1.07326726614623,2.61229196682027e-51,"9",10288.2202850254,"2",-4.27002735079042
"Sqle",8.66518050780232e-51,5.25541646981439e-48,1.02168837995027,8.4812362339132e-51,"7",1408.27932329333,"2",-1.97071955393928
"Gm43698",1.24430968472573e-50,9.59032322206596e-48,0.7704772307147,1.61498566748234e-50,"5",383.393582248796,"1",6.90629183338489
"Ppic",7.1713965836658e-50,4.0882697644162e-47,1,7.1713965836658e-50,"5",688.451946433616,"4",3.51940037765028
"Amigo2",9.30010852775486e-49,6.61653590257063e-46,0.7704772307147,1.20705819160003e-48,"5",367.903665434023,"1",3.90199391121578
"B4galnt4",6.62028706695809e-48,3.49453078808469e-45,1,6.62028706695809e-48,"6",1248.11466218159,"4",-4.67255400090014
"Ext1",8.39595901188522e-48,4.04119823271001e-45,1.05749406264185,7.93948572241653e-48,"6",925.714850014492,"3",1.71987033777871
"Itga1",6.05087938301761e-47,2.77069312931807e-44,1.07326726614623,5.63781228951895e-47,"9",4129.82422552331,"2",-7.74865898841424
"Tmie",6.38753218152387e-46,2.5729632264776e-43,1.17938087512306,5.41600454633231e-46,"5",448.792810616057,"2",4.10707215063244
"A630023P12Rik",2.51515975140123e-45,1.15632441216033e-42,1,2.51515975140123e-45,"4",269.169170337561,"4",4.30389554439962
"Trgv2",7.95130454456709e-45,3.54131226153657e-42,1,7.95130454456709e-45,"5",715.710094980601,"4",-5.90286028277937
"Zfp281",1.03801529707556e-44,4.48296788300632e-42,1,1.03801529707556e-44,"9",4206.14088913161,"4",1.66536432961253
"Pfkp",1.29812028623766e-43,5.06995319011207e-41,1.07326726614623,1.209503287004e-43,"9",12217.6406344777,"2",-1.34485829675596
"Bambi-ps1",1.58828196164136e-43,6.4674841478036e-41,1,1.58828196164136e-43,"4",328.847549426996,"4",4.40348594102789
"Plcd1",2.48610201339568e-43,1.24289152308005e-40,0.7704772307147,3.22670406637397e-43,"5",372.629711912763,"1",-6.32349981379348
"Il6st",3.00807257462749e-43,1.1508167676853e-40,1.03479766953837,2.90691858242146e-43,"9",5501.66323122755,"1",2.4645460526004
