"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Itgae",7.8071542595452e-29,1.89333812821517e-24,0.587679299586752,1.32847188339543e-28,"9",12091.7007051636,"1",3.32456746107897
"Chsy1",1.14860784876147e-20,2.27312115523302e-16,0.360076695051267,3.18989777607778e-20,"8",3799.37135450959,"4",-1.3604721968685
"Ifitm10",2.4724786397601e-14,2.75623952532614e-10,0.426157514614546,5.80179523995119e-14,"7",1761.62351495867,"1",-1.70972348325943
"1700025G04Rik",5.16030450410962e-12,1.37213255149589e-08,0.765697159426268,6.73935437866349e-12,"6",785.291365541693,"5",-1.4781677196495
"Rhoq",4.20458779570566e-12,1.02505861453331e-08,1.46147216400106,2.87695373149961e-12,"4",247.635878023276,"2",-1.33637440051356
"Gm49751",8.22124437997886e-12,1.37213255149589e-08,1.29055136442999,6.37033488675594e-12,"5",494.92311375517,"2",-2.00602190059438
"Plcd1",8.0031536073593e-12,1.37213255149589e-08,1.21744066041288,6.57375251837335e-12,"5",372.629711912763,"3",-3.00146421846243
"Bspry",1.85640689518786e-11,2.71650930621586e-08,1.21744066041288,1.52484384295024e-11,"5",433.619572440957,"3",-2.68381228200918
"Ccr5",2.79946098977231e-11,4.23477932438141e-08,1.04683188032768,2.6742221386074e-11,"8",2171.01669832577,"3",-2.03137428339056
"Dapk2",5.1241164648384e-11,9.37226415702528e-08,0.779202406519195,6.57610451657682e-11,"6",928.319522024179,"1",-2.48038835753019
"Tjp2",1.089360131481e-10,9.6555296695304e-08,1.461768176112,7.45234538063671e-11,"4",227.876873366684,"5",-2.44608543850725
"Cd6",1.19530124074085e-10,1.16670554984252e-07,1.04295095128194,1.14607617862723e-10,"9",22763.3997578134,"5",-0.518956453862885
"Ifngas1",1.63779223206081e-10,1.16670554984252e-07,1.46147216400106,1.12064551922565e-10,"3",115.130519142343,"2",-2.85891842464612
"Fhl2",1.97017569910716e-10,1.45048826093939e-07,1.29055136442999,1.52661548653458e-10,"5",411.459056262025,"2",-1.49979608501832
"Lancl3",2.06443623824875e-10,1.06675195868709e-07,2.29843693809047,8.98191376946750e-11,"3",99.3556670100039,"1",-5.14287906933322
"Cldnd1",4.7468882119186e-10,4.05416061950879e-07,1.04295095128194,4.55140120068346e-10,"7",1722.78232640889,"5",-0.64645127950039
"Trgv2",7.39047230824564e-10,8.09174243371032e-07,0.765697159426268,9.65195210307855e-10,"5",715.710094980601,"5",-2.47426184513641
"Runx2",8.24375979014911e-10,1.37848167050947e-06,0.426157514614546,1.93443961620751e-09,"7",1806.12907690903,"1",-1.91225637310692
"Smad3",9.68544372135612e-10,1.46944260655789e-06,0.426157514614546,2.27273798752944e-09,"8",2166.9691220499,"1",-0.780182380050918
"Hopx",2.39435551729727e-09,1.46944260655789e-06,1.04295095128194,2.29575083502656e-09,"7",2091.39393371808,"5",-1.09213409893591
"Plekhf1",2.42325043034785e-09,1.31257190578819e-06,1.461768176112,1.65775289813271e-09,"4",216.82166691776,"5",-2.75874850811928
"Pogk",2.5368789551879e-09,1.98061844555438e-06,0.702103910843751,3.61325284762937e-09,"6",777.289429408291,"2",-1.55085600752768
"Adgrg1",2.81568245167678e-09,1.77705770316491e-06,0.940907035775772,2.99251928683397e-09,"8",2409.39885710564,"2",-1.8146765145082
"Itgb1",3.40775933333838e-09,2.95152390409012e-06,0.587679299586752,5.79867171726939e-09,"9",35779.9921436804,"1",-1.48053163415322
"Tmem37",4.23732834285139e-09,1.37848167050947e-06,2.29843693809047,1.84356954616807e-09,"3",131.704321223073,"1",-2.09732176295108
"Zbtb32",4.15903989844712e-09,1.46944260655789e-06,1.75383380266939,2.3713990984305e-09,"4",281.008775528425,"4",-2.11530565051054
"Adora2a",4.60805700499389e-09,3.3181267426271e-06,0.659750049040985,6.98454969680135e-09,"6",1162.0448408954,"4",-1.42371015848267
"Galnt3",4.64228731808665e-09,2.01277979072044e-06,1.21744066041288,3.81315284517626e-09,"5",457.038486025809,"3",-2.66247637489287
"Pdgfb",5.02729144474042e-09,1.96100779570889e-06,1.46147216400106,3.4398817634523e-09,"4",274.521905392,"2",-1.70458395525942
"Serpinb6b",5.73828751271709e-09,3.75746576356357e-06,0.702103910843751,8.17298896088062e-09,"6",1081.3367805847,"2",-1.34949882441082
"Actn2",8.29631637092828e-09,3.26344209680368e-06,1.24935888413412,6.64045893960894e-09,"5",454.685118111804,"4",1.35983616018934
"Arhgef12",1.0326641135063e-08,6.56109838918419e-06,0.659750049040985,1.565235372104e-08,"6",783.581546631782,"4",1.22988971333172
"Endod1",1.51710236683964e-08,6.28961951507347e-06,1.07427717211175,1.41220758126825e-08,"7",1410.65565536182,"4",-1.01141512631415
"Fasl",2.2085053935026e-08,9.29233933953942e-06,0.940907035775772,2.34720892663078e-08,"9",7265.35878519852,"2",-1.93952064614534
"Ppm1j",2.82499653541662e-08,1.56476705939455e-05,0.659750049040985,4.28191940193569e-08,"6",978.540152424122,"4",-1.95052264955324
"Spry1",2.8803451179815e-08,1.38884893696191e-05,0.779202406519195,3.69653005930565e-08,"6",928.794381444749,"1",-1.1250300618287
"Dmwd",3.50409474969589e-08,6.56109838918419e-06,2.29843693809047,1.52455553233802e-08,"3",96.8616852981606,"1",-4.32413823292421
"Ccl4",3.88546230635786e-08,2.18298077987623e-05,0.603975485314252,6.43314571672761e-08,"9",5722.58724193707,"4",-1.87957063539752
"H2-Q2",4.17874641201154e-08,7.40322917184217e-06,2.29843693809047,1.818081820197e-08,"4",139.926853232454,"1",-3.61339157587657
"Klrc2",5.41194459248857e-08,1.38884893696191e-05,1.46147216400106,3.70307743506542e-08,"4",217.960603214815,"2",-2.386106094999
"Slamf7",6.98555951324061e-08,2.21172748458283e-05,1.04683188032768,6.67304812216262e-08,"7",1435.89122205609,"3",-1.87746345401537
"Syne3",7.20493132865801e-08,1.98916300672363e-05,1.29055136442999,5.58283190211517e-08,"5",638.72004791669,"2",-1.53328425057121
"Slc9a7",7.43661901221223e-08,2.00305186780949e-05,1.29055136442999,5.76235802555354e-08,"5",473.736872454943,"2",-1.4949441654745
"Zcchc18",7.59971857539805e-08,3.14342985933179e-05,0.765697159426268,9.92522759401703e-08,"5",668.093614736445,"5",-1.08994188231544
"Gpr174",8.24742406838564e-08,2.40733777586283e-05,1.10969705170479,7.43214020053078e-08,"7",1495.7535165945,"2",-0.721869398616405
"Nbeal2",1.20683161366252e-07,5.73867886521423e-05,0.587679299586752,2.0535547440775e-07,"9",12079.7085606677,"1",-0.622841507869896
"Katnb1",1.39603212304842e-07,3.95961579241719e-05,1.04683188032768,1.3335781506878e-07,"7",1884.32292719952,"3",-0.872145085303887
"Pdcd1",1.37626305879929e-07,4.05363941674098e-05,0.987497653217561,1.39368742225869e-07,"9",6270.14702394271,"3",-1.80260671307268
"Cxcr3",1.63509198741358e-07,7.14504441397413e-05,0.603975485314252,2.70721581781226e-07,"9",9728.77638541077,"4",-1.94227685927332
"Prdm1",1.77210668715886e-07,4.82523793552835e-05,1.04683188032768,1.69282835234646e-07,"7",1673.78612282531,"3",-1.5883520264493
"Dll1",2.1880297264368e-07,0.000173385342800213,0.243044014746729,9.00260690935714e-07,"2",21.336250384352,"1",-5.19843470646599
"Rapsn",2.38585002832372e-07,3.55273900290261e-05,2.08064419518776,1.14668814295201e-07,"3",62.2314393586551,"4",-3.78127679632855
"Fut8",2.56745710892257e-07,6.74701666152698e-05,1.04295095128194,2.46172373280524e-07,"7",1908.1959040856,"5",-0.492000076180321
"C030034L19Rik",3.0274966376899e-07,3.95961579241719e-05,2.29843693809047,1.31719804338209e-07,"3",69.8933290245835,"1",-5.38362700806634
"Ifngr2",3.77909271749112e-07,0.000173129210983347,0.426157514614546,8.86783076184697e-07,"8",3598.60539814065,"1",0.854052565187399
"Tcrg-C2",3.94353861780509e-07,9.34238020024679e-05,1.07427717211175,3.67087630658027e-07,"7",1903.95773174629,"4",-1.45664595320279
"Adgrg3",4.40918520626854e-07,0.000139099352274753,0.765697159426268,5.75839305656079e-07,"5",599.260632864933,"5",1.05804203345937
"Cyp1a1",4.65781832860688e-07,0.000168859169971736,0.589659428901602,7.89916704509129e-07,"2",23.9810943624816,"5",10.0433473378521
"Cobll1",4.7956364025713e-07,0.000160597410015364,0.659750049040985,7.26886858067271e-07,"6",1192.48186843004,"4",-1.65466596441472
"Ppp2r2c",5.188403112264e-07,0.000158315214572053,0.765697159426268,6.77605114292397e-07,"5",581.837564782206,"5",-2.39994224917439
"Wdr95",5.24498624394232e-07,0.000104968285113651,1.24935888413412,4.19814219160686e-07,"5",426.104860397958,"4",-1.66239169745738
"Camkv",5.56047573439684e-07,0.000169044978100572,0.653849882954857,8.50420850313244e-07,"1",14.5937042339449,"1",-5.20496827897657
"Cd38",5.60832426529517e-07,0.000160597410015364,0.765697159426268,7.32446789994291e-07,"6",772.097628457373,"5",-1.30572742022204
"Klra7",5.44398530112395e-07,7.03589045099211e-05,2.08064419518776,2.61649027436558e-07,"3",105.237321345621,"4",-3.15137840845211
"Lamc1",6.34850476436361e-07,0.000169044978100572,0.765697159426268,8.29114315785173e-07,"6",953.986747668338,"5",-1.7154989943382
"Epha3",6.96833515778129e-07,7.85614630082298e-05,2.29843693809047,3.03177130609924e-07,"3",53.7010295783388,"1",-4.76721550415096
"Gzmb",7.121323281707e-07,0.000227238822177909,0.587679299586752,1.21177031192261e-06,"9",9249.58749905734,"1",-1.61882922288294
"Gm4208",7.60401848802561e-07,0.00024982654064829,0.556142136275827,1.36727969201282e-06,"2",43.5507307465393,"3",-3.58912811066945
"Fgf13",7.74466783973873e-07,0.000160428856544731,1.10969705170479,6.9790830099448e-07,"7",1727.26292861534,"2",-0.796782144604543
"Bcl2l1",8.93996660434896e-07,0.000169044978100572,1.04683188032768,8.54002134664694e-07,"7",1384.46339538457,"3",-1.16568513304403
"C1galt1",8.70870803092673e-07,0.000169044978100572,1.04683188032768,8.31910853555654e-07,"7",1482.98687464734,"3",-0.459140765265878
"Edaradd",8.68024363116177e-07,0.000141080155656922,1.46147216400106,5.9393834826097e-07,"4",141.526575487188,"2",-3.18864090704914
"Ggt1",8.80902964198276e-07,0.000168859169971736,1.10969705170479,7.93822929280542e-07,"7",1329.94936189919,"2",1.11796800699224
"Gpr160",8.93498278052147e-07,0.000160597410015364,1.24935888413412,7.15165425562562e-07,"5",694.468309079419,"4",-1.58714898624287
"Mapre2",1.17982177032332e-06,0.00021496466156892,1.04295095128194,1.13123418591559e-06,"9",4399.5430336627,"5",-0.751287134500652
"St3gal2",1.20158708937312e-06,0.000169044978100572,1.46147216400106,8.22175829940913e-07,"4",262.038981269127,"2",-2.34220157049283
"Gm11714",1.23327927569396e-06,0.000131848945614265,2.29843693809047,5.36573031548372e-07,"3",50.0592766777533,"1",-1.88744027163611
"Sh2d1a",1.23107405594019e-06,0.000304750725436879,0.702103910843751,1.75340720501151e-06,"6",1104.91309074183,"2",-1.20539861886112
"Trp53inp1",1.29087349713011e-06,0.000241953941183223,0.987497653217561,1.30721677456555e-06,"9",4139.30379058029,"3",-0.988786944580814
"Rasl12",1.54000832268973e-06,0.000458896377661712,0.556142136275827,2.76909124887084e-06,"2",34.8501033902758,"3",-4.57893896293963
"Tm6sf1",1.61177140575141e-06,0.000262028021088034,1.10969705170479,1.45244272143942e-06,"7",1421.97136493797,"2",-0.76547578928691
"Ly6c2",1.80462941429283e-06,0.000329335871581985,0.940907035775772,1.91796781794168e-06,"9",13174.0764991988,"2",-1.17220321640563
"Itih5",2.21249153724538e-06,0.000269697485226943,1.46147216400106,1.51387867093428e-06,"3",87.4894986354485,"2",-2.31229305337765
"Tmie",2.19218160561763e-06,0.000463673883494153,0.765697159426268,2.86298777346937e-06,"5",448.792810616057,"5",1.19610779688872
"Nfatc1",2.53412987860449e-06,0.000407465593793449,1.04295095128194,2.42976898912615e-06,"9",11543.3825961009,"5",-0.374755528033743
"Ccdc50",2.61066052454585e-06,0.000407465593793449,1.07427717211175,2.43015544993287e-06,"7",1299.0086219146,"4",-0.568697940160985
"Il2rb",2.96385971514056e-06,0.000463673883494153,1.04295095128194,2.84180163170428e-06,"9",38885.7209965195,"5",-0.892931932890141
"Kdelc2",3.9204969462002e-06,0.000300123029834729,2.29843693809047,1.70572308564503e-06,"3",119.888149325585,"1",-1.99128945242327
"Socs6",3.90698905436953e-06,0.000888413136775927,0.659750049040985,5.92192309807136e-06,"6",849.844852089769,"4",-0.732089380973082
"F2rl2",4.28463647139248e-06,0.000527621868218918,1.27181989474669,3.36890190905989e-06,"4",221.59388211918,"3",-1.34704732463575
"Pvrig",4.72470678050976e-06,0.000511938294477279,1.46147216400106,3.23284075939904e-06,"4",146.494937298748,"2",-2.06230882807342
"Klra6",5.81331409070001e-06,0.00141881085387316,0.556142136275827,1.04529286876706e-05,"2",37.1708033632778,"3",-2.45230775379491
"Serpina3f",5.97633532858514e-06,0.000727942925269438,1.27181989474669,4.69904217827591e-06,"4",260.067637467352,"3",-1.897184687168
"Rgcc",6.0690815621018e-06,0.00141522357654372,0.587679299586752,1.03271998288344e-05,"9",6340.67054965858,"1",0.990272685343593
"Als2cl",6.58348991430668e-06,0.000917998619278505,1.04295095128194,6.31236771606045e-06,"9",5073.67561282678,"5",0.65635086949416
"Dnmbp",6.67199053501412e-06,0.00081839143821442,1.24935888413412,5.34033144498604e-06,"5",496.47168359264,"4",0.538778397464782
"Ermp1",6.94298577830812e-06,0.000930401811884058,1.07427717211175,6.46293708788393e-06,"7",1395.78612069815,"4",-0.44685518383824
