"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Ifngr2",1.8420967961599e-146,2.19174915369051e-142,1.19783614355067,1.53785374241546e-146,"8",3598.60539814065,"1",4.89524161964684
"Gdpd5",1.07890954413013e-125,7.92032764879158e-122,0.970705979902783,1.11146893752338e-125,"6",742.031026275785,"4",-3.29281291587655
"Adgrg1",9.64960272116785e-122,3.82707152734108e-118,1.19783614355067,8.055862041835e-122,"8",2409.39885710564,"1",-7.39847494609105
"Nsg2",3.70081841311097e-114,9.12741255145134e-111,1.44466089722412,2.56172117638264e-114,"8",2386.29764612853,"2",5.18851318451099
"Cish",1.40498007614573e-113,2.24712569387676e-110,1.78216786891736,7.88354509499284e-114,"9",4449.46976186538,"5",-4.40305964214549
"Tcrg-C2",2.89629181552061e-101,5.98596347479453e-98,1.14929844150156,2.52005198209144e-101,"7",1903.95773174629,"3",-6.40393436609412
"Ccr7",1.35027219906577e-98,1.85175624434214e-95,1.48461991457984,9.09506996238771e-99,"9",42305.1295023598,"2",5.8125985202399
"Ccdc50",6.75058329118957e-95,1.04639175509035e-91,1.14929844150156,5.87365565585379e-95,"7",1299.0086219146,"3",-2.77567080402262
"Sqle",2.41207393400298e-87,3.32346494232672e-84,1.14929844150156,2.09873593046172e-87,"7",1408.27932329333,"3",-2.60131938995258
"Cdh1",1.37871557640993e-84,1.18718849786946e-81,1.65512506482816,8.32997823371777e-85,"9",10288.2202850254,"1",-5.54684340882024
"Gm49751",4.28710937374298e-82,6.4097286456377e-79,0.866578775263443,4.9471663697737e-82,"5",494.92311375517,"5",-5.67288125048975
"B4galnt4",1.26648240055545e-81,1.78365944645062e-78,0.843299394429178,1.50181822603196e-81,"6",1248.11466218159,"5",-6.16584747769455
"Chsy1",2.23451967749315e-79,1.69570666428068e-76,1.44466089722412,1.54674337886955e-79,"8",3799.37135450959,"2",-2.77066230589254
"Rab3ip",5.60903189869592e-75,3.95248080974855e-72,1.44466089722412,3.88259411566655e-75,"8",2524.99154691957,"2",2.6537492403556
"Jaml",1.90550917389387e-73,1.09386766085679e-70,1.65512506482816,1.15127806012152e-73,"9",5580.89091825285,"1",-2.68073492965106
"Rbpj",1.7470142435266e-72,1.25430380516934e-69,1.24065073470077,1.40814348040341e-72,"7",1838.5450618073,"5",-3.24761921398377
"Capg",7.46873791473179e-71,3.51338305829481e-68,1.78216786891736,4.19081616552145e-71,"9",4088.14037098215,"5",-2.98507791717039
"Trgv2",1.70060748852626e-69,1.2436437942452e-66,1.08270810690998,1.57069802809526e-69,"5",715.710094980601,"1",-7.40839392671572
"Lef1",8.7683719281696e-69,3.97383984595074e-66,1.65512506482816,5.29770958974629e-69,"9",13002.0693177998,"1",3.85998386967056
"Crmp1",8.79691733289804e-68,7.43352044698948e-65,0.843299394429178,1.04315470768867e-67,"6",845.212107630861,"5",-3.73365920756674
"Dgka",2.92364649560649e-67,1.11335270727908e-64,1.78216786891736,1.64050005984148e-67,"9",23356.1799500957,"5",1.72746285370736
"Tdrp",7.81529591104573e-66,3.50455307345339e-63,1.44466089722412,5.40977881111245e-66,"8",3323.15844247546,"2",5.66250713338103
"Krt83",1.94187760493093e-65,1.27934510588967e-62,0.940550500274688,2.06461811924379e-65,"4",317.058489236299,"2",-5.06878525625456
"Aff3",2.59132429063024e-65,1.83610726194971e-62,0.838085428418039,3.09195721911261e-65,"6",1167.29696646811,"1",3.18196096381721
"Amigo2",5.7233697371875e-65,3.36124293795184e-62,0.970705979902783,5.89608991361184e-65,"5",367.903665434023,"4",4.83019167034916
"Bach2",6.22795695525554e-64,3.04485822086921e-61,1.12119458807818,5.55475117475438e-64,"7",1824.16214511344,"1",3.10164875936128
"Abtb2",3.50166128520236e-63,1.27586267320722e-60,1.44871264969737,2.41708477242456e-63,"9",6802.38574983847,"4",1.98182047812931
"Gzmb",4.30340189948209e-63,1.69769178268169e-60,1.29024101381722,3.33534731371648e-63,"9",9249.58749905734,"3",-5.86831931306682
"Rgs1",1.8260665766002e-60,6.04476109923053e-58,1.48461991457984,1.2299892778395e-60,"9",19362.1641183268,"2",-2.54801439129299
