"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Ifngr2",1.20126044311219e-113,1.60199979478454e-109,1.06868701799913,1.12405262053364e-113,"8",3598.60539814065,"1",-4.33606674985456
"Cish",2.05652987693346e-75,1.46548319030279e-71,1,2.05652987693346e-75,"9",4449.46976186538,"4",3.55727255010877
"Ift80",1.55320119664822e-57,6.97924883265612e-54,1.05724001657859,1.4691093529307e-57,"6",1072.96828963742,"1",-2.70356315648631
"B4galnt4",1.32333551012144e-55,4.7150444225627e-52,1,1.32333551012144e-55,"6",1248.11466218159,"2",5.19105157365143
"Nsg2",2.13300781949499e-55,4.79806474449379e-52,1.267162035624,1.68329523733293e-55,"8",2386.29764612853,"5",-3.40921120143601
"Trim13",1.97241119135395e-54,4.68513404986276e-51,1,1.97241119135395e-54,"6",1079.79378183194,"3",-1.97198196113838
"Gdpd5",1.80597989440134e-51,3.67697506500113e-48,1,1.80597989440134e-51,"6",742.031026275785,"2",2.02054703391303
"Capg",4.04919807532371e-51,7.21364637118918e-48,1,4.04919807532371e-51,"9",4088.14037098215,"3",2.52414269077695
"Ccr7",2.52926571503382e-48,4.005232774518e-45,1,2.52926571503382e-48,"9",42305.1295023598,"3",-3.97409051809812
"Jaml",5.79502283871909e-48,6.56779850024013e-45,1.2575091256896,4.60833461987099e-48,"9",5580.89091825285,"1",2.1482638794371
"Sqle",5.35628041521793e-46,6.26818247142496e-43,1.10714576536761,4.83791798945233e-46,"7",1408.27932329333,"5",1.86864610368521
"Itga1",1.13448343644172e-44,1.06331165507478e-41,1.267162035624,8.95294685721119e-45,"9",4129.82422552331,"5",7.52680731742327
"Galnt3",2.14637623479354e-44,2.35308877679058e-41,1,2.14637623479354e-44,"5",457.038486025809,"2",4.30794667021249
"Il6st",3.8640966365359e-44,3.93365037599355e-41,1,3.8640966365359e-44,"9",5501.66323122755,"2",-2.48494834291035
"Car2",1.65575800132625e-42,1.4771672648511e-39,1.05724001657859,1.56611363111715e-42,"6",1068.60208864614,"1",2.10145362665628
"Mfhas1",1.83602523942694e-42,1.4771672648511e-39,1.10714576536761,1.65834102144384e-42,"7",1718.0059201915,"5",-1.7396290069183
