"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Nsg2",5.35979896486341e-118,7.28649676057051e-114,1.04834816177496,5.11261350025997e-118,"8",2386.29764612853,"1",-5.26993195998725
"Cish",1.1042456121851e-115,4.81793162870095e-112,1.63324323358086,6.76106038268447e-116,"9",4449.46976186538,"4",4.44462741568526
"Ifngr2",2.83601577582812e-96,1.28516137134788e-92,1.04834816177496,2.70522320659812e-96,"8",3598.60539814065,"1",-3.94923040508638
"Capg",1.15571661311498e-92,2.54317437431325e-89,1.61916474706562,7.13773329866194e-93,"9",4088.14037098215,"2",3.43820626776654
"Gdpd5",6.10850058552177e-92,1.06233920260997e-88,1.6389934614287,3.72698288875235e-92,"6",742.031026275785,"5",2.7083785600128
"B4galnt4",2.52904642039582e-90,5.49762026476761e-87,1.09271429720464,2.31446264303997e-90,"6",1248.11466218159,"3",6.70306756782758
"Ccr7",5.59897594145593e-86,7.04036759536879e-83,1.61916474706562,3.45794086216542e-86,"9",42305.1295023598,"2",-5.40844103307579
"Sqle",5.13627274896594e-81,8.37713552808769e-78,1.09229101900081,4.70229330793583e-81,"7",1408.27932329333,"3",2.49803387537659
"Jaml",3.91447070337803e-80,3.93202971026957e-77,1.57648397549081,2.48303868877534e-80,"9",5580.89091825285,"3",2.8049552876537
"Adgrg1",5.3915927825476e-76,7.32971956632885e-73,1.04834816177496,5.14294103727817e-76,"8",2409.39885710564,"1",5.47650433042341
"Abtb2",7.66571981897267e-72,6.16021084895646e-69,1.61228009794363,4.75458316997762e-72,"9",6802.38574983847,"5",-2.12202540707718
"Cdh1",8.72895770202174e-71,6.43008129335411e-68,1.61228009794363,5.41404543364084e-71,"9",10288.2202850254,"5",5.03935810748986
"Krt83",9.56491182997595e-70,1.33095158892394e-66,0.787863848896662,1.21403105922055e-69,"4",317.058489236299,"2",5.53339850867732
"Lef1",4.83063112629068e-64,3.03711064329677e-61,1.61916474706562,2.98340927632296e-64,"9",13002.0693177998,"2",-3.71264948385375
"Tcrg-C2",8.82295743434188e-64,7.9963758821841e-61,1.04834816177496,8.41605656979803e-64,"7",1903.95773174629,"1",4.83742241084642
"Rbpj",2.60962951198189e-61,2.99779909853434e-58,0.775411363935081,3.36547751729928e-61,"7",1838.5450618073,"5",2.96377351835553
"Txk",7.22447732603948e-60,7.03322939634128e-57,0.86114947678212,8.38934182836106e-60,"8",3403.63483252872,"5",-3.57147991334698
"Ccdc50",1.55228520585007e-58,1.17238239697426e-55,1.04834816177496,1.48069626336911e-58,"7",1299.0086219146,"1",2.12380129229952
"Itgae",1.352459486769e-57,8.79558057908355e-55,1.15340536092156,1.17257950464908e-57,"9",12091.7007051636,"1",4.85219181333486
"Galnt3",6.27812039871945e-57,4.4125352085759e-54,1.01388167678131,6.19216279620531e-57,"5",457.038486025809,"5",4.93720332989255
"Tdrp",3.4675816846393e-56,2.73278004197633e-53,0.86114947678212,4.0266896492775e-56,"8",3323.15844247546,"5",-5.20093741193049
"Itga1",1.11234422306077e-55,4.45042305574595e-53,1.61916474706562,6.86986438579925e-56,"9",4129.82422552331,"2",8.39690625239122
"Aff3",2.97479847230795e-53,1.64246991333646e-50,1.12229778174403,2.6506320521147e-53,"6",1167.29696646811,"2",-2.86067712425403
"Nedd4l",1.21786546499441e-52,5.66912879331114e-50,1.27569708679484,9.5466665057162e-53,"6",1138.44145888083,"1",-2.09608493202368
"Vipr1",1.98773935206171e-49,9.96039200217793e-47,1.09391976816347,1.81707965237599e-49,"7",1630.29334456483,"4",-3.71996377864725
"Dgka",2.09072500439413e-49,9.96039200217793e-47,1.15340536092156,1.81265414157921e-49,"9",23356.1799500957,"1",-1.46950639078643
"Limd2",4.10444066286718e-49,1.32652415767882e-46,1.63324323358086,2.51306148311312e-49,"9",20154.9652153319,"4",-1.50327913334386
"Il6st",6.30747452682868e-49,2.03649677641428e-46,1.57648397549081,4.00097598509681e-49,"9",5501.66323122755,"3",-2.63084759602098
