"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Ribosome","20/153",6.939146596814e-07,0.00017833606753812,0,0,4.08898667122351,57.9855799966632,"RPL32;RPS7;RPLP1;RPL12;RPS6;RPLP0;RPL36A;RPL10A;RPS28;RPS16;RPS19;RPS18;RPS29;RPL35;RPL13;RPS20;RPL15;RPS2;RPS27A;RPS10"
"2","Taurine and hypotaurine metabolism","3/11",0.00626963217852706,0.407172486261343,0,0,10.0214979195562,50.8294141537896,"GGT5;GGT7;GGT1"
"3","Leukocyte transendothelial migration","10/112",0.00746372974874087,0.407172486261343,0,0,2.63277860163673,12.8945598188138,"CLDN10;MAPK11;ACTN1;TXK;PECAM1;PIK3R3;PIK3R2;PTK2;RAPGEF3;RAPGEF4"
"4","FoxO signaling pathway","11/132",0.00854760391296633,0.407172486261343,0,0,2.44230524034171,11.6305122366486,"MAPK11;BCL2L11;S1PR1;PIK3R3;IRS2;HOMER3;PIK3R2;SGK3;CSNK1E;KLF2;IGF1R"
"5","Chemokine signaling pathway","14/190",0.00944665713283801,0.407172486261343,0,0,2.1398847631242,9.9763446480093,"CXCR5;PIK3R3;PIK3R2;ADCY1;RASGRP2;PTK2;ADCY6;PAK1;PLCB4;GRK6;CCR9;CCR7;CCR4;PLCB2"
"6","Glutathione metabolism","6/56",0.01540692253195,0.407172486261343,0,0,3.21325905292479,13.4087319481155,"GGT5;GGT7;IDH2;MGST2;GGT1;SRM"
"7","Pathways in cancer","29/530",0.0183967234582863,0.407172486261343,0,0,1.56370711813783,6.24792111401353,"MAX;TCF7;LEF1;MGST2;PIK3R3;PIK3R2;ADCY1;RASGRP2;ADCY6;IGF1R;CKS1B;BCL2L11;FRAT2;HEY1;HES5;ARHGEF11;JUP;WNT5B;IFNGR2;KIF7;PTK2;PLCB4;SMO;TRAF5;CKS2;FAS;IL6ST;PLCB2;FGFR1"
"8","Purine metabolism","10/129",0.0188857241047292,0.407172486261343,0,0,2.25466657251136,8.94955846142177,"PDE2A;ADK;AMPD1;ENPP4;NME4;AMPD3;ADCY1;FHIT;ADA;ADCY6"
"9","Phospholipase D signaling pathway","11/148",0.0188991971846188,0.407172486261343,0,0,2.15527072818665,8.55348464562661,"PLCB4;GRM6;DGKA;PIK3R3;RRAS2;PIK3R2;ADCY1;PLCB2;RAPGEF3;ADCY6;RAPGEF4"
"10","Small cell lung cancer","8/93",0.0194657397593713,0.407172486261343,0,0,2.52264212947749,9.9369378313668,"MAX;TRAF5;CKS2;PIK3R3;PIK3R2;FHIT;PTK2;CKS1B"
"11","Amoebiasis","8/96",0.0230942543776522,0.407172486261343,0,0,2.43626206196039,9.18025307505046,"PLCB4;RAB5C;ACTN1;PIK3R3;PIK3R2;ADCY1;PLCB2;PTK2"
"12","Prostate cancer","8/97",0.0244028240490576,0.407172486261343,0,0,2.40876278952985,8.94387212466098,"TCF7;LEF1;PIK3R3;PLAT;PIK3R2;ETV5;IGF1R;FGFR1"
"13","Inflammatory mediator regulation of TRP channels","8/100",0.0286382265074212,0.407172486261343,0,0,2.32985183385961,8.2779935332607,"MAPK11;PLCB4;PIK3R3;F2RL1;PIK3R2;ADCY1;PLCB2;ADCY6"
