"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Ribosome","97/153",2.66927335909619e-50,7.92774187651568e-48,0,0,12.8100903432439,1462.23912599977,"RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS14;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPL27;RPL26;RPL29;RPL28;UBA52;MRPL19;MRPL16;MRPL17;MRPL12;MRPL10;MRPL11;RPL41;MRPL23;MRPL24;MRPL21;RPS26;MRPL30;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;RPS24;RPS23;MRPS17;MRPS14;RPLP1;MRPS12;RPLP0;MRPS10;MRPL36;MRPL34;RPS4X;RPL7A;MRPL2;RPLP2;RPL13A;MRPS5;RPL37A;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;RPL22L1;FAU"
"2","Ribosome biogenesis in eukaryotes","35/101",4.89831909999399e-09,7.27400386349107e-07,0,0,3.81944964900447,73.0827770326956,"POP5;POP7;HEATR1;FCF1;NAT10;SNU13;PWP2;WDR43;NOL6;FBL;NXF1;EMG1;NOB1;TCOF1;GAR1;UTP14A;RPP38;MDN1;NOP56;WDR36;NOP58;CSNK2A1;UTP4;IMP3;REXO2;GNL2;GTPBP4;GNL3;RCL1;TBL3;DKC1;XRN2;NHP2;NOP10;RAN"
"3","Spliceosome","34/134",2.54049712642354e-05,0.00251509215515931,0,0,2.44304079110012,25.8487535589894,"SF3B4;SF3B3;SNU13;PRPF19;PQBP1;SNRPD2;ZMAT2;PCBP1;TRA2B;SNRPD3;HNRNPA1;CTNNBL1;PRPF38B;HNRNPA3;PRPF38A;NCBP1;BUD31;PRPF40B;THOC3;LSM4;LSM3;LSM2;LSM7;RBMXL1;SNW1;PHF5A;DDX39B;SRSF2;PPIE;SNRPE;SNRPA1;SRSF6;SNRPA;SNRPB"
"4","FoxO signaling pathway","33/132",4.57102126140079e-05,0.00339398328659009,0,0,2.39428885227897,23.9265805767111,"PIK3R3;PRKAG2;IRS2;PIK3R2;PIK3R1;STK4;FOXO1;IGF1R;IKBKB;CCNB2;STK11;MAPK8;BCL2L11;S1PR1;HOMER3;RAG2;S1PR4;RAG1;SMAD2;SMAD4;TGFB3;GADD45A;PRMT1;INSR;PLK2;CSNK1E;KLF2;MAPK11;CCNG2;CDK2;SGK3;KRAS;SGK1"
"5","Proteasome","15/45",0.000198490973608957,0.011790363832372,0,0,3.57910874897792,30.5110679088668,"POMP;ADRM1;PSMA7;PSMD8;PSMB6;PSMA5;PSMA6;PSMC5;PSMD4;PSMB2;PSMC4;PSMA2;PSME3;PSME1;PSME2"
"6","One carbon pool by folate","8/20",0.00166070212447574,0.082204755161549,0,0,4.76341894279114,30.4883334394922,"DHFR;ALDH1L1;ATIC;MTHFD1L;MTHFD1;SHMT2;SHMT1;GART"
"7","Aldosterone-regulated sodium reabsorption","11/37",0.00385379681569907,0.150008422042029,0,0,3.02422291993721,16.8107371508425,"PRKCB;INSR;NEDD4L;PIK3R3;PIK3R2;ATP1B3;KRAS;PIK3R1;ATP1A1;ATP1B1;SGK1"
"8","Apoptosis","29/143",0.00441198670857998,0.150008422042029,0,0,1.82264615073869,9.88499415988896,"BECN1;ITPR2;PIK3R3;PIK3R2;PIK3R1;IKBKB;TUBA1B;MAPK8;BCL2L11;CASP8;TUBA1A;CASP6;CTSL;CASP2;CTSF;MCL1;DFFB;DAXX;PARP3;PARP1;GADD45A;TNFRSF10B;EIF2S1;NFKBIA;BCL2;BIRC5;FAS;KRAS;BIRC3"
"9","Ubiquitin mediated proteolysis","28/137",0.00454570975884936,0.150008422042029,0,0,1.84029231099899,9.92574797805066,"DET1;CUL7;MGRN1;UBE2D1;NEDD4L;UBE3B;RNF7;PRPF19;RHOBTB2;CDC20;SOCS3;CDC26;MAP3K1;UBE2B;UBE2C;SMURF1;UBE2E3;UBE2E1;UBE4A;UBE2E2;MID1;KLHL9;CDC34;UBE2R2;UBE2S;NHLRC1;ANAPC5;BIRC3"
"10","Longevity regulating pathway","22/102",0.0057830753038991,0.171757336525803,0,0,1.96852193521935,10.1434385649501,"HDAC2;CLPB;INSR;PIK3R3;PRKAG2;IRS2;PIK3R2;PIK3R1;ADCY1;FOXO1;ADCY6;IGF1R;CAMKK2;STK11;SESN3;SESN1;CAMK4;AKT1S1;EIF4EBP2;ULK1;KRAS;EIF4E2"
