"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Eukaryotic Translation Elongation Homo sapiens R-HSA-156842","22/89",5.85313294024247e-13,5.12149132271216e-10,0,0,8.98494705957392,253.07567172069,"RPL32;RPS7;RPLP1;RPL12;RPLP0;RPS6;RPL36A;RPL10A;EEF1B2;EEF1G;RPS28;RPS16;RPS19;RPS18;RPS29;RPL35;RPL13;RPS20;RPL15;RPS2;RPS27A;RPS10"
"2","Viral mRNA Translation Homo sapiens R-HSA-192823","20/84",1.40081020718796e-11,4.08569643763155e-09,0,0,8.52805397727273,213.127882244815,"RPL32;RPS7;RPLP1;RPL12;RPLP0;RPS6;RPL36A;RPL10A;RPS28;RPS16;RPS19;RPS18;RPS29;RPL35;RPL13;RPS20;RPL15;RPS2;RPS27A;RPS10"
"3","Peptide chain elongation Homo sapiens R-HSA-156902","20/84",1.40081020718796e-11,4.08569643763155e-09,0,0,8.52805397727273,213.127882244815,"RPL32;RPS7;RPLP1;RPL12;RPLP0;RPS6;RPL36A;RPL10A;RPS28;RPS16;RPS19;RPS18;RPS29;RPL35;RPL13;RPS20;RPL15;RPS2;RPS27A;RPS10"
"4","Selenocysteine synthesis Homo sapiens R-HSA-2408557","20/87",2.79856857030598e-11,4.89749499803547e-09,0,0,8.14492876526459,197.916295289112,"RPL32;RPS7;RPLP1;RPL12;RPLP0;RPS6;RPL36A;RPL10A;RPS28;RPS16;RPS19;RPS18;RPS29;RPL35;RPL13;RPS20;RPL15;RPS2;RPS27A;RPS10"
"5","Eukaryotic Translation Termination Homo sapiens R-HSA-72764","20/87",2.79856857030598e-11,4.89749499803547e-09,0,0,8.14492876526459,197.916295289112,"RPL32;RPS7;RPLP1;RPL12;RPLP0;RPS6;RPL36A;RPL10A;RPS28;RPS16;RPS19;RPS18;RPS29;RPL35;RPL13;RPS20;RPL15;RPS2;RPS27A;RPS10"
"6","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956","20/89",4.36404113076491e-11,6.36422664903216e-09,0,0,7.90802042160738,188.646123945397,"RPL32;RPS7;RPLP1;RPL12;RPLP0;RPS6;RPL36A;RPL10A;RPS28;RPS16;RPS19;RPS18;RPS29;RPL35;RPL13;RPS20;RPL15;RPS2;RPS27A;RPS10"
"7","Formation of a pool of free 40S subunits Homo sapiens R-HSA-72689","20/96",1.87501280152655e-10,2.34376600190819e-08,0,0,7.17703349282297,160.745708921487,"RPL32;RPS7;RPLP1;RPL12;RPLP0;RPS6;RPL36A;RPL10A;RPS28;RPS16;RPS19;RPS18;RPS29;RPL35;RPL13;RPS20;RPL15;RPS2;RPS27A;RPS10"
"8","Nonsense-Mediated Decay (NMD) Homo sapiens R-HSA-927802","20/106",1.200428531861e-09,9.54886332162162e-08,0,0,6.33919133192389,130.210712546506,"RPL32;RPS7;RPLP1;RPL12;RPS6;RPLP0;RPL36A;RPL10A;RPS28;RPS16;RPS19;RPS18;RPS29;RPL35;RPL13;RPS20;RPL15;RPS2;RPS27A;RPS10"
"9","Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) Homo sapiens R-HSA-975957","20/106",1.200428531861e-09,9.54886332162162e-08,0,0,6.33919133192389,130.210712546506,"RPL32;RPS7;RPLP1;RPL12;RPS6;RPLP0;RPL36A;RPL10A;RPS28;RPS16;RPS19;RPS18;RPS29;RPL35;RPL13;RPS20;RPL15;RPS2;RPS27A;RPS10"
"10","L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827","20/106",1.200428531861e-09,9.54886332162162e-08,0,0,6.33919133192389,130.210712546506,"RPL32;RPS7;RPLP1;RPL12;RPS6;RPLP0;RPL36A;RPL10A;RPS28;RPS16;RPS19;RPS18;RPS29;RPL35;RPL13;RPS20;RPL15;RPS2;RPS27A;RPS10"
