"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Lysosome","39/123",2.67273292499312e-08,8.01819877497935e-06,0,0,3.23307291666667,56.3769651330313,"ASAH1;CLTC;GBA;AP4E1;CTSW;TCIRG1;NAGPA;GNS;LITAF;SGSH;CLN5;MFSD8;GGA1;CLN3;LAMP1;SMPD1;AP1S2;IDS;ACP2;CTSD;ARSB;CTSC;ATP6V0A1;CTSB;CTSA;ABCA2;MANBA;ATP6V0B;ATP6AP1;GAA;M6PR;LAPTM5;AP3D1;IGF2R;PLA2G15;GALNS;GALC;GNPTG;NPC1"
"2","Steroid biosynthesis","11/19",3.7724022834666e-06,0.00056586034251999,0,0,9.51005348652932,118.75963212969,"SQLE;EBP;NSDHL;SOAT1;SOAT2;SC5D;DHCR24;MSMO1;HSD17B7;LSS;FDFT1"
"3","Protein processing in endoplasmic reticulum","41/165",1.41462645366601e-05,0.00125794907499247,0,0,2.29900470807357,25.6708244165306,"TRAM1;SEC23A;RPN2;RPN1;SEL1L;CUL1;DERL2;RRBP1;HSP90B1;LMAN1;OS9;LMAN2;BAG1;CAPN2;FBXO6;SEC62;UGGT1;PDIA3;EDEM3;MBTPS1;WFS1;AMFR;EIF2AK3;MOGS;EIF2AK4;HSPA2;UBE2G2;PDIA6;SVIP;PDIA4;ERN1;DNAJC3;DNAJC1;NPLOC4;DDIT3;DNAJB11;STT3A;SEC24D;ATF6;HSPA1B;HSPA1A"
"4","Autophagy","34/128",1.6772654333233e-05,0.00125794907499247,0,0,2.51224616536364,27.6240576939962,"PRKAA1;ITPR1;PIK3CD;HIF1A;RPTOR;LAMP1;RRAS;AKT3;AKT1;PRKACB;ATG7;CTSD;HRAS;CTSB;MAPK3;SH3GLB1;GABARAPL2;RUBCN;GABARAPL1;MAP2K1;PDPK1;DAPK2;BNIP3;EIF2AK3;EIF2AK4;ERN1;VAMP8;VMP1;RRAGC;PIK3CA;RRAGB;ULK2;BCL2L1;ATG4D"
"5","Human cytomegalovirus infection","51/225",2.18867350188976e-05,0.00131320410113386,0,0,2.04027847187517,21.8914327157078,"RB1;CDKN1A;PIK3CD;ELK1;TNF;CRKL;PPP3CA;AKAP13;PPP3CC;CREB3L1;CASP3;CREB3L2;AKT3;AKT1;ITGAV;CCR5;PRKACB;HRAS;PRKCG;PDIA3;MAP2K1;ARHGEF12;PLCB3;PIK3CA;SOS2;PTGER4;SRC;PTGER2;PXN;ITPR1;ADCY3;ADCY7;GNA13;PPP3R1;GNG2;GNA11;CCL4;EIF4EBP1;CCL3;RIPK1;MAPK3;IL10RB;IL10RA;STAT3;NFATC2;GNG11;CDK6;SP1;GNB2;GNAQ;GNB1"
"6","TNF signaling pathway","29/110",7.86847358419366e-05,0.00351139910233789,0,0,2.48359985417714,23.4701710531042,"CEBPB;CSF1;TNFAIP3;PIK3CD;TNF;ICAM1;RPS6KA4;CASP7;CREB3L1;CASP3;CREB3L2;AKT3;AKT1;RIPK1;MAPK3;MAP2K3;MAP2K1;VCAM1;MLKL;IL15;TRAF1;FOS;TNFRSF1B;ITCH;PIK3CA;LTA;TAB3;TAB2;IL18R1"
"7","Renal cell carcinoma","21/69",8.19326457212175e-05,0.00351139910233789,0,0,3.03100139220366,28.5205502300127,"EGLN1;ARNT2;CDKN1A;MAP2K1;TGFB1;EPAS1;PDGFB;PIK3CD;TGFA;HIF1A;CRKL;PIK3CA;AKT3;AKT1;EP300;PAK6;HRAS;SOS2;MET;PAK4;MAPK3"
"8","Regulation of actin cytoskeleton","47/214",0.000102002744349661,0.0035330025203073,0,0,1.95671197797331,17.9831826436428,"CYFIP2;ITGB1;CYFIP1;NCKAP1;SRC;PXN;ITGB2;PDGFB;PIK3CD;IQGAP1;ITGAE;IQGAP2;ITGAL;CRKL;ACTG1;SLC9A1;GNA13;RRAS;ITGAX;PAK6;ITGAV;ITGB7;PIP4K2C;PIP5K1C;HRAS;GIT1;PAK4;MAPK3;VAV3;MAP2K1;ARHGEF12;ITGA4;ITGA3;RDX;F2R;ITGA1;ACTN4;SSH3;DIAPH1;DIAPH2;DIAPH3;LPAR5;ABI2;PIK3CA;SOS2;VCL;PFN2"
"9","T cell receptor signaling pathway","27/101",0.000105990075609219,0.0035330025203073,0,0,2.53004978662873,23.1554333446914,"PIK3CD;CD3G;CD3E;TNF;PPP3CA;PPP3R1;PPP3CC;AKT3;AKT1;CTLA4;PAK6;ICOS;HRAS;PAK4;MAPK3;IL10;VAV3;MAP2K1;PDPK1;NFATC2;FOS;PIK3CA;IFNG;CD8A;LCP2;PDCD1;SOS2"
"10","Terpenoid backbone biosynthesis","10/22",0.000159150323910468,0.00463072496497603,0,0,5.76006600660066,50.3755867567342,"IDI1;ICMT;HMGCS1;FNTA;PMVK;HMGCR;ACAT2;ZMPSTE24;DHDDS;PCYOX1"
"11","Insulin signaling pathway","33/137",0.000176258314285141,0.00463072496497603,0,0,2.20175013835086,19.0309593028443,"PYGB;PRKAA1;INPPL1;PIK3CD;PYGL;ELK1;PRKCZ;ACACA;HK2;CRKL;HK1;SOCS2;RPTOR;PRKAR2B;PRKAR2A;AKT3;EIF4EBP1;AKT1;PRKACB;HRAS;MAPK3;SREBF1;MAP2K1;PDPK1;SORBS1;PHKA2;PPP1R3F;PIK3CA;PRKAR1A;PPP1R3E;TRIP10;SOS2;RHOQ"
