"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Steroid biosynthesis","11/19",3.17814423860596e-08,9.02592963764092e-06,0,0,16.0466074825618,277.034782087471,"SQLE;EBP;SOAT1;SOAT2;SC5D;DHCR24;MSMO1;HSD17B7;LSS;CYP51;FDFT1"
"2","Natural killer cell mediated cytotoxicity","25/118",4.91947707900746e-06,0.000698565745219059,0,0,3.15064770671235,38.5081876724071,"ITGB2;PRF1;ITGAL;TNF;PPP3CA;KLRK1;PPP3CC;CASP3;TNFSF10;PLCG2;CD244A;KLRC1;MAPK3;PRKCG;IFNAR2;VAV3;KLRC2;NFATC2;GZMB;KLRA9;FASL;IFNG;CD48;SOS2;H2-D1"
"3","Rheumatoid arthritis","18/84",8.61802724073809e-05,0.00815839912123206,0,0,3.18691372321946,29.8265462767748,"CD86;ATP6V1A;ATP6V0B;ATP6V1G2;CSF1;IL15;CD80;ITGB2;TCIRG1;FOS;ITGAL;TNF;TNFSF13B;IFNG;CCL3;CTLA4;TNFSF11;ATP6V0A1"
"4","Regulation of actin cytoskeleton","33/217",0.000229115089433174,0.0162671713497553,0,0,2.10234866489585,17.6203856565604,"ITGB1;CYFIP1;NCKAP1;SRC;PXN;ITGB2;PDGFB;IQGAP1;ITGAE;ITGAL;SLC9A1;ITGAX;PAK6;ITGAV;GIT1;PAK4;MAPK3;VAV3;ARHGEF12;ITGA4;ITGA3;F2R;ITGA1;ACTN4;SSH3;DIAPH1;DIAPH2;DIAPH3;LPAR5;ABI2;SOS2;VCL;PFN2"
"5","Apoptosis","24/141",0.000296010622512859,0.0168134033587304,0,0,2.39950160666273,19.4962270185104,"PARP4;APAF1;PRF1;ITPR1;GZMB;CTSW;FOS;PTPN13;TNF;ERN1;CASP7;FASL;CASP3;AKT3;LMNA;CAPN2;TNFSF10;PMAIP1;BCL2A1D;BCL2A1B;CTSD;TUBA8;CTSB;MAPK3"
"6","Lysosome","21/124",0.000735937872991665,0.0348343926549388,0,0,2.38219713632505,17.1860392967806,"ABCA2;ATP6V0B;ASAH1;DNASE2A;CLTC;CTSW;TCIRG1;GNS;LITAF;IGF2R;PLA2G15;GALC;CLN3;NPC1;SMPD1;AP1S2;IDS;ACP2;CTSD;ATP6V0A1;CTSB"
"7","T cell receptor signaling pathway","18/101",0.000931622877122158,0.0357113379129868,0,0,2.53182411173356,17.6685433466781,"IL10;VAV3;NFATC2;CD3G;FOS;TNF;PPP3CA;PPP3CC;IFNG;CD8A;AKT3;CTLA4;PAK6;PDCD1;ICOS;SOS2;PAK4;MAPK3"
"8","Axon guidance","27/180",0.00100595318064752,0.0357113379129868,0,0,2.06417454874326,14.2465606648662,"ITGB1;NRP1;SRC;PRKCZ;PPP3CA;RGS3;PPP3CC;DPYSL2;PLCG2;PAK6;SRGAP3;SRGAP2;CAMK2G;WNT4;PAK4;MAPK3;SEMA6B;SEMA4A;ARHGEF12;SEMA4D;RYK;SEMA6D;NFATC2;L1CAM;SSH3;MET;EPHA3"
"9","Tuberculosis","26/178",0.00181926727578916,0.0569373900112537,0,0,1.99962935507784,12.6163043913947,"CEBPB;SRC;ITGB2;CEBPG;TCIRG1;TNF;EEA1;PPP3CA;PPP3CC;IRAK2;CASP3;AKT3;ITGAX;EP300;CTSD;CAMK2G;ATP6V0A1;MAPK3;IL10;PLK3;ATP6V0B;ARHGEF12;APAF1;IL10RB;IRAK4;IFNG"
"10","Human cytomegalovirus infection","34/255",0.00200483767645259,0.0569373900112537,0,0,1.8009108009108,11.1876039958737,"RB1;PTGER4;CDKN1A;SRC;PTGER2;PXN;H2-M3;ITPR1;ELK1;TNF;PPP3CA;PPP3CC;GNG2;CREB3L1;CASP3;CREB3L2;AKT3;CCL4;EIF4EBP1;CCL3;ITGAV;CCR5;MAPK3;PRKCG;ARHGEF12;IL10RB;NFATC2;GNG11;PLCB3;CDK6;FASL;GNAQ;SOS2;H2-D1"
