"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Thrombin signalling through proteinase activated receptors (PARs) Homo sapiens R-HSA-456926","7/32",0.000133705861593557,0.0515639983937268,0,0,7.38946502057613,65.9130542990757,"GNG2;SRC;GNAQ;F2R;GNG11;F2RL2;MAPK3"
"2","Chemokine receptors bind chemokines Homo sapiens R-HSA-380108","9/56",0.00018941789691676,0.0515639983937268,0,0,5.06169334777137,43.3865823616059,"XCR1;CXCR3;CCL4;CCL3;CCR8;CCL1;CXCR6;CCR5;CCR2"
"3","L1CAM interactions Homo sapiens R-HSA-373760","12/96",0.000207640261988162,0.0515639983937268,0,0,3.78453038674033,32.0916955105287,"ITGB1;RPS6KA4;NRP1;SRC;ITGA1;CNTN1;ITGAV;LAMC1;SCN3B;L1CAM;SCN1B;MAPK3"
"4","Hemostasis Homo sapiens R-HSA-109582","36/552",0.000691824090191368,0.0953364647199208,0,0,1.86857142857143,13.59605988883,"ITGB1;GRB7;DOCK5;SRC;DOCK7;PDGFB;PRKCZ;GNG2;PRKAR2B;PRKAR2A;AKT3;ITGAX;KIF13B;PHACTR2;ITGAV;QSOX1;S100A10;MAPK3;PRKCG;ANXA2;APLP2;F2R;ITGA1;ATP2B4;CABLES1;L1CAM;GNG11;SLC7A5;WEE1;IL2RA;GNAQ;ESAM;CD48;CD44;F2RL2;DGKH"
"5","Semaphorin interactions Homo sapiens R-HSA-373755","9/67",0.00074635462063858,0.0953364647199208,0,0,4.09936915998672,29.5167275590138,"ITGB1;FARP2;NRP1;SEMA4A;ARHGEF12;SEMA6D;DPYSL3;ITGA1;CRMP1"
"6","Signal transduction by L1 Homo sapiens R-HSA-445144","5/21",0.00082895188260683,0.0953364647199208,0,0,8.22845417236662,58.3837495348182,"ITGB1;NRP1;ITGAV;L1CAM;MAPK3"
"7","CD28 dependent PI3K/Akt signaling Homo sapiens R-HSA-389357","5/22",0.00104055059265805,0.0953364647199208,0,0,7.74402510662268,53.186005397424,"PRR5;CD86;CD80;AKT3;TRIB3"
"8","CTLA4 inhibitory signaling Homo sapiens R-HSA-389513","5/22",0.00104055059265805,0.0953364647199208,0,0,7.74402510662268,53.186005397424,"CD86;SRC;CD80;AKT3;CTLA4"
"9","CD28 co-stimulation Homo sapiens R-HSA-389356","6/33",0.00115171568118025,0.0953364647199208,0,0,5.85601217656012,39.6247213354846,"PRR5;CD86;SRC;CD80;AKT3;TRIB3"
"10","N-Glycan antennae elongation Homo sapiens R-HSA-975577","4/15",0.0017947249786205,0.133707010907227,0,0,9.56433184302037,60.4743471326885,"MGAT4B;ST3GAL4;B4GALT4;B4GALT5"
