"","pvalue","adj_pvalue","weight","weighted_pvalue","group","covariate","fold","log2FoldChange"
"Itgae",1.64605796390191e-45,1.9988729233287e-41,1.10018671727803,1.49616236776101e-45,"8",12091.7007051636,"1",-4.21445849503762
"Tjp1",2.17772777772992e-28,6.59714021253853e-25,2.20507994169768,9.87595840200378e-29,"4",593.287202285436,"4",-2.26048972292391
"Rasgrp2",1.249303485184e-21,5.05692785292319e-18,1.10018671727803,1.13553769152467e-21,"8",4748.5465669049,"1",1.41508755879235
"Adgrg3",2.12535877435542e-19,5.66495771276134e-16,1.25308937264545,1.69609512358124e-19,"4",599.260632864933,"2",-1.85062020965174
"1700025G04Rik",1.6550230859857e-18,2.99854162549819e-15,1.19711958366807,1.38250439518714e-18,"5",785.291365541693,"5",1.83193271007998
"Eef2k",1.86098271605536e-18,2.99854162549819e-15,1.23465430195121,1.50729051291063e-18,"4",636.917254768132,"3",-1.50498434963684
"Matk",2.05010111237681e-18,2.99854162549819e-15,1.30488914193905,1.57109216904846e-18,"6",1545.15085543416,"2",-2.09507948622615
"Fgf13",5.23606077300857e-16,7.08232375419194e-13,1.23465430195121,4.24091242765984e-16,"6",1727.26292861534,"3",1.39624245653728
"Sidt1",1.78660866537935e-15,2.14806792761938e-12,1.23465430195121,1.44705174764779e-15,"8",7701.2797588529,"3",1.75127057445972
"Dtx1",2.37845023884185e-15,2.42109206207043e-12,1.19711958366807,1.98681090117505e-15,"8",4712.35220167842,"5",1.73590939792736
"Nsg2",2.19312774011743e-15,2.42109206207043e-12,1.10018671727803,1.99341412296218e-15,"7",2386.29764612853,"1",1.72023249941796
"Adgrg1",5.64667965887918e-15,5.25146925390925e-12,1.19711958366807,4.71688855141549e-15,"7",2409.39885710564,"5",-2.0756614100443
"Slamf6",1.31388474867486e-14,1.00663458223292e-11,1.34136982102505,9.79509698280532e-15,"7",2738.49439629149,"2",1.94557633093911
"St8sia1",1.83741154955067e-14,1.3437276291488e-11,1.30488914193905,1.40809781497629e-14,"6",1345.09038491072,"2",-1.47006250961395
"Ly6g5b",6.56017307176392e-14,5.74782389013144e-11,1.01654601711375,6.45339508622542e-14,"3",228.036520870988,"1",-2.38733846923835
"Txk",4.41515526420005e-13,3.07960432349694e-10,1.19711958366807,3.6881488904155e-13,"7",3403.63483252872,"5",1.49845860016109
"2900026A02Rik",5.67036678463005e-13,3.72246954401187e-10,1.19711958366807,4.73667531797918e-13,"4",442.659627494572,"5",-2.52728074839843
"Tnfrsf26",9.10220642616969e-13,5.33561062781716e-10,1.26618307669144,7.18869695364588e-13,"6",1612.61641487649,"1",1.7296946644569
"S1pr1",1.24901189758706e-12,7.98275931363241e-10,1.10018671727803,1.13527265687886e-12,"8",22597.5672113286,"1",1.75536544515708
"Krt83",1.94814155476739e-12,1.0870748222138e-09,1.19711958366807,1.62735751828413e-12,"4",317.058489236299,"5",-1.67670505356237
"D1Ertd622e",2.48734060862933e-12,1.32185825696973e-09,1.19711958366807,2.07777121230273e-12,"5",1150.61526490212,"5",1.085965819058
"Cmah",4.44322178706931e-12,2.01156114459861e-09,1.34136982102505,3.31245098661448e-12,"7",3489.3575065583,"2",1.39465435878715
"Prss12",6.05425684795014e-12,2.80645069677584e-09,1.25308937264545,4.83146452289254e-12,"5",728.024913657784,"2",1.9553323861041
"Cldnd1",1.06059384038139e-11,4.66281100008875e-09,1.26618307669144,8.37630718578817e-12,"6",1722.78232640889,"1",0.720586403695089
"Als2cl",1.80271961650947e-11,7.55576029312515e-09,1.22597926015367,1.47043239237466e-11,"8",5073.67561282678,"4",-1.09181658177765
"C230096K16Rik",2.50540730566735e-11,6.07184183589202e-09,2.20507994169768,1.13619794833309e-11,"4",322.78498628177,"4",1.76228344402023
"Tcf7",2.42726008021131e-11,1.0916731026063e-08,1.10018671727803,2.20622558161453e-11,"8",33719.0879865109,"1",1.26287627941113
"Nck2",4.20471484226047e-11,1.60104274850857e-08,1.25308937264545,3.35547881423951e-11,"5",993.961250492148,"2",1.20144275003445
