"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Ribosome","79/153",2.23310821452368e-47,6.31969624710202e-45,0,0,13.5650384500523,1457.13072370946,"RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPL36A;MRPL12;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;MRPL23;RPS26;MRPL30;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RSL24D1;RPS24;RPS23"
"2","Glutathione metabolism","13/56",0.000241027046951356,0.0341053271436168,0,0,3.68022487788394,30.6584865301603,"GSTM4;GGT5;GSTK1;GGT7;GPX1;IDH2;MGST2;GSTT2;SRM;GSTA4;CHAC2;LAP3;GGT1"
"3","FoxO signaling pathway","21/132",0.00102524261823645,0.0967145536536388,0,0,2.30670112343419,15.8766224520294,"TGFB3;GADD45A;INSR;PLK2;PIK3R3;PRKAG2;IRS2;PIK3R2;CSNK1E;FOXO1;KLF2;IGF1R;CCNB2;MAPK11;STK11;BCL2L11;S1PR1;HOMER3;SGK3;RAG2;RAG1"
"4","Taurine and hypotaurine metabolism","4/11",0.00722199780974324,0.510956345039334,0,0,6.92843072882469,34.1614844740748,"GGT5;GGT7;GGT1;CSAD"
"5","One carbon pool by folate","5/20",0.0151755103297038,0.76017153069858,0,0,4.0424879544459,16.9302318775196,"ALDH1L1;ATIC;MTHFD1L;MTHFD1;SHMT1"
"6","Purine metabolism","17/129",0.0189802885346438,0.76017153069858,0,0,1.84565397350993,7.31682623644402,"PRPS2;PDE2A;ADK;NME2;AMPD1;NME4;AMPD3;ADCY1;FHIT;DCK;ADCY6;NME1;ATIC;IMPDH2;ENPP4;PDE8A;ADA"
"7","Aldosterone-regulated sodium reabsorption","7/37",0.0202492276898871,0.76017153069858,0,0,2.83116228070175,11.0405097832635,"PRKCB;INSR;NEDD4L;PIK3R3;PIK3R2;ATP1B3;ATP1B1"
"8","Longevity regulating pathway","14/102",0.0228788502690462,0.76017153069858,0,0,1.93317010154419,7.30263195581099,"INSR;PIK3R3;PRKAG2;IRS2;PIK3R2;ADCY1;FOXO1;ADCY6;IGF1R;STK11;SESN3;SESN1;CAMK4;ULK1"
"9","Small cell lung cancer","13/93",0.0241750663473047,0.76017153069858,0,0,1.97414960369881,7.34864060537069,"MAX;GADD45A;PIK3R3;PIK3R2;FHIT;PTK2;CKS1B;TRAF4;MYC;TRAF5;CKS2;ITGA6;BIRC3"
"10","Ubiquitin mediated proteolysis","17/137",0.0319937493755977,0.905423107329415,0,0,1.72185982339956,5.92701124240869,"DET1;CUL7;UBE2C;SMURF1;MGRN1;UBE2E3;UBE2D1;UBE2E2;NEDD4L;PRPF19;MID1;CDC20;SOCS3;UBE2R2;NHLRC1;ANAPC5;BIRC3"
"11","Base excision repair","6/33",0.0365913968996101,0.941396847508151,0,0,2.69501059244649,8.91493906228263,"PARP3;NTHL1;POLE2;APEX1;NEIL1;UNG"
"12","Ribosome biogenesis in eukaryotes","13/101",0.0435804478850669,0.999995097524477,0,0,1.79390086465714,5.62055452437666,"NOP58;CSNK2A1;PWP2;GNL3;RCL1;FBL;NOB1;TCOF1;DKC1;NHP2;GAR1;RPP38;NOP10"
"13","Primary immunodeficiency","6/37",0.0594438654666355,0.999995097524477,0,0,2.34675828720494,6.62424823903853,"CD4;TNFRSF13B;RAG2;ADA;UNG;RAG1"
"14","TGF-beta signaling pathway","11/90",0.0808547766259989,0.999995097524477,0,0,1.68943923048662,4.24910964693512,"TGIF1;SMAD1;TGIF2;TGFB3;SMURF1;MYC;FST;ID3;RGMB;BMP7;SMAD5"
"15","Mucin type O-glycan biosynthesis","5/31",0.0835288722758432,0.999995097524477,0,0,2.330814717477,5.78639421694855,"GALNT12;GALNT6;GALNT10;ST3GAL2;GALNT9"
"16","Prolactin signaling pathway","9/70",0.0842097997865259,0.999995097524477,0,0,1.78954189075358,4.4281211540465,"STAT5A;SOCS3;MAPK11;IRF1;PIK3R3;PIK3R2;SOCS6;CYP17A1;SOCS5"
"17","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","9/72",0.0965369405261194,0.999995097524477,0,0,1.73254281949934,4.050389783621,"JUP;ITGB3;LEF1;TCF7;CACNA2D2;ITGA7;ITGA6;CACNA2D4;EMD"
"18","Phospholipase D signaling pathway","16/148",0.0999499742880613,0.999995097524477,0,0,1.47131139321742,3.38855589933856,"DGKA;INSR;PIK3R3;RRAS2;PIK3R2;ADCY1;DGKZ;ADCY6;AGPAT3;CYTH3;PLCB4;GRM6;PLCB2;RAPGEF3;CYTH1;RAPGEF4"
"19","Carbohydrate digestion and absorption","6/44",0.11592024652868,0.999995097524477,0,0,1.91373403924011,4.12381525674731,"PRKCB;PIK3R3;PIK3R2;ATP1B3;ATP1B1;PLCB2"
"20","Acute myeloid leukemia","8/66",0.128739020332142,0.999995097524477,0,0,1.67215273206057,3.42785962870503,"STAT5A;JUP;MYC;LEF1;TCF7;PIK3R3;PIK3R2;RUNX1"
"21","Progesterone-mediated oocyte maturation","11/99",0.133707708819281,0.999995097524477,0,0,1.5159135883905,3.05016842592333,"CCNA2;CCNB2;MAPK11;PIK3R3;ANAPC5;PIK3R2;KIF22;ADCY1;ADCY6;IGF1R;AURKA"
"22","Type II diabetes mellitus","6/46",0.135724390265352,0.999995097524477,0,0,1.81785009861933,3.63048113438588,"SOCS3;INSR;CACNA1A;PIK3R3;IRS2;PIK3R2"
"23","HIF-1 signaling pathway","11/100",0.140521419374601,0.999995097524477,0,0,1.49879932406392,2.94123682526982,"TFRC;PRKCB;INSR;IFNGR2;RPS6;PIK3R3;PIK3R2;ENO2;ENO3;IGF1R;PDK1"
"24","Hedgehog signaling pathway","6/47",0.146184732591629,0.999995097524477,0,0,1.77341607735604,3.41007369373798,"GRK2;SMO;SMURF1;ARRB1;CSNK1E;KIF7"
"25","Leukocyte transendothelial migration","12/112",0.146583703182006,0.999995097524477,0,0,1.45528712871287,2.79438218430402,"MYLPF;CLDN10;MAPK11;PRKCB;ACTN1;TXK;PECAM1;PIK3R3;PIK3R2;PTK2;RAPGEF3;RAPGEF4"
"26","Sulfur metabolism","2/9",0.146670110558948,0.999995097524477,0,0,3.45967213114754,6.64108061835412,"MPST;BPNT1"
"27","African trypanosomiasis","5/37",0.148491472667219,0.999995097524477,0,0,1.89317099211564,3.61070824314727,"PLCB4;PRKCB;FAS;F2RL1;PLCB2"
"28","Morphine addiction","10/91",0.15548392423571,0.999995097524477,0,0,1.49678133417971,2.78582877828742,"GABRR2;GRK2;PRKCB;GRK6;PDE2A;CACNA1A;ARRB1;ADCY1;PDE8A;ADCY6"
"29","Endocrine and other factor-regulated calcium reabsorption","6/48",0.156998045360011,0.999995097524477,0,0,1.73109796186719,3.20516582837873,"PLCB4;PRKCB;ATP1B3;ATP1B1;PLCB2;ADCY6"
"30","Thyroid hormone signaling pathway","12/116",0.174556024350967,0.999995097524477,0,0,1.3990099009901,2.44198511812078,"KAT2A;PLCB4;PRKCB;MYC;ITGB3;PLCE1;PIK3R3;ATP1B3;PIK3R2;ATP1B1;PLCB2;FOXO1"
"31","Fluid shear stress and atherosclerosis","14/139",0.175172077447919,0.999995097524477,0,0,1.35821282220753,2.36598838476405,"GSTM4;ITGB3;MGST2;GSTT2;PIK3R3;PLAT;PIK3R2;PTK2;KLF2;MAPK11;GSTA4;CTSL;SUMO3;PECAM1"
"32","Glycerolipid metabolism","7/61",0.181961039640425,0.999995097524477,0,0,1.57082115009747,2.67662062101052,"ALDH1B1;MOGAT1;DGKA;MBOAT1;LPIN1;DGKZ;AGPAT3"
"33","Adherens junction","8/72",0.182269928097631,0.999995097524477,0,0,1.51489466754444,2.57875454846283,"CSNK2A1;ACTN1;INSR;LEF1;TCF7;PTPRF;IGF1R;FGFR1"
