"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Ribosome","82/170",3.68768615911876e-46,1.03623981071237e-43,0,0,11.8556936143441,1240.2705249085,"RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL27;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPL36A;MRPL12;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;MRPL23;RPS26;MRPL30;RPS25;RPS28;RPS27;RPS29;RPS3A1;RPL27A;RPS27RT;RPS20;RPS21;RSL24D1;RPL37RT;RPS24;RPS23"
"2","Glutathione metabolism","13/64",0.000946321634869596,0.0960310585748145,0,0,3.10158779495946,21.5961326636385,"GSTM4;GGT5;GSTK1;GGT7;GPX1;IDH2;MGST2;GSTT2;SRM;GSTA4;CHAC2;LAP3;GGT1"
"3","FoxO signaling pathway","21/132",0.00102524261823645,0.0960310585748145,0,0,2.30670112343419,15.8766224520294,"TGFB3;GADD45A;INSR;PLK2;PIK3R3;PRKAG2;IRS2;PIK3R2;CSNK1E;FOXO1;KLF2;IGF1R;CCNB2;MAPK11;STK11;BCL2L11;S1PR1;HOMER3;SGK3;RAG2;RAG1"
"4","Ubiquitin mediated proteolysis","20/138",0.00409874886038843,0.287937107442287,0,0,2.06437753759293,11.3480350720909,"DET1;CUL7;UBE2C;SMURF1;MGRN1;UBE2E3;SIAH1A;UBE2D1;UBE2E2;NEDD4L;UBE2D2A;PRPF19;MID1;CDC20;SOCS3;UBE2R2;NHLRC1;ANAPC5;SKP1A;BIRC3"
"5","Taurine and hypotaurine metabolism","4/11",0.00722199780974324,0.40587627690757,0,0,6.92843072882469,34.1614844740748,"GGT5;GGT7;GGT1;CSAD"
"6","Small cell lung cancer","14/92",0.00980511949918596,0.419830231483853,0,0,2.1821987221855,10.0923431390821,"MAX;GADD45A;PIK3R3;PIK3R2;FHIT;PTK2;CKS1B;TRAF4;MYC;TRP53;TRAF5;CKS2;ITGA6;BIRC3"
"7","Longevity regulating pathway","15/102",0.0104584043430141,0.419830231483853,0,0,2.09656084656085,9.56104995769173,"INSR;PIK3R3;PRKAG2;IRS2;PIK3R2;ADCY1;FOXO1;ADCY6;IGF1R;STK11;SESN3;SESN1;TRP53;CAMK4;ULK1"
"8","One carbon pool by folate","5/19",0.0121286802290364,0.426019893044904,0,0,4.33147174770039,19.1112432560976,"ALDH1L1;ATIC;MTHFD1L;MTHFD1;SHMT1"
"9","Aldosterone-regulated sodium reabsorption","7/38",0.0232354987079253,0.725463904103001,0,0,2.73968590831918,10.3069012691252,"PRKCB;INSR;NEDD4L;PIK3R3;PIK3R2;ATP1B3;ATP1B1"
"10","Purine metabolism","17/136",0.0300807686917735,0.845269600238835,0,0,1.7364238410596,6.08420205879086,"PRPS2;PDE2A;ADK;NME2;AMPD1;NME4;AMPD3;ADCY1;FHIT;DCK;ADCY6;NME1;ATIC;IMPDH2;ENPP4;PDE8A;ADA"
"11","TGF-beta signaling pathway","12/91",0.0437341992801921,0.904557443883936,0,0,1.84424113297406,5.77178295424921,"TGIF1;SMAD1;TGIF2;TGFB3;SMURF1;MYC;FST;ID3;SKP1A;RGMB;BMP7;SMAD5"
"12","Th17 cell differentiation","13/102",0.0466042788344104,0.904557443883936,0,0,1.77364819734909,5.43811697382788,"STAT5A;IFNGR2;H2-DMA;RORC;IL4RA;IL6RA;RUNX1;MAPK11;CD4;H2-OB;PRKCQ;H2-OA;IL6ST"
"13","Base excision repair","6/35",0.0471634755948553,0.904557443883936,0,0,2.50887573964497,7.66244648183131,"PARP3;NTHL1;POLE2;APEX1;NEIL1;UNG"
"14","Primary immunodeficiency","6/36",0.0530879737677589,0.904557443883936,0,0,2.42511505588429,7.11966456494586,"CD4;TNFRSF13B;RAG2;ADA;UNG;RAG1"
"15","Graft-versus-host disease","9/64",0.0531898670447549,0.904557443883936,0,0,1.98541142651815,5.82497350823658,"H2-T24;H2-T10;KLRA7;KLRA1;H2-DMA;H2-OB;FAS;H2-Q2;H2-OA"
"16","Hematopoietic cell lineage","12/94",0.0538588153250794,0.904557443883936,0,0,1.77647911132577,5.18978686727415,"CD24A;CD4;TFRC;ITGB3;H2-DMA;H2-OB;IL4RA;DNTT;ITGA6;IL6RA;H2-OA;CD55"
"17","Ribosome biogenesis in eukaryotes","14/115",0.0552696968813466,0.904557443883936,0,0,1.68315522893995,4.87362729738383,"NOP58;CSNK2A1;PWP2;GNL3;RCL1;FBL;NOB1;TCOF1;DKC1;NHP2;GAR1;RPP38;NOP10;UTP14B"
"18","Th1 and Th2 cell differentiation","11/87",0.0666987090444786,0.904557443883936,0,0,1.75641403971671,4.75561340104994,"JAG2;STAT5A;MAPK11;CD4;IFNGR2;H2-DMA;H2-OB;IL4RA;PRKCQ;H2-OA;MAML3"
"19","Progesterone-mediated oocyte maturation","11/90",0.0808547766259989,0.904557443883936,0,0,1.68943923048662,4.24910964693512,"CCNA2;CCNB2;MAPK11;PIK3R3;ANAPC5;PIK3R2;KIF22;ADCY1;ADCY6;IGF1R;AURKA"
"20","Ferroptosis","6/40",0.0811078764973475,0.904557443883936,0,0,2.13934331128901,5.3739773460325,"STEAP3;TFRC;TRP53;PCBP2;SLC11A2;ACSL3"
"21","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","9/72",0.0965369405261194,0.904557443883936,0,0,1.73254281949934,4.050389783621,"JUP;ITGB3;LEF1;TCF7;CACNA2D2;ITGA7;ITGA6;CACNA2D4;EMD"
"22","Prolactin signaling pathway","9/72",0.0965369405261194,0.904557443883936,0,0,1.73254281949934,4.050389783621,"STAT5A;SOCS3;MAPK11;IRF1;PIK3R3;PIK3R2;SOCS6;CYP17A1;SOCS5"
"23","HIF-1 signaling pathway","12/104",0.0984963432125531,0.904557443883936,0,0,1.5825226000861,3.66786937352794,"TFRC;PRKCB;INSR;IFNGR2;RPS6;PIK3R3;PIK3R2;IL6RA;ENO2;ENO3;IGF1R;PDK1"
"24","Thyroid hormone signaling pathway","13/115",0.0995545239450222,0.904557443883936,0,0,1.54650063459994,3.56785398834678,"PRKCB;ITGB3;PIK3R3;ATP1B3;PIK3R2;ATP1B1;FOXO1;KAT2A;PLCB4;MYC;TRP53;PLCE1;PLCB2"
"25","Wnt signaling pathway","17/160",0.103790779665787,0.904557443883936,0,0,1.44310656231186,3.26918206006493,"WNT5B;CSNK2A1;PRKCB;TCF7;LEF1;SIAH1A;CSNK1E;PRICKLE1;FRAT1;FRAT2;VANGL2;PLCB4;MYC;TRP53;TBL1X;SKP1A;PLCB2"
"26","Phospholipase D signaling pathway","16/149",0.104469267905828,0.904557443883936,0,0,1.46016928489324,3.29832140453787,"DGKA;INSR;PIK3R3;RRAS2;PIK3R2;ADCY1;DGKZ;ADCY6;AGPAT3;CYTH3;PLCB4;GRM6;PLCB2;RAPGEF3;CYTH1;RAPGEF4"
"27","Pathways in cancer","49/535",0.105354603215166,0.904557443883936,0,0,1.22699872478101,2.76126669746591,"IGF1R;CKS1B;FRAT1;FRAT2;HEY1;MYC;SKP1A;ARHGEF11;WNT5B;PRKCB;IFNGR2;KIF7;RUNX1;PLCB4;SMO;TRAF4;TRAF5;CKS2;ITGA6;ARHGEF1;IL6ST;PLCB2;BIRC3;MAX;TCF7;LEF1;IL4RA;GSTT2;MGST2;PIK3R3;IL6RA;PIK3R2;ADCY1;RASGRP2;ADCY6;FOXO1;BCL2L11;HES5;JAG2;GSTM4;STAT5A;JUP;GADD45A;TGFB3;PTK2;GSTA4;TRP53;FAS;FGFR1"
"28","Carbohydrate digestion and absorption","6/43",0.106602140850253,0.904557443883936,0,0,1.96556319633243,4.40021136032132,"PRKCB;PIK3R3;PIK3R2;ATP1B3;ATP1B1;PLCB2"
