"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Ribosome","101/170",1.6096509326555e-48,4.74847025133371e-46,0,0,10.8356055023336,1192.43744160925,"RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS14;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPL27;RPL26;RPL29;RPL28;UBA52;MRPL19;MRPL16;MRPL17;MRPL12;MRPL10;MRPL11;RPL41;MRPL23;MRPL24;MRPL21;RPS26;MRPL30;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS27RT;RPS20;RPS21;RSL24D1;RPS24;RPS23;MRPS17;MRPS14;RPLP1;MRPS12;RPLP0;MRPS10;MRPL36;MRPL34;RPS4X;RPL7A;MRPL2;RPLP2;RPL13A;MRPS5;RPL37A;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;MT-RNR2;RPS3A1;RPL22L1;FAU;RPL37RT"
"2","Ribosome biogenesis in eukaryotes","37/115",1.78466475134729e-08,2.63238050823725e-06,0,0,3.41698929508335,60.9640442079822,"POP5;POP7;HEATR1;FCF1;NAT10;SNU13;PWP2;WDR43;NOL6;FBL;NXF1;EMG1;NOB1;TCOF1;GAR1;UTP14A;RPP38;MDN1;UTP14B;NOP56;WDR36;NOP58;CSNK2A1;UTP4;IMP3;REXO2;GNL2;GTPBP4;GNL3;RCL1;TBL3;DKC1;MT-RNR2;XRN2;NHP2;NOP10;RAN"
"3","Spliceosome","34/132",1.80883672090701e-05,0.00177868944222523,0,0,2.49318466570806,27.2261787083327,"SF3B4;SF3B3;SNU13;PRPF19;PQBP1;SNRPD2;ZMAT2;PCBP1;TRA2B;SNRPD3;HNRNPA1;CTNNBL1;PRPF38B;HNRNPA3;PRPF38A;NCBP1;BUD31;PRPF40B;THOC3;LSM4;LSM3;LSM2;LSM7;RBMXL1;SNW1;PHF5A;DDX39B;SRSF2;PPIE;SNRPE;SNRPA1;SRSF6;SNRPA;SNRPB"
"4","FoxO signaling pathway","33/132",4.57102126140079e-05,0.00337112818028308,0,0,2.39428885227897,23.9265805767111,"PIK3R3;PRKAG2;IRS2;PIK3R2;PIK3R1;STK4;FOXO1;IGF1R;IKBKB;CCNB2;STK11;MAPK8;BCL2L11;S1PR1;HOMER3;RAG2;S1PR4;RAG1;SMAD2;SMAD4;TGFB3;GADD45A;PRMT1;INSR;PLK2;CSNK1E;KLF2;MAPK11;CCNG2;CDK2;SGK3;KRAS;SGK1"
"5","Proteasome","15/46",0.000261328187406056,0.0154183630569573,0,0,3.46345580671537,28.5725874551233,"POMP;ADRM1;PSMA7;PSMD8;PSMB6;PSMA5;PSMA6;PSMC5;PSMD4;PSMB2;PSMC4;PSMA2;PSME3;PSME1;PSME2"
"6","Ubiquitin mediated proteolysis","31/138",0.000590228918002934,0.0290195884684776,0,0,2.07835083266028,15.452538648042,"DET1;CUL7;MGRN1;UBE2D1;NEDD4L;UBE3B;RNF7;UBE2D2A;PRPF19;RHOBTB2;CDC20;SOCS3;CDC26;SKP1A;MAP3K1;UBE2B;UBE2C;SMURF1;UBE2E3;SIAH1A;UBE2E1;UBE4A;UBE2E2;MID1;KLHL9;CDC34;UBE2R2;UBE2S;NHLRC1;ANAPC5;BIRC3"
"7","One carbon pool by folate","8/19",0.00111592812776876,0.0470283996702547,0,0,5.19675351147018,35.3278880049916,"DHFR;ALDH1L1;ATIC;MTHFD1L;MTHFD1;SHMT2;SHMT1;GART"
"8","Apoptosis","30/141",0.00179228109447657,0.0660903653588236,0,0,1.93758546699723,12.2538061157338,"BECN1;ITPR2;PIK3R3;PIK3R2;PIK3R1;IKBKB;TUBA1B;MAPK8;BCL2L11;CASP8;TUBA1A;CASP6;CTSL;CASP2;CTSF;MCL1;DFFB;DAXX;PARP3;PARP1;GADD45A;TNFRSF10B;EIF2S1;NFKBIA;TRP53;BCL2;BIRC5;FAS;KRAS;BIRC3"
"9","Longevity regulating pathway","23/102",0.00269278598932673,0.088263540761265,0,0,2.08502507762121,12.3374664735726,"HDAC2;CLPB;INSR;PIK3R3;PRKAG2;IRS2;PIK3R2;PIK3R1;ADCY1;FOXO1;ADCY6;IGF1R;CAMKK2;STK11;SESN3;SESN1;TRP53;CAMK4;AKT1S1;EIF4EBP2;ULK1;KRAS;EIF4E2"
"10","Aldosterone-regulated sodium reabsorption","11/38",0.0048311755453887,0.131851629811608,0,0,2.91204837490552,15.5289797773669,"PRKCB;INSR;NEDD4L;PIK3R3;PIK3R2;ATP1B3;KRAS;PIK3R1;ATP1A1;ATP1B1;SGK1"
"11","RNA polymerase","9/28",0.00491650145060234,0.131851629811608,0,0,3.3845625482957,17.9894850052726,"POLR3C;POLR3D;POLR1B;TWISTNB;POLR2D;POLR3E;POLR1C;POLR1E;POLR3H"
"12","Th17 cell differentiation","22/102",0.0057830753038991,0.139069717339265,0,0,1.96852193521935,10.1434385649501,"SMAD2;STAT5A;SMAD4;IFNGR2;H2-DMA;RORC;IL4RA;IL6RA;IL2RG;CD3D;RUNX1;NFKBIA;IKBKB;MAPK11;MAPK8;CD4;H2-OB;PRKCQ;H2-OA;CD247;IL6ST;JAK1"
"13","Huntington disease","36/192",0.00635575931609931,0.139069717339265,0,0,1.65421094369548,8.36765054395979,"HDAC2;DNAH8;COX4I1;NDUFA10;ATP5A1;ATP5C1;ATP5H;ATP5G3;UQCR10;ATP5G2;ATP5G1;UQCRH;ATP5B;CASP8;ATP5E;POLR2D;NDUFV3;DNAH11;NDUFA7;GPX1;NDUFA4;NDUFA3;NDUFC2;COX7A2L;NDUFS8;PLCB4;DLG4;TRP53;NDUFS4;UQCRC1;PPIF;TFAM;TAF4B;VDAC1;SLC25A5;PLCB2"
"14","RNA transport","32/167",0.00701346940928385,0.139069717339265,0,0,1.69839135141729,8.42388994901131,"POP5;EIF4A1;POP7;NXF1;SUMO1;SUMO3;EIF4EBP2;EIF2B1;RAE1;RPP38;NDC1;PRMT5;NCBP1;PYM1;THOC3;EIF2S1;THOC7;THOC6;EEF1A1;DDX39B;EIF3I;TACC3;GEMIN5;STRAP;GEMIN6;RNPS1;EIF3E;PABPC1;EIF1A;EIF4E2;EIF3D;RAN"
"15","Ferroptosis","11/40",0.00736764895866513,0.139069717339265,0,0,2.71090781140042,13.3123374043889,"STEAP3;FTL1;MAP1LC3B;TFRC;PCBP1;TRP53;LPCAT3;PCBP2;NCOA4;SLC11A2;ACSL3"
"16","Small cell lung cancer","20/92",0.00754276433026524,0.139069717339265,0,0,1.98768719559379,9.71415835846779,"ZBTB17;MAX;GADD45A;PIK3R3;PIK3R2;PIK3R1;FHIT;PTK2;CKS1B;IKBKB;NFKBIA;TRAF4;MYC;TRP53;TRAF5;CDK2;CKS2;BCL2;ITGA6;BIRC3"
"17","Th1 and Th2 cell differentiation","19/87",0.00861581639534452,0.149509755095684,0,0,1.99901840343017,9.50364463529768,"JAG2;STAT5A;IFNGR2;H2-DMA;IL4RA;IL2RG;CD3D;IKBKB;NFKBIA;MAPK11;MAPK8;CD4;H2-OB;STAT4;PRKCQ;H2-OA;MAML3;CD247;JAK1"
"18","Human T-cell leukemia virus 1 infection","43/245",0.0101702949647193,0.164611845556147,0,0,1.52628184654694,7.00301467662703,"H2-T24;H2-T22;H2-DMA;PIK3R3;PIK3R2;H2-Q2;PIK3R1;ADCY1;IL2RG;CD3D;ETS1;ADCY6;ETS2;CDC20;IKBKB;CCNB2;MAPK8;CDC26;MYC;H2-OB;H2-OA;JAK1;STAT5A;SMAD2;RANBP1;SMAD4;MAP3K1;H2-T10;TGFB3;NFKBIA;CCNA2;KAT2B;KAT2A;CD4;ESPL1;TRP53;CDK2;VDAC1;ANAPC5;KRAS;SLC25A5;MAD1L1;RAN"
"19","Sulfur relay system","4/8",0.0106178561449314,0.164611845556147,0,0,7.13675213675214,32.4380953664186,"MPST;NFS1;CTU1;URM1"
"20","RNA degradation","18/83",0.0111601251224506,0.164611845556147,0,0,1.98074246670235,8.9042457494328,"DIS3;PARN;ENO2;ENO3;LSM4;LSM3;LSM2;CNOT6;LSM7;CNOT7;CNOT2;XRN2;C1D;PABPC1;EXOSC2;PFKM;EXOSC1;DCP1B"
"21","Purine metabolism","26/136",0.0144445746006923,0.202911881295439,0,0,1.69182004853463,7.16897984759716,"PRPS2;ADK;NTPCR;ADCY1;FHIT;NT5C3;ADCY6;DGUOK;ATIC;ENPP4;PDE8A;XDH;ADSS;ADSL;ENTPD6;PDE2A;NME2;AMPD1;NME4;AMPD3;DCK;NME1;NT5C3B;IMPDH2;GART;ADA"
"22","Colorectal cancer","18/88",0.0199755780576286,0.257842459825275,0,0,1.83873457692533,7.19541861126724,"SMAD2;SMAD4;TGFB3;GADD45A;LEF1;TCF7;PIK3R3;PIK3R2;PIK3R1;MSH6;MAPK8;BCL2L11;MSH3;MYC;TRP53;BCL2;BIRC5;KRAS"
"23","Oxidative phosphorylation","25/134",0.0215687429064621,0.257842459825275,0,0,1.64109459031952,6.2960759708135,"COX4I1;NDUFA10;ATP5A1;ATP5C1;ATP5H;ATP5G3;UQCR10;ATP5G2;ATP5G1;UQCRH;ATP5B;ATP5E;NDUFV3;COX10;LHPP;NDUFA7;NDUFA4;NDUFA3;NDUFC2;COX7A2L;NDUFS8;PPA2;PPA1;NDUFS4;UQCRC1"
"24","Epstein-Barr virus infection","39/229",0.0218105694179737,0.257842459825275,0,0,1.47031813638142,5.62449705513878,"H2-T24;H2-T22;HDAC2;H2-DMA;PIK3R3;PIK3R2;H2-Q2;PIK3R1;CD3D;PSMD8;IKBKB;MAPK8;BCL2L11;CASP8;PSMD4;IRAK1;MYC;H2-OB;H2-OA;MAP2K7;IKBKE;JAK1;H2-T10;GADD45A;ADRM1;NFKBIA;CCNA2;MAPK11;PSMC5;SNW1;PSMC4;OAS2;TRP53;CDK2;TRAF5;BCL2;FAS;CD247;MYD88"
"25","Glutathione metabolism","14/64",0.0218510559173962,0.257842459825275,0,0,2.00119329791582,7.65157464751859,"GSTM4;GGT5;GSTK1;GGT7;GPX1;IDH2;MGST2;GSTT2;SRM;GSTA4;G6PDX;CHAC2;LAP3;GGT1"
"26","Thyroid hormone signaling pathway","22/115",0.0228977787380811,0.259801720297459,0,0,1.69209132951545,6.39054733410136,"HDAC2;HDAC3;THRA;PRKCB;ITGB3;NCOA3;PIK3R3;ATP1B3;PIK3R2;PIK3R1;ATP1A1;ATP1B1;FOXO1;KAT2B;KAT2A;MED24;PLCB4;MYC;TRP53;PLCE1;KRAS;PLCB2"
"27","Cell cycle","23/123",0.0260477041748299,0.284595286354623,0,0,1.64518867924528,6.00136145690828,"SMAD2;YWHAE;CDKN1C;ZBTB17;SMAD4;HDAC2;MCM7;TGFB3;GADD45A;CDC14B;CDC20;CCNA2;CCNB2;TFDP1;ESPL1;CDC26;MYC;TRP53;CDK2;MCM3;ANAPC5;SKP1A;MAD1L1"
"28","Non-alcoholic fatty liver disease (NAFLD)","27/151",0.0289408650130917,0.304912684959359,0,0,1.55791939459803,5.51893049659385,"COX4I1;NDUFA10;PIK3R3;PRKAG2;IRS2;PIK3R2;IL6RA;PIK3R1;UQCR10;UQCRH;IKBKB;SOCS3;MAPK8;BCL2L11;CASP8;NDUFV3;NDUFA7;NDUFA4;INSR;NDUFA3;NDUFC2;EIF2S1;COX7A2L;NDUFS8;NDUFS4;UQCRC1;FAS"
"29","Propanoate metabolism","8/31",0.0303954245035499,0.309194835467146,0,0,2.48370229887095,8.6767225601205,"LDHB;LDHA;BCKDHB;ECHDC1;SUCLG2;SUCLG1;ACSS1;ACAT1"
"30","Taurine and hypotaurine metabolism","4/11",0.036981647965737,0.352230343987799,0,0,4.07744636316065,13.4447004482049,"GGT5;GGT7;GGT1;CSAD"
"31","Hedgehog signaling pathway","10/44",0.0380974338992244,0.352230343987799,0,0,2.10058319533444,6.8638831907176,"GRK2;SMO;CSNK1A1;SMURF1;SUFU;BCL2;ARRB1;CSNK1D;CSNK1E;KIF7"
"32","T cell receptor signaling pathway","19/101",0.0382080373139308,0.352230343987799,0,0,1.65639419907713,5.40764568634485,"PIK3R3;PIK3R2;PIK3R1;BCL10;RASGRP1;CD3D;NFKBIA;IKBKB;MAPK11;PAK1;CD4;TEC;NCK2;MAP3K8;PRKCQ;KRAS;CD247;MAP2K7;CARD11"
"33","Hepatitis B","28/163",0.0419652367705342,0.368540159511404,0,0,1.48364920613174,4.70452359277935,"PIK3R3;PIK3R2;PIK3R1;IKBKB;MAPK8;CASP8;IRAK1;MYC;STAT4;MAP2K7;IKBKE;JAK1;SMAD2;STAT5A;SMAD4;MAP3K1;PRKCB;TGFB3;NFKBIA;CCNA2;MAPK11;TRP53;CDK2;BCL2;BIRC5;FAS;KRAS;MYD88"
"34","SNARE interactions in vesicular transport","8/33",0.0429217842093372,0.368540159511404,0,0,2.284745209947,7.1932365087488,"STX18;STX6;VAMP1;STX2;USE1;STX4A;VAMP5;STX1A"
"35","Chagas disease (American trypanosomiasis)","19/103",0.0454976885225681,0.368540159511404,0,0,1.61677099177099,4.99597394658174,"SMAD2;TGFB3;IFNGR2;PIK3R3;PIK3R2;PIK3R1;ADCY1;CD3D;NFKBIA;IKBKB;MAPK11;MAPK8;CASP8;PLCB4;IRAK1;FAS;CD247;PLCB2;MYD88"
"36","Progesterone-mediated oocyte maturation","17/90",0.0464407656409106,0.368540159511404,0,0,1.66424904154429,5.10854163802521,"PIK3R3;PIK3R2;KIF22;ADCY1;PIK3R1;ADCY6;IGF1R;AURKA;CCNA2;CCNB2;MAPK11;MAPK8;CDC26;CDK2;ANAPC5;KRAS;MAD1L1"
"37","Parkinson disease","25/144",0.0469812507965508,0.368540159511404,0,0,1.50232506795822,4.59412008746434,"COX4I1;NDUFA10;ATP5A1;ATP5C1;PARK7;ATP5H;ATP5G3;UQCR10;ATP5G2;ATP5G1;UQCRH;ATP5B;ATP5E;NDUFV3;NDUFA7;NDUFA4;NDUFA3;NDUFC2;COX7A2L;NDUFS8;NDUFS4;UQCRC1;PPIF;VDAC1;SLC25A5"
"38","Pyrimidine metabolism","12/58",0.0474729696997741,0.368540159511404,0,0,1.86336925453157,5.67879442984944,"DCTD;NT5C3B;DTYMK;UCK2;ENTPD6;NME2;NME4;CTPS;UMPS;DCK;NT5C3;NME1"
"39","Base excision repair","8/35",0.0584450314612576,0.442084212335153,0,0,2.11526324530809,6.0066466176257,"POLD4;PARP3;PARP1;NTHL1;POLE2;APEX1;NEIL1;UNG"
"40","Glycerolipid metabolism","12/61",0.0659625581232725,0.477421977267767,0,0,1.74898542512146,4.75491070616029,"AGPAT5;DGKD;TKFC;ALDH1B1;MOGAT1;DGKA;GLYCTK;MBOAT1;AKR1B3;LPIN1;DGKZ;AGPAT3"
"41","Primary immunodeficiency","8/36",0.0673777779017431,0.477421977267767,0,0,2.03960165395143,5.50170312653341,"CD4;TNFRSF13B;IL2RG;RAG2;CD3D;ADA;UNG;RAG1"
"42","Toxoplasmosis","19/108",0.0679719425262584,0.477421977267767,0,0,1.52550405359394,4.10156213888426,"TGFB3;IFNGR2;H2-DMA;PIK3R5;NFKBIA;IKBKB;MAPK11;MAPK8;CASP8;IRAK1;PPIF;IGTP;BCL2;H2-OB;ITGA6;H2-OA;MYD88;JAK1;BIRC3"
"43","Viral carcinogenesis","36/229",0.0727093837039149,0.495776021260602,0,0,1.33423641899471,3.4974136826634,"YWHAE;H2-T24;HDAC4;H2-T22;GTF2A2;HDAC2;HDAC3;PIK3R3;PIK3R2;H2-Q2;PIK3R1;HDAC8;HDAC7;CDC20;CASP8;CCR4;JAK1;STAT5A;RANBP1;H2-T10;ACTN1;MRPS18B;GTF2H3;GTF2H4;NFKBIA;CCNA2;KAT2B;KAT2A;SNW1;TRP53;CDK2;TRAF5;RASA2;KRAS;IL6ST;MAD1L1"
"44","Basal transcription factors","9/43",0.0748700599025743,0.495776021260602,0,0,1.88975386239324,4.89824428403965,"GTF2A2;TAF10;TAF8;TAF4B;GTF2IRD1;GTF2H3;MNAT1;GTF2H4;GTF2I"
"45","Glyoxylate and dicarboxylate metabolism","7/31",0.0784137510166058,0.495776021260602,0,0,2.08172032056506,5.29955193683371,"GCSH;MDH1;SHMT2;SHMT1;GLYCTK;ACSS1;ACAT1"
"46","Chronic myeloid leukemia","14/76",0.0786598712945414,0.495776021260602,0,0,1.61275821611717,4.1006347599988,"STAT5A;HDAC2;SMAD4;TGFB3;GADD45A;PIK3R3;PIK3R2;PIK3R1;RUNX1;IKBKB;NFKBIA;MYC;TRP53;KRAS"
"47","Thermogenesis","36/231",0.0802235517948494,0.495776021260602,0,0,1.32039968279144,3.33128672496457,"KDM3A;COX18;COX4I1;ATP5A1;NDUFA10;ATP5C1;PRKAG2;ATP5H;ADCY1;UQCR10;ATP5G3;ATP5G2;ATP5G1;ADCY6;UQCRH;ATP5B;ATP5E;NDUFV3;COX10;SMARCE1;NDUFA7;ZFP516;NDUFA4;NDUFA3;RPS6;NDUFC2;ACSL3;MAPK11;COX7A2L;NDUFS8;NDUFAF6;AKT1S1;NDUFS4;UQCRC1;KRAS;FGFR1"
"48","Cysteine and methionine metabolism","10/50",0.0806686407474878,0.495776021260602,0,0,1.78488372093023,4.49327586338969,"MPST;LDHB;MTAP;LDHA;MDH1;DNMT3A;MRI1;KYAT1;BCAT2;SRM"
"49","Pyruvate metabolism","8/38",0.0876260922065731,0.503581561770944,0,0,1.90341078950944,4.63418946034627,"LDHB;LDHA;ALDH1B1;MDH1;ME2;ACYP1;ACSS1;ACAT1"
"50","Influenza A","27/168",0.0880348124731686,0.503581561770944,0,0,1.36874770537946,3.32608833196673,"H2-DMA;PIK3R3;PIK3R2;PIK3R1;PYCARD;IKBKB;SOCS3;NXF1;MAPK8;H2-OB;H2-OA;MAP2K7;IKBKE;RAE1;JAK1;CPSF4;PRKCB;IFNGR2;TNFRSF10B;EIF2S1;NFKBIA;MAPK11;DDX39B;OAS2;FAS;VDAC1;MYD88"
"51","Central carbon metabolism in cancer","12/64",0.0886177229984837,0.503581561770944,0,0,1.64779972987405,3.99331643630212,"LDHA;MYC;NTRK3;TRP53;G6PDX;PIK3R3;PIK3R2;KRAS;PIK3R1;PFKM;PDK1;FGFR1"
"52","TGF-beta signaling pathway","16/91",0.0887669193630139,0.503581561770944,0,0,1.52378459441036,3.69021197500622,"TGIF1;SMAD2;SMAD1;SMAD4;TGIF2;TGFB3;SMURF1;FST;RGMB;BMP7;SMAD5;TFDP1;BAMBI;MYC;ID3;SKP1A"
"53","Prolactin signaling pathway","13/72",0.0994554612069199,0.553572850113988,0,0,1.57333554890883,3.63132981510196,"STAT5A;GALT;PIK3R3;PIK3R2;PIK3R1;CYP17A1;SOCS3;MAPK11;MAPK8;IRF1;KRAS;SOCS6;SOCS5"
"54","Fluid shear stress and atherosclerosis","23/143",0.107767298575348,0.588728760735697,0,0,1.36941823899371,3.05076396026044,"GSTM4;ITGB3;MGST2;GSTT2;PIK3R3;PLAT;PIK3R2;PIK3R1;PTK2;ASS1;KLF2;TXN2;IKBKB;MAPK11;MAPK8;SUMO1;GSTA4;CTSL;TRP53;SUMO3;BCL2;PECAM1;MAP2K7"
"55","Human immunodeficiency virus 1 infection","36/238",0.110671061408959,0.593599329375325,0,0,1.27412881494335,2.80460328584344,"H2-T24;H2-T22;PIK3R3;CXCR4;ITPR2;PIK3R2;H2-Q2;PIK3R1;RNF7;CD3D;IKBKB;CCNB2;PAK1;MAPK8;CASP8;IRAK1;AP1G2;CFL1;MAP2K7;SKP1A;AP1M2;AP1M1;H2-T10;PRKCB;LIMK1;AP1B1;PTK2;NFKBIA;MAPK11;CD4;TRAF5;BCL2;FAS;KRAS;CD247;MYD88"
"56","Leishmaniasis","12/67",0.115535930862092,0.607984314675752,0,0,1.55765247410817,3.36168461532853,"NFKBIA;MAPK11;MARCKSL1;IRAK1;PRKCB;TGFB3;IFNGR2;H2-DMA;H2-OB;H2-OA;MYD88;JAK1"
"57","Endocytosis","40/269",0.117474935378027,0.607984314675752,0,0,1.2488974746081,2.67455176359013,"WASHC4;H2-T24;H2-T22;RAB5C;TFRC;SH3KBP1;ARPC5L;SNX12;NEDD4L;CXCR4;PARD6G;ARRB1;ASAP1;H2-Q2;IL2RG;IGF1R;CYTH3;SNX4;GRK2;GRK6;LDLRAP1;SNX5;CYTH1;WASHC3;PSD;SMAD2;RAB4A;H2-T10;IST1;SMURF1;ARAP2;IZUMO1R;EPS15L1;EPN1;ARFGAP2;EHD3;2610002M06RIK;ARPC3;DNAJC6;CHMP4B"
"58","Mismatch repair","5/22",0.124826045691114,0.633737461330069,0,0,2.09834259436674,4.36630291904988,"MSH6;POLD4;EXO1;MSH3;MLH3"
"59","Alzheimer disease","27/175",0.126943734804216,0.633737461330069,0,0,1.30348497634858,2.69040775149454,"COX4I1;NDUFA10;ATP5A1;ATP5C1;ITPR2;ATP5H;ATP5G3;UQCR10;ATP5G2;ATP5G1;HSD17B10;UQCRH;ATP5B;CASP8;ATP5E;NDUFV3;NDUFA7;NDUFA4;NDUFA3;NDUFC2;COX7A2L;NDUFS8;PLCB4;NDUFS4;UQCRC1;FAS;PLCB2"
"60","Type II diabetes mellitus","9/48",0.128895754846794,0.633737461330069,0,0,1.64700715271678,3.37430805062961,"IKBKB;SOCS3;MAPK8;INSR;CACNA1A;PIK3R3;IRS2;PIK3R2;PIK3R1"
"61","HIF-1 signaling pathway","17/104",0.135051870813661,0.646391993081998,0,0,1.39531952518013,2.79356412299276,"TFRC;PRKCB;INSR;IFNGR2;RPS6;PIK3R3;PIK3R2;IL6RA;PIK3R1;ENO2;ENO3;IGF1R;LDHA;MKNK2;BCL2;EIF4E2;PDK1"
"62","Prostate cancer","16/97",0.135851876512149,0.646391993081998,0,0,1.41042692317403,2.81548030324851,"TCF7;LEF1;PIK3R3;PLAT;PIK3R2;PIK3R1;FOXO1;ETV5;IGF1R;NFKBIA;IKBKB;TRP53;CDK2;BCL2;KRAS;FGFR1"
"63","Notch signaling pathway","9/49",0.141670080549572,0.654708730770466,0,0,1.60574021207178,3.13802471576076,"JAG2;KAT2B;KAT2A;HDAC2;SNW1;DTX1;DTX2;MAML3;HES5"
"64","Valine, leucine and isoleucine degradation","10/56",0.144328101283005,0.654708730770466,0,0,1.55154063115321,3.00326458709857,"ACAD8;ACAA2;HIBADH;ALDH1B1;OXCT1;IVD;BCKDHB;HSD17B10;BCAT2;ACAT1"
"65","Synthesis and degradation of ketone bodies","3/11",0.144503795600101,0.654708730770466,0,0,2.67458299430431,5.17384574846632,"BDH1;OXCT1;ACAT1"
"66","Peroxisome","14/84",0.146477207562206,0.654708730770466,0,0,1.42778912954638,2.74261935377542,"PECR;GSTK1;ABCD3;IDH2;ACSL3;DHRS4;PEX7;AMACR;SCP2;PEX6;PRDX1;NUDT19;PXMP4;XDH"
