"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","rRNA processing Homo sapiens R-HSA-72312","126/180",5.70800736528281e-73,7.21492130971747e-70,0,0,17.4725196288365,2906.49845852114,"LTV1;RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;FCF1;THUMPD1;PWP2;RPL8;RPL10A;RPL9;RPL6;RPL7;RRP9;RPS15;FBL;RPS14;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPP38;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;IMP3;RPL23;RPS5;RPL22;RPS6;RPSA;CSNK1D;CSNK1E;DKC1;XRN2;NHP2;RPL27;RPL26;RPL29;RPL28;UBA52;NOP2;ISG20L2;EMG1;GAR1;UTP20;RPL41;PNO1;RPS26;RCL1;RPS25;TBL3;RPS28;RPS27;RPS29;RPL27A;RPS20;NOL11;RPS21;NOP10;RPS24;RPS23;DDX49;DDX47;RPLP1;RPLP0;NAT10;WDR46;WDR43;RPS4X;RPL7A;NOB1;RPLP2;UTP14A;WDR36;TEX10;RPL13A;SENP3;RPL37A;C1D;RPL10;RPL12;RPL11;HEATR1;RPL36A;NOL9;NOC4L;HSD17B10;NOL6;RPS15A;PES1;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;EXOSC2;EXOSC1;RPL19;NOP56;NOP58;UTP3;WDR18;RPL35A;RPL23A;WDR12;BOP1;TSR1;FAU"
"2","Major pathway of rRNA processing in the nucleolus Homo sapiens R-HSA-6791226","118/166",1.35936894065591e-69,8.59121170494533e-67,0,0,18.3519881917769,2910.09955814691,"LTV1;RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;FCF1;PWP2;RPL8;RPL10A;RPL9;RPL6;RPL7;RRP9;RPS15;FBL;RPS14;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPP38;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;IMP3;RPL23;RPS5;RPL22;RPS6;RPSA;CSNK1D;CSNK1E;XRN2;RPL27;RPL26;RPL29;RPL28;UBA52;ISG20L2;EMG1;UTP20;RPL41;PNO1;RPS26;RCL1;RPS25;TBL3;RPS28;RPS27;RPS29;RPL27A;RPS20;NOL11;RPS21;RPS24;RPS23;DDX49;DDX47;RPLP1;RPLP0;WDR46;WDR43;RPS4X;RPL7A;NOB1;RPLP2;UTP14A;WDR36;TEX10;RPL13A;SENP3;RPL37A;C1D;RPL10;RPL12;RPL11;HEATR1;RPL36A;NOL9;NOC4L;NOL6;RPS15A;PES1;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;EXOSC2;EXOSC1;RPL19;NOP56;NOP58;UTP3;WDR18;RPL35A;RPL23A;WDR12;BOP1;TSR1;FAU"
"3","Viral mRNA Translation Homo sapiens R-HSA-192823","78/84",6.81094633543411e-64,2.15225904199718e-61,0,0,95.6479227864037,13911.6952838187,"RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;GRSF1;RPS21;RPS24;RPS23"
"4","Peptide chain elongation Homo sapiens R-HSA-156902","78/84",6.81094633543411e-64,2.15225904199718e-61,0,0,95.6479227864037,13911.6952838187,"RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;EEF1A1;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23"
"5","Selenocysteine synthesis Homo sapiens R-HSA-2408557","79/87",9.11351453285629e-63,1.88817053396329e-60,0,0,72.6778442485306,10382.2555290662,"RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;SECISBP2;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;EEFSEC;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23"
"6","Eukaryotic Translation Elongation Homo sapiens R-HSA-156842","80/89",1.0456640615303e-62,1.88817053396329e-60,0,0,65.4440244528443,9339.88476175837,"RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;EEF1B2;RPS4X;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;EEF1A1;EEF1G;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23"
"7","Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) Homo sapiens R-HSA-975956","80/89",1.0456640615303e-62,1.88817053396329e-60,0,0,65.4440244528443,9339.88476175837,"RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;NCBP1;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;ETF1;RPL27;RPL26;PABPC1;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23"
"8","Eukaryotic Translation Termination Homo sapiens R-HSA-72764","78/87",5.8997134555372e-61,9.32154725974878e-59,0,0,63.754371240733,8841.63388006938,"RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;ETF1;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23"
"9","Formation of a pool of free 40S subunits Homo sapiens R-HSA-72689","82/96",3.00403244422062e-60,4.21899667721652e-58,0,0,43.1468804419624,5913.50217296666,"RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;EIF3M;RPS27;EIF3K;RPS29;RPL27A;EIF3I;RPS20;EIF3E;FAU;RPS21;EIF3D;RPS24;RPS23"
"10","L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827","85/106",7.0806228299523e-58,8.13627932459974e-56,0,0,29.8426727593394,3927.07410910133,"RPL4;RPL5;EIF4A1;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL27;RPL26;PABPC1;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;EIF2S1;RPS26;RPS25;RPS28;EIF3M;RPS27;EIF3K;RPS29;RPL27A;EIF3I;RPS20;EIF3E;FAU;RPS21;EIF3D;RPS24;RPS23"
"11","3' -UTR-mediated translational regulation Homo sapiens R-HSA-157279","85/106",7.0806228299523e-58,8.13627932459974e-56,0,0,29.8426727593394,3927.07410910133,"RPL4;RPL5;EIF4A1;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL27;RPL26;PABPC1;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;EIF2S1;RPS26;RPS25;RPS28;EIF3M;RPS27;EIF3K;RPS29;RPL27A;EIF3I;RPS20;EIF3E;FAU;RPS21;EIF3D;RPS24;RPS23"
"12","GTP hydrolysis and joining of the 60S ribosomal subunit Homo sapiens R-HSA-72706","84/107",8.29443288493789e-56,8.73680263880125e-54,0,0,26.9126959448336,3413.31517589132,"RPL4;RPL5;EIF4A1;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;EIF2S1;RPS26;RPS25;RPS28;EIF3M;RPS27;EIF3K;RPS29;RPL27A;EIF3I;RPS20;EIF3E;FAU;RPS21;EIF3D;RPS24;RPS23"
