"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Steroid biosynthesis","10/19",4.59247274975387e-07,0.000132263215192911,0,0,12.9580340797071,189.105364516912,"SQLE;EBP;SOAT1;SOAT2;SC5D;DHCR24;MSMO1;HSD17B7;LSS;FDFT1"
"2","Regulation of actin cytoskeleton","33/214",0.000175833940476211,0.0241466758973162,0,0,2.13754596649553,18.4811594292985,"ITGB1;CYFIP1;NCKAP1;SRC;PXN;ITGB2;PDGFB;IQGAP1;ITGAE;ITGAL;SLC9A1;ITGAX;PAK6;ITGAV;GIT1;PAK4;MAPK3;VAV3;ARHGEF12;ITGA4;ITGA3;F2R;ITGA1;ACTN4;SSH3;DIAPH1;DIAPH2;DIAPH3;LPAR5;ABI2;SOS2;VCL;PFN2"
"3","Rheumatoid arthritis","18/91",0.000251527873930377,0.0241466758973162,0,0,2.88021987610156,23.8711377458453,"CD86;ATP6V1A;ATP6V0B;ATP6V1G2;CSF1;IL15;CD80;ITGB2;TCIRG1;FOS;ITGAL;TNF;TNFSF13B;IFNG;CCL3;CTLA4;TNFSF11;ATP6V0A1"
"4","Natural killer cell mediated cytotoxicity","22/131",0.000626769726453487,0.045127420304651,0,0,2.3589932862315,17.3974135345181,"PRKCG;IFNAR2;VAV3;KLRC2;KLRC3;ITGB2;PRF1;NFATC2;GZMB;ITGAL;TNF;PPP3CA;KLRK1;PPP3CC;IFNG;CASP3;TNFSF10;PLCG2;CD48;KLRC1;SOS2;MAPK3"
"5","T cell receptor signaling pathway","18/101",0.000931622877122158,0.0525549798128851,0,0,2.53182411173356,17.6685433466781,"IL10;VAV3;NFATC2;CD3G;FOS;TNF;PPP3CA;PPP3CC;IFNG;CD8A;AKT3;CTLA4;PAK6;PDCD1;ICOS;SOS2;PAK4;MAPK3"
"6","Axon guidance","27/181",0.00109489541276844,0.0525549798128851,0,0,2.05065850229207,13.979536762771,"ITGB1;NRP1;SRC;PRKCZ;PPP3CA;RGS3;PPP3CC;DPYSL2;PLCG2;PAK6;SRGAP3;SRGAP2;CAMK2G;WNT4;PAK4;MAPK3;SEMA6B;SEMA4A;ARHGEF12;SEMA4D;RYK;SEMA6D;NFATC2;L1CAM;SSH3;MET;EPHA3"
"7","Lysosome","20/123",0.00162622068240453,0.0630884633538989,0,0,2.26731226471171,14.5595378992903,"ABCA2;ATP6V0B;ASAH1;CLTC;CTSW;TCIRG1;GNS;LITAF;IGF2R;PLA2G15;GALC;CLN3;NPC1;SMPD1;AP1S2;IDS;ACP2;CTSD;ATP6V0A1;CTSB"
"8","Human cytomegalovirus infection","31/225",0.00184502320187684,0.0630884633538989,0,0,1.86970052109198,11.7702573080515,"RB1;PTGER4;CDKN1A;SRC;PTGER2;PXN;ITPR1;ELK1;TNF;PPP3CA;PPP3CC;GNG2;CREB3L1;CASP3;CREB3L2;AKT3;CCL4;EIF4EBP1;CCL3;ITGAV;CCR5;MAPK3;PRKCG;ARHGEF12;IL10RB;NFATC2;GNG11;PLCB3;CDK6;GNAQ;SOS2"
"9","Tuberculosis","26/179",0.00197151447980934,0.0630884633538989,0,0,1.98645108918514,12.3735109880265,"CEBPB;SRC;ITGB2;CEBPG;TCIRG1;TNF;EEA1;PPP3CA;PPP3CC;IRAK2;CASP3;AKT3;ITGAX;EP300;CTSD;CAMK2G;ATP6V0A1;MAPK3;IL10;PLK3;ATP6V0B;ARHGEF12;APAF1;IL10RB;IRAK4;IFNG"
"10","TNF signaling pathway","18/110",0.00252525534760193,0.0727273540109357,0,0,2.28302409304902,13.6557102031785,"MAP2K3;CEBPB;VCAM1;CSF1;MLKL;IL15;FOS;TNF;RPS6KA4;CASP7;CREB3L1;CASP3;CREB3L2;AKT3;LTA;TAB2;IL18R1;MAPK3"
"11","B cell receptor signaling pathway","13/71",0.00357374428564969,0.0868769059166178,0,0,2.61195402298851,14.7161183305754,"VAV3;IFITM1;INPPL1;NFATC2;FOS;PPP3CA;PPP3CC;INPP5D;AKT3;PLCG2;PIK3AP1;SOS2;MAPK3"
"12","Glycerophospholipid metabolism","16/97",0.00393076262060571,0.0868769059166178,0,0,2.30339584707693,12.7583295195028,"PCYT1B;LPGAT1;PCYT1A;LCLAT1;AGPAT2;PLD3;SELENOI;PLD2;AGPAT4;PLA2G15;PLPP5;GPAM;PLPP2;LPIN2;DGKH;CDS2"
"13","Adherens junction","13/72",0.00405119655810063,0.0868769059166178,0,0,2.56754371805219,14.143938471317,"FARP2;SRC;PTPRJ;ACTN4;IQGAP1;TGFBR1;TJP1;CDH1;CTNNA1;EP300;MET;VCL;MAPK3"
"14","Apoptosis","21/143",0.00446377026845528,0.0868769059166178,0,0,2.0091121177566,10.8728356450003,"PARP4;APAF1;PRF1;ITPR1;GZMB;CTSW;FOS;PTPN13;TNF;ERN1;CASP7;CASP3;AKT3;LMNA;CAPN2;TNFSF10;PMAIP1;CTSD;TUBA8;CTSB;MAPK3"
"15","Thyroid hormone signaling pathway","18/116",0.00453378157224636,0.0868769059166178,0,0,2.14254517093462,11.5615999022366,"PRKCG;NOTCH2;NCOA1;NCOA2;THRB;SRC;ATP1A2;MED12L;SLC9A1;PLCB3;AKT3;PLCG2;EP300;ITGAV;PLCD1;PFKP;WNT4;MAPK3"
"16","Phosphatidylinositol signaling system","16/99",0.00482649477314543,0.0868769059166178,0,0,2.24764707685705,11.9881286551629,"PRKCG;PI4K2B;INPPL1;ITPR1;MTMR7;INPP4A;INPP4B;PLCB3;PPIP5K1;SYNJ1;IMPA2;INPP5D;PLCG2;PLCD1;DGKH;CDS2"
"17","VEGF signaling pathway","11/59",0.0061529232445056,0.103424149767002,0,0,2.66862185584443,13.5854948272095,"PRKCG;PPP3CA;PPP3CC;MAPKAPK3;SRC;AKT3;MAPKAPK2;PXN;PLCG2;NFATC2;MAPK3"
