"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Cytokine-cytokine receptor interaction","23/294",0.000586492007204318,0.14633945946807,0,0,2.26080228544221,16.8234245184895,"IL10;GDF11;XCR1;TNFSF14;CSF1;TNFRSF13C;CXCR6;TNF;IFNG;CXCR3;IL2RA;CCL4;TNFSF10;LEPR;CCL3;TNFSF11;TNFSF9;CCR8;CCL1;CCR5;IL18R1;CCR2;IL12RB2"
"2","Allograft rejection","6/38",0.0024567206879569,0.14633945946807,0,0,4.93972602739726,29.682457406172,"CD86;IL10;IFNG;CD80;GZMB;TNF"
"3","Graft-versus-host disease","6/41",0.00364544771110319,0.14633945946807,0,0,4.51561643835616,25.3519174115414,"CD86;IFNG;CD80;GZMB;KLRC1;TNF"
"4","Thyroid hormone signaling pathway","11/116",0.00368121893575316,0.14633945946807,0,0,2.76845977011494,15.51586420115,"PRKCG;NOTCH2;THRB;SRC;AKT3;ITGAV;ATP1A2;MED12L;PLCD1;WNT4;MAPK3"
"5","Sphingolipid signaling pathway","11/119",0.00447412071661073,0.14633945946807,0,0,2.69113665389527,14.5575568859482,"PRKCG;CERS4;PPP2R2C;GNAQ;SMPD1;AKT3;TNF;PRKCZ;CTSD;PLD2;MAPK3"
"6","Steroid biosynthesis","4/19",0.00453361689364328,0.14633945946807,0,0,7.01238615664845,37.8404852024033,"SQLE;SOAT1;SOAT2;LSS"
"7","Chemokine signaling pathway","15/190",0.00457970768135982,0.14633945946807,0,0,2.26934812760055,12.222981581948,"XCR1;SRC;CXCR6;PRKCZ;GNG11;GNG2;CXCR3;AKT3;CCL4;CCL3;CCR8;CCL1;CCR5;CCR2;MAPK3"
"8","Type I diabetes mellitus","6/43",0.00464569712597047,0.14633945946807,0,0,4.27108478341355,22.9434723386968,"CD86;IFNG;CD80;ICA1;GZMB;TNF"
"9","Rheumatoid arthritis","9/91",0.00628462020057103,0.175969365615989,0,0,2.89593048612742,14.6813536075129,"CD86;CSF1;IFNG;CD80;CCL3;CTLA4;TNFSF11;TNF;ATP6V0A1"
"10","Natural killer cell mediated cytotoxicity","11/131",0.00908893072286964,0.196972878142742,0,0,2.42050574712644,11.3780665486128,"PRKCG;KLRK1;KLRC2;IFNG;KLRC3;TNFSF10;GZMB;CD48;KLRC1;TNF;MAPK3"
"11","Human cytomegalovirus infection","16/225",0.00931017811862581,0.196972878142742,0,0,2.02604997341839,9.47512064330916,"PRKCG;PTGER4;CDKN1A;ARHGEF12;SRC;GNG11;TNF;CDK6;GNG2;GNAQ;AKT3;CCL4;CCL3;ITGAV;CCR5;MAPK3"
"12","Inflammatory bowel disease (IBD)","7/65",0.00972128607984134,0.196972878142742,0,0,3.1796509152831,14.7327133315704,"IL10;IFNG;TBX21;RORA;TNF;IL18R1;IL12RB2"
"13","Choline metabolism in cancer","9/99",0.0107314512177815,0.196972878142742,0,0,2.63741403026135,11.9595556371789,"PRKCG;PCYT1B;AKT3;PDGFB;PLPP2;RALGDS;DGKH;PLD2;MAPK3"
"14","African trypanosomiasis","5/37",0.0109429376745968,0.196972878142742,0,0,4.11080711354309,18.5605448440793,"PRKCG;IL10;IFNG;GNAQ;TNF"
"15","Tuberculosis","13/179",0.0153179052859371,0.200281885734309,0,0,2.06863970404439,8.64429269582955,"IL10;PLK3;ARHGEF12;SRC;CEBPG;TNF;EEA1;IFNG;AKT3;ITGAX;CTSD;ATP6V0A1;MAPK3"
"16","Gap junction","8/88",0.0156999598060638,0.200281885734309,0,0,2.63516483516484,10.9467306702827,"PRKCG;TJP1;SRC;GNAQ;PDGFB;ADRB1;MAPK3;TUBA8"
"17","Parathyroid hormone synthesis, secretion and action","9/106",0.0162688075953242,0.200281885734309,0,0,2.44619180646351,10.0746547734206,"PRKCG;EGR1;CDKN1A;GNAQ;TNFSF11;PDE4A;RUNX2;PLD2;MAPK3"
"18","Adherens junction","7/72",0.0165277861209539,0.200281885734309,0,0,2.83619288804474,11.636083467078,"FARP2;TJP1;CDH1;SRC;CTNNA1;PTPRJ;MAPK3"
"19","Glutathione metabolism","6/56",0.0165808884156593,0.200281885734309,0,0,3.15846575342466,12.948144718139,"HPGDS;RRM2B;GSTT1;CHAC1;OPLAH;GSTM5"
"20","Axon guidance","13/181",0.0166547666135201,0.200281885734309,0,0,2.0437989857077,8.36947706361346,"SEMA6B;ITGB1;NRP1;SEMA4A;ARHGEF12;SRC;SEMA6D;L1CAM;PRKCZ;RGS3;SRGAP3;WNT4;MAPK3"
"21","Bladder cancer","5/41",0.0166901571445257,0.200281885734309,0,0,3.65329077367381,14.952685785851,"CDKN1A;SRC;CDH1;DAPK2;MAPK3"
"22","Cell adhesion molecules (CAMs)","11/145",0.018368971542898,0.210408219491377,0,0,2.16603190941843,8.65782961183885,"CD86;ITGB1;CDH1;CD80;CNTN1;CTLA4;CD226;ESAM;ITGAV;PDCD1;L1CAM"
"23","Kaposi sarcoma-associated herpesvirus infection","13/186",0.0203835682994319,0.215403596659294,0,0,1.98420997929309,7.72458139247278,"CD86;GABARAPL1;CDKN1A;SRC;PDGFB;GNG11;CD200R1;CDK6;GNG2;AKT3;CCR8;CCR5;MAPK3"
"24","Rap1 signaling pathway","14/206",0.0205146282532661,0.215403596659294,0,0,1.92613111726685,7.48613408709375,"PRKCG;FARP2;ITGB1;CSF1;SRC;F2R;PDGFB;PRKCZ;CDH1;ADORA2B;GNAQ;AKT3;RALGDS;MAPK3"
"25","Pathways in cancer","29/530",0.0223335937345563,0.225122624844328,0,0,1.53618364402736,5.84005296400205,"NOTCH2;ITGB1;PTGER4;CDKN1A;EPAS1;PDGFB;GSTT1;LAMC1;GNG2;CDH1;AKT3;CTNNA1;ITGAV;RALGDS;IL12RB2;WNT4;MAPK3;PRKCG;WNT10B;ARNT2;ARHGEF12;DAPK2;F2R;GNG11;CDK6;IFNG;IL2RA;GNAQ;GSTM5"
"26","Toxoplasmosis","9/113",0.0236560476933863,0.225425230797902,0,0,2.28071103586922,8.53929339044769,"ITGB1;IL10;IFNG;AKT3;LAMC1;CCR5;TNF;LDLR;MAPK3"
"27","Glycosphingolipid biosynthesis","5/45",0.0241527032997752,0.225425230797902,0,0,3.28727770177839,12.2397149088208,"FUT7;ST3GAL4;B3GALT5;B4GALT4;ST6GALNAC6"
"28","Proteoglycans in cancer","13/201",0.0353203459036421,0.287113118439126,0,0,1.82446072805391,6.09971245471868,"PRKCG;ITGB1;WNT10B;CDKN1A;ARHGEF12;SRC;TNF;AKT3;ITGAV;HPSE;CD44;WNT4;MAPK3"
"29","Chagas disease (American trypanosomiasis)","8/103",0.0362206356299984,0.287113118439126,0,0,2.21735106998265,7.35745085183372,"IL10;IFNG;PPP2R2C;GNAQ;AKT3;CCL3;TNF;MAPK3"
"30","JAK-STAT signaling pathway","11/162",0.0374092507121379,0.287113118439126,0,0,1.92046585978534,6.31033827845262,"SOCS2;IL10;PIAS3;CDKN1A;CISH;IFNG;IL2RA;AKT3;LEPR;PDGFB;IL12RB2"
"31","C-type lectin receptor signaling pathway","8/104",0.0380297953785545,0.287113118439126,0,0,2.19413919413919,7.17348650993605,"IL10;PLK3;ARHGEF12;SRC;AKT3;CASP1;TNF;MAPK3"
"32","Toll-like receptor signaling pathway","8/104",0.0380297953785545,0.287113118439126,0,0,2.19413919413919,7.17348650993605,"CD86;CD80;AKT3;CCL4;CCL3;IRF5;TNF;MAPK3"
"33","Prion diseases","4/35",0.0386107973309378,0.287113118439126,0,0,3.39026969857218,11.0326947074949,"EGR1;PRNP;LAMC1;MAPK3"
"34","Apoptosis","10/143",0.0387374842338504,0.287113118439126,0,0,1.98129621574598,6.44109010389902,"ERN1;AKT3;LMNA;TNFSF10;GZMB;PTPN13;TNF;CTSD;TUBA8;MAPK3"
"35","Renal cell carcinoma","6/69",0.0412190545553036,0.296777192798186,0,0,2.50502283105023,7.98815367894071,"ARNT2;CDKN1A;EPAS1;AKT3;PDGFB;MAPK3"
"36","Prolactin signaling pathway","6/70",0.04374124075213,0.304933443487217,0,0,2.46575342465753,7.71648632285763,"SOCS2;CISH;SRC;AKT3;TNFSF11;MAPK3"
"37","Autoimmune thyroid disease","5/53",0.0447719738453453,0.304933443487217,0,0,2.73825809393525,8.50550313696925,"CD86;IL10;CD80;CTLA4;GZMB"
"38","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","6/72",0.0490697879016808,0.314855040643017,0,0,2.39078455790785,7.20704814452499,"ITGB1;ITGA1;LMNA;PKP2;CTNNA1;ITGAV"
"39","Melanoma","6/72",0.0490697879016808,0.314855040643017,0,0,2.39078455790785,7.20704814452499,"CDKN1A;CDK6;CDH1;AKT3;PDGFB;MAPK3"
"40","Tight junction","11/170",0.0499769905782567,0.314855040643017,0,0,1.82307525482542,5.46228452924499,"ITGB1;TJP1;MARVELD2;PPP2R2C;SRC;PRKCZ;ACTR3B;YBX3;TJP3;TUBA8;RAB8B"
"41","Th1 and Th2 cell differentiation","7/92",0.0529501461495158,0.325449678772634,0,0,2.16659404502542,6.3663295763057,"NOTCH2;IFNG;TBX21;IL2RA;RBPJ;IL12RB2;MAPK3"
"42","Glioma","6/75",0.0577805258589291,0.346683155153575,0,0,2.28648004764741,6.51899122749968,"PRKCG;CDKN1A;CDK6;AKT3;PDGFB;MAPK3"
"43","Endometrial cancer","5/58",0.0617294979681578,0.356384059711547,0,0,2.47928658080169,6.90479670303711,"CDKN1A;CDH1;AKT3;CTNNA1;MAPK3"
"44","Human papillomavirus infection","18/330",0.0633668218648561,0.356384059711547,0,0,1.52281979858582,4.20117790307029,"PTGER4;NOTCH2;ITGB1;WNT10B;CDKN1A;ITGA1;MX1;LAMC1;RBPJ;PRKCZ;TNF;CDK6;PPP2R2C;AKT3;ITGAV;ATP6V0A1;WNT4;MAPK3"
"45","VEGF signaling pathway","5/59",0.0655013601512427,0.356384059711547,0,0,2.43324720068906,6.63226386542687,"PRKCG;MAPKAPK3;SRC;AKT3;MAPK3"
"46","Apelin signaling pathway","9/137",0.0664684555811218,0.356384059711547,0,0,1.85075653370014,5.01745240653501,"EGR1;GABARAPL1;MEF2B;GNG2;CDH1;GNAQ;AKT3;GNG11;MAPK3"
"47","Insulin signaling pathway","9/137",0.0664684555811218,0.356384059711547,0,0,1.85075653370014,5.01745240653501,"SOCS2;PRKAR2B;PPP1R3E;PRKAR2A;AKT3;TRIP10;PYGL;PRKCZ;MAPK3"
"48","Fluid shear stress and atherosclerosis","9/139",0.0714078549750073,0.374891238618788,0,0,1.8220929002222,4.80913616246258,"IFNG;SRC;AKT3;PDGFB;GSTT1;ITGAV;TNF;PRKCZ;GSTM5"
"49","T cell receptor signaling pathway","7/101",0.0789647530997775,0.406104444513141,0,0,1.95823483057526,4.97147590077484,"IL10;IFNG;AKT3;CTLA4;PDCD1;TNF;MAPK3"
"50","ECM-receptor interaction","6/82",0.0814802543004255,0.410660481674145,0,0,2.07512617159337,5.20316008768734,"ITGB1;SV2C;ITGA1;ITGAV;LAMC1;CD44"
"51","Platelet activation","8/124",0.0873330300391908,0.427448714191134,0,0,1.81394467601364,4.42244525627932,"ITGB1;ARHGEF12;SRC;GNAQ;AKT3;F2R;PRKCZ;MAPK3"
"52","Type II diabetes mellitus","4/46",0.0882037029283292,0.427448714191134,0,0,2.50091074681239,6.07247722394409,"SOCS2;PRKCZ;TNF;MAPK3"
"53","ErbB signaling pathway","6/85",0.0930711795796089,0.433566087736075,0,0,1.99601179122594,4.73931184765584,"PRKCG;CDKN1A;SRC;AKT3;AREG;MAPK3"
"54","Non-small cell lung cancer","5/66",0.0953834105335263,0.433566087736075,0,0,2.15323720033191,5.05978574744237,"PRKCG;CDKN1A;CDK6;AKT3;MAPK3"
"55","Salmonella infection","6/86",0.0971222177219784,0.433566087736075,0,0,1.97095890410959,4.595852638955,"TJP1;IFNG;CCL4;CASP1;CCL3;MAPK3"
"56","Regulation of actin cytoskeleton","12/214",0.0979335023235326,0.433566087736075,0,0,1.56408292762978,3.63409440811298,"ITGB1;CYFIP1;ARHGEF12;ABI2;SRC;F2R;ITGA1;PDGFB;ITGAX;ITGAV;ITGAE;MAPK3"
"57","Intestinal immune network for IgA production","4/48",0.09945815101574,0.433566087736075,0,0,2.38698460009935,5.50920417727361,"CD86;IL10;CD80;TNFRSF13C"
"58","Th17 cell differentiation","7/107",0.0997890201932237,0.433566087736075,0,0,1.8401646090535,4.24102207448237,"IFNG;IRF4;TBX21;IL2RA;RORA;AHR;MAPK3"
"59","Circadian rhythm","3/31",0.104380150740251,0.435104586553801,0,0,2.81173260572988,6.35371645007367,"PER3;BHLHE40;RORA"
"60","Mucin type O-glycan biosynthesis","3/31",0.104380150740251,0.435104586553801,0,0,2.81173260572988,6.35371645007367,"GALNT3;GCNT1;B4GALT5"
"61","Malaria","4/49",0.105322935634055,0.435104586553801,0,0,2.33381906496661,5.25278274751067,"IL10;KLRK1;IFNG;TNF"
"62","TNF signaling pathway","7/110",0.111224082104424,0.445363979989428,0,0,1.78628790602901,3.92306042352301,"RPS6KA4;CSF1;MLKL;AKT3;TNF;IL18R1;MAPK3"
"63","Cholesterol metabolism","4/50",0.111340994997357,0.445363979989428,0,0,2.28296507483963,5.0114684991579,"SOAT1;SOAT2;ANGPTL4;LDLR"
"64","Salivary secretion","6/90",0.114240880807182,0.447229779879156,0,0,1.87671232876712,4.07142618667801,"PRKCG;GNAQ;ATP2B4;CD38;ADRB1;ATP1A2"
