"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Cytokine-cytokine receptor interaction","24/292",0.000218093113569852,0.0543051852788931,0,0,2.38923360724468,20.1426452772434,"IL10;GDF11;XCR1;TNFSF14;CSF1;TNFRSF13C;CXCR6;TNF;FASL;IFNG;CXCR3;IL2RA;CCL4;TNFSF10;LEPR;CCL3;TNFSF11;TNFSF9;CCR8;CCL1;CCR5;IL18R1;CCR2;IL12RB2"
"2","Steroid biosynthesis","5/19",0.000503511554784136,0.062687188570625,0,0,9.40492476060192,71.4200947918733,"SQLE;SOAT1;SOAT2;LSS;CYP51"
"3","Natural killer cell mediated cytotoxicity","12/118",0.0013626187880325,0.113097359406698,0,0,2.99562180756802,19.7661517218021,"PRKCG;KLRK1;KLRC2;FASL;IFNG;TNFSF10;GZMB;CD244A;CD48;KLRC1;TNF;MAPK3"
"4","Apoptosis","13/141",0.00214175723383561,0.131626579902643,0,0,2.6881051175657,16.5214398761822,"GZMB;PTPN13;TNF;ERN1;FASL;AKT3;LMNA;TNFSF10;BCL2A1D;BCL2A1B;CTSD;TUBA8;MAPK3"
"5","African trypanosomiasis","6/39",0.0028145659422756,0.131626579902643,0,0,4.78978829389788,28.1301738634921,"PRKCG;IL10;FASL;IFNG;GNAQ;TNF"
"6","Thyroid hormone signaling pathway","11/115",0.00344346219182714,0.131626579902643,0,0,2.79522546419098,15.8525002960886,"PRKCG;NOTCH2;THRB;SRC;AKT3;ITGAV;ATP1A2;MED12L;PLCD1;WNT4;MAPK3"
"7","Rheumatoid arthritis","9/84",0.00370034561975301,0.131626579902643,0,0,3.1673727647868,17.7351623433946,"CD86;CSF1;IFNG;CD80;CCL3;CTLA4;TNFSF11;TNF;ATP6V0A1"
"8","Inflammatory bowel disease (IBD)","7/59",0.0057512850924241,0.144092310278347,0,0,3.54764165875277,18.2999133325574,"IL10;IFNG;TBX21;RORA;TNF;IL18R1;IL12RB2"
"9","Glycosphingolipid biosynthesis","6/45",0.00583443606247947,0.144092310278347,0,0,4.05163329820864,20.8415111939883,"FUT7;ST3GAL4;B3GALT5;GGTA1;B4GALT4;ST6GALNAC6"
"10","Sphingolipid signaling pathway","11/124",0.0060914520745913,0.144092310278347,0,0,2.57138846505951,13.1163151678433,"PRKCG;CERS4;PPP2R2C;GNAQ;SMPD1;AKT3;TNF;PRKCZ;CTSD;PLD2;MAPK3"
"11","Chemokine signaling pathway","15/197",0.00636552374723621,0.144092310278347,0,0,2.18126533660514,11.0303507358829,"XCR1;SRC;CXCR6;PRKCZ;GNG11;GNG2;CXCR3;AKT3;CCL4;CCL3;CCR8;CCL1;CCR5;CCR2;MAPK3"
"12","Allograft rejection","7/63",0.00822563856072901,0.170682000135127,0,0,3.29355281207133,15.8106981295258,"CD86;IL10;IFNG;FASL;CD80;GZMB;TNF"
"13","Graft-versus-host disease","7/64",0.00895059052169382,0.171438233838597,0,0,3.2356027242317,15.2592181810854,"CD86;IFNG;FASL;CD80;GZMB;KLRC1;TNF"
"14","Choline metabolism in cancer","9/99",0.0107314512177815,0.17544630255692,0,0,2.63741403026135,11.9595556371789,"PRKCG;PCYT1B;AKT3;PDGFB;PLPP2;RALGDS;DGKH;PLD2;MAPK3"
"15","Type I diabetes mellitus","7/69",0.0132929323762825,0.17544630255692,0,0,2.97389265011726,12.8487709557998,"CD86;IFNG;FASL;CD80;ICA1;GZMB;TNF"
"16","Human cytomegalovirus infection","17/255",0.0136622579885937,0.17544630255692,0,0,1.89012517385257,8.11453066920334,"PRKCG;PTGER4;CDKN1A;ARHGEF12;SRC;GNG11;TNF;CDK6;GNG2;FASL;GNAQ;AKT3;CCL4;CCL3;ITGAV;CCR5;MAPK3"
"17","Chagas disease (American trypanosomiasis)","9/103",0.0136862431409413,0.17544630255692,0,0,2.52465685270274,10.8342217848832,"IL10;FASL;IFNG;PPP2R2C;GNAQ;AKT3;CCL3;TNF;MAPK3"
"18","Gap junction","8/86",0.0138071430831061,0.17544630255692,0,0,2.70301493378416,11.5758485188293,"PRKCG;TJP1;SRC;GNAQ;PDGFB;ADRB1;MAPK3;TUBA8"
"19","Tuberculosis","13/178",0.014680977769312,0.17544630255692,0,0,2.08128588792489,8.78552951066703,"IL10;PLK3;ARHGEF12;SRC;CEBPG;TNF;EEA1;IFNG;AKT3;ITGAX;CTSD;ATP6V0A1;MAPK3"
"20","Pathways in cancer","30/535",0.0150978414121701,0.17544630255692,0,0,1.57846464533139,6.6188234726145,"NOTCH2;ITGB1;PTGER4;CDKN1A;EPAS1;PDGFB;GSTT1;LAMC1;GNG2;CDH1;AKT3;CTNNA1;ITGAV;RALGDS;IL12RB2;WNT4;MAPK3;PRKCG;WNT10B;ARNT2;ARHGEF12;DAPK2;F2R;GNG11;CDK6;FASL;IFNG;IL2RA;GNAQ;GSTM5"
"21","Axon guidance","13/180",0.015975697857451,0.17544630255692,0,0,2.05614497146785,8.50562734151636,"SEMA6B;ITGB1;NRP1;SEMA4A;ARHGEF12;SRC;SEMA6D;L1CAM;PRKCZ;RGS3;SRGAP3;WNT4;MAPK3"
"22","Adherens junction","7/72",0.0165277861209539,0.17544630255692,0,0,2.83619288804474,11.636083467078,"FARP2;TJP1;CDH1;SRC;CTNNA1;PTPRJ;MAPK3"
"23","Bladder cancer","5/41",0.0166901571445257,0.17544630255692,0,0,3.65329077367381,14.952685785851,"CDKN1A;SRC;CDH1;DAPK2;MAPK3"
"24","Parathyroid hormone synthesis, secretion and action","9/107",0.0172040991257753,0.17544630255692,0,0,2.42110434269994,9.83599690859187,"PRKCG;EGR1;CDKN1A;GNAQ;TNFSF11;PDE4A;RUNX2;PLD2;MAPK3"
"25","Toxoplasmosis","9/108",0.0181780271519067,0.17544630255692,0,0,2.39652369638614,9.6041686809418,"ITGB1;IL10;IFNG;AKT3;LAMC1;CCR5;TNF;LDLR;MAPK3"
"26","Proteoglycans in cancer","14/203",0.0183196942428912,0.17544630255692,0,0,1.95701241407613,7.82761639268806,"PRKCG;ITGB1;WNT10B;CDKN1A;ARHGEF12;SRC;TNF;FASL;AKT3;ITGAV;HPSE;CD44;WNT4;MAPK3"
