"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Lysosome","40/124",1.02992223767884e-08,3.03827060115259e-06,0,0,3.31730126920508,61.0091426164153,"ASAH1;CLTC;GBA;AP4E1;CTSW;TCIRG1;NAGPA;GNS;LITAF;SGSH;CLN5;MFSD8;GGA1;CLN3;LAMP1;SMPD1;AP1S2;IDS;ACP2;CTSD;ARSB;CTSC;ATP6V0A1;CTSB;CTSA;ABCA2;MANBA;ATP6V0B;DNASE2A;ATP6AP1;GAA;M6PR;LAPTM5;AP3D1;IGF2R;PLA2G15;GALNS;GALC;GNPTG;NPC1"
"2","Steroid biosynthesis","12/19",3.56508378563566e-07,5.2584985838126e-05,0,0,11.8620689655172,176.115047748608,"SQLE;EBP;NSDHL;SOAT1;SOAT2;SC5D;DHCR24;MSMO1;HSD17B7;LSS;CYP51;FDFT1"
"3","Natural killer cell mediated cytotoxicity","34/118",2.41182867037958e-06,0.000237163152587326,0,0,2.81294149007064,36.3857506744599,"H2-K1;ITGB2;PRF1;PIK3CD;ITGAL;TNF;ICAM1;PPP3CA;PPP3R1;KLRK1;PPP3CC;CASP3;TNFSF10;PLCG2;CD244A;KLRC1;HRAS;MAPK3;PRKCG;IFNAR2;VAV3;MAP2K1;KLRC2;NFATC2;GZMB;KLRA9;FASL;PIK3CA;IFNG;KLRD1;LCP2;CD48;SOS2;H2-D1"
"4","Autophagy","36/130",3.4253605331267e-06,0.000248961692888153,0,0,2.66215422339148,33.5013575805408,"RAB7;PRKAA1;ITPR1;PIK3CD;HIF1A;RPTOR;SUPT20;LAMP1;RRAS;AKT3;AKT1;PRKACB;ATG7;CTSD;HRAS;CTSB;MAPK3;SH3GLB1;GABARAPL2;RUBCN;GABARAPL1;MAP2K1;PDPK1;DAPK2;BNIP3;EIF2AK3;EIF2AK4;ERN1;VAMP8;VMP1;RRAGC;PIK3CA;RRAGB;ULK2;BCL2L1;ATG4D"
"5","Protein processing in endoplasmic reticulum","42/163",4.21968970996869e-06,0.000248961692888153,0,0,2.41485415361359,29.8856287827024,"TRAM1;SEC23A;RPN2;RPN1;SEL1L;CUL1;DERL2;RRBP1;ERO1L;HSP90B1;LMAN1;OS9;LMAN2;BAG1;CAPN2;FBXO6;SEC62;UGGT1;PDIA3;EDEM3;MBTPS1;WFS1;AMFR;EIF2AK3;MOGS;EIF2AK4;HSPA2;UBE2G2;PDIA6;SVIP;PDIA4;ERN1;DNAJC3;DNAJC1;NPLOC4;DDIT3;DNAJB11;STT3A;SEC24D;ATF6;HSPA1B;HSPA1A"
"6","Apoptosis","37/141",9.82814326137675e-06,0.000483217043684357,0,0,2.47258191168319,28.509513614947,"PRF1;ITPR1;PIK3CD;CTSW;TNF;ACTG1;CASP7;CASP3;AKT3;LMNA;CAPN2;TNFSF10;AKT1;PMAIP1;RIPK1;BCL2A1D;BCL2A1B;CTSD;HRAS;CTSC;CTSB;MAPK3;MAP2K1;PARP4;APAF1;PDPK1;EIF2AK3;GZMB;TRAF1;FOS;PTPN13;ERN1;FASL;PIK3CA;DDIT3;TUBA8;BCL2L1"
"7","Human cytomegalovirus infection","57/255",1.1537072700167e-05,0.000486205206649894,0,0,2.00597378139751,22.8078115550185,"RB1;CDKN1A;H2-K1;PIK3CD;ELK1;TNF;CRKL;PPP3CA;AKAP13;PPP3CC;CREB3L1;CASP3;CREB3L2;AKT3;AKT1;ITGAV;CCR5;PRKACB;HRAS;PRKCG;PDIA3;MAP2K1;ARHGEF12;PLCB3;PIK3CA;SOS2;H2-D1;PTGER4;SRC;PTGER2;PXN;H2-M3;H2-Q7;ITPR1;ADCY3;ADCY7;GNA13;PPP3R1;GNG2;GNA11;CCL4;EIF4EBP1;CCL3;RIPK1;MAPK3;IL10RB;IL10RA;STAT3;NFATC2;GNG11;CDK6;FASL;SP1;GNB2;GNAQ;GNB1;H2-Q10"
"8","T cell receptor signaling pathway","28/101",3.93301961673932e-05,0.00145030098367262,0,0,2.66091109277584,26.9909995228745,"PIK3CD;CD3G;CD3E;TNF;PPP3CA;PPP3R1;PPP3CC;AKT3;AKT1;CTLA4;PAK6;ICOS;HRAS;PAK4;MAPK3;IL10;VAV3;MAP2K1;PDPK1;NFATC2;CD8B1;FOS;PIK3CA;IFNG;CD8A;LCP2;PDCD1;SOS2"
"9","Renal cell carcinoma","21/68",6.46417493808074e-05,0.00211881289637091,0,0,3.09566851165389,29.862830897695,"EGLN1;ARNT2;CDKN1A;MAP2K1;TGFB1;EPAS1;PDGFB;PIK3CD;TGFA;HIF1A;CRKL;PIK3CA;AKT3;AKT1;EP300;PAK6;HRAS;SOS2;MET;PAK4;MAPK3"
"10","TNF signaling pathway","29/110",7.86847358419366e-05,0.00232119970733713,0,0,2.48359985417714,23.4701710531042,"CEBPB;CSF1;TNFAIP3;PIK3CD;TNF;ICAM1;RPS6KA4;CASP7;CREB3L1;CASP3;CREB3L2;AKT3;AKT1;RIPK1;MAPK3;MAP2K3;MAP2K1;VCAM1;MLKL;IL15;TRAF1;FOS;TNFRSF1B;ITCH;PIK3CA;LTA;TAB3;TAB2;IL18R1"
"11","Regulation of actin cytoskeleton","47/217",0.000144719052821775,0.00388110187112941,0,0,1.92184840174012,16.9905164179795,"CYFIP2;ITGB1;CYFIP1;NCKAP1;SRC;PXN;ITGB2;PDGFB;PIK3CD;IQGAP1;ITGAE;IQGAP2;ITGAL;CRKL;ACTG1;SLC9A1;GNA13;RRAS;ITGAX;PAK6;ITGAV;ITGB7;PIP4K2C;PIP5K1C;HRAS;GIT1;PAK4;MAPK3;VAV3;MAP2K1;ARHGEF12;ITGA4;ITGA3;RDX;F2R;ITGA1;ACTN4;SSH3;DIAPH1;DIAPH2;DIAPH3;LPAR5;ABI2;PIK3CA;SOS2;VCL;PFN2"
"12","Inositol phosphate metabolism","21/73",0.000199223726931865,0.00489758328707501,0,0,2.79720488342207,23.8352124867847,"PI4K2B;MTMR1;SACM1L;INPPL1;PIK3CD;OCRL;SYNJ2;PIK3CG;MTMR7;INPP4A;INPP4B;PLCB3;PIK3CA;SYNJ1;IMPA2;INPP5D;PLCG2;PI4KA;PIP4K2C;PIP5K1C;PLCD1"
"13","Insulin signaling pathway","33/139",0.000235358467645526,0.00526127673673026,0,0,2.15995882539252,18.0451617643481,"PYGB;PRKAA1;INPPL1;PIK3CD;PYGL;ELK1;PRKCZ;ACACA;HK2;CRKL;HK1;SOCS2;RPTOR;PRKAR2B;PRKAR2A;AKT3;EIF4EBP1;AKT1;PRKACB;HRAS;MAPK3;SREBF1;MAP2K1;PDPK1;SORBS1;PHKA2;PPP1R3F;PIK3CA;PRKAR1A;PPP1R3E;TRIP10;SOS2;RHOQ"
"14","Terpenoid backbone biosynthesis","10/23",0.000249687709539741,0.00526127673673026,0,0,5.31667936024372,44.1034480788901,"IDI1;ICMT;HMGCS1;FNTA;PMVK;HMGCR;ACAT2;ZMPSTE24;DHDDS;PCYOX1"
