"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Cholesterol biosynthesis Homo sapiens R-HSA-191273","10/23",4.23126181700633e-06,0.0044089748133206,0,0,8.96899678268499,110.973489640064,"SQLE;EBP;HMGCS1;PMVK;SC5D;DHCR24;MSMO1;HSD17B7;LSS;FDFT1"
"2","Activation of gene expression by SREBF (SREBP) Homo sapiens R-HSA-2426168","13/42",1.35915460048675e-05,0.00462793182173048,0,0,5.23216201423098,58.6319349381729,"NCOA1;NCOA2;HMGCS1;CHD9;LSS;ACACA;SREBF2;SQLE;GPAM;TBL1XR1;PMVK;SC5D;FDFT1"
"3","Regulation of cholesterol biosynthesis by SREBP (SREBF) Homo sapiens R-HSA-1655829","15/55",1.67049508840338e-05,0.00462793182173048,0,0,4.37984742530197,48.1774694579259,"NCOA1;NCOA2;SEC23A;HMGCS1;CHD9;LSS;SREBF2;ACACA;SQLE;GPAM;TBL1XR1;PMVK;SC5D;SEC24D;FDFT1"
"4","Metabolism of lipids and lipoproteins Homo sapiens R-HSA-556833","83/659",1.77655732120172e-05,0.00462793182173048,0,0,1.70771963824289,18.6794610245502,"PI4K2B;LPGAT1;CHD9;ECI1;FHL2;INPPL1;RORA;CCNC;MSMO1;CROT;LCLAT1;AACS;HPGDS;GLIPR1;ACADL;SMPD1;EP300;CPNE3;NCOA1;ELOVL1;CERS4;NCOA2;CERS5;CPT1A;PCYT1B;PCYT1A;HMGCS1;ACOT11;ACSL4;LSS;SREBF2;INPP4A;TIAM2;INPP4B;CYP2U1;TBL1XR1;AGPS;MAPKAPK2;FAR1;ACSBG1;TRIB3;ANGPTL4;CLOCK;ASAH1;SEC23A;ABHD4;ABHD3;PEX11A;ALOX15;GDPD5;HSD17B7;AGPAT2;LMF2;ACACA;PLD3;MTMR7;PTGS1;PLD2;AGPAT4;EBP;INPP5D;PMVK;SC5D;KDSR;LDLR;HMGCLL1;FDFT1;IDH1;DDHD2;DHCR24;NR1D1;GALC;SQLE;NCEH1;SYNJ1;STAR;GPAM;CYP1A1;DEGS1;SEC24D;CRAT;LPIN2;CDS2"
"5","Fatty acid, triacylglycerol, and ketone body metabolism Homo sapiens R-HSA-535734","34/217",0.000103019619784584,0.0214692887631074,0,0,2.17941360564311,20.0083051610562,"CHD9;ECI1;PEX11A;FHL2;CCNC;RORA;LCLAT1;AGPAT2;AACS;ACACA;AGPAT4;GLIPR1;ACADL;EP300;HMGCLL1;FDFT1;NCOA1;NCOA2;ELOVL1;CPT1A;HMGCS1;ACOT11;ACSL4;NR1D1;SREBF2;TIAM2;GPAM;TBL1XR1;CYP1A1;TRIB3;ACSBG1;ANGPTL4;CLOCK;LPIN2"
"6","RORA activates gene expression Homo sapiens R-HSA-1368082","9/27",0.000154052109283766,0.0267537163122807,0,0,5.82457251424952,51.1293768439249,"NCOA1;NCOA2;CPT1A;CHD9;TBL1XR1;EP300;RORA;NR1D1;CLOCK"
"7","Hemostasis Homo sapiens R-HSA-109582","68/552",0.000192061165352047,0.0285896763281189,0,0,1.6571117877338,14.1810600229465,"ITGB1;DOCK6;LGALS3BP;DOCK5;DOCK9;PROS1;ITGB2;DOCK7;CTSW;ITGAL;KIF15;DOCK10;AKT3;ITGAX;KIF13B;TIMP3;PHACTR2;EP300;ITGAV;QSOX1;PRKCG;VAV3;ANXA2;ITGA4;ITGA3;APLP2;F2R;ITGA1;ACTN4;SLC7A5;TMX3;SERPING1;CD48;CD44;VCL;DGKH;GRB7;SELPLG;SRC;PDGFB;ITPR1;KLC1;PRKCZ;LRP8;TTN;CYB5R1;KLC4;GNA15;KLC2;GNG2;PRKAR2B;PRKAR2A;INPP5D;PLCG2;MFN2;S100A10;SH2B1;MAPK3;ATP2B4;CABLES1;ATP2B1;L1CAM;GNG11;WEE1;IL2RA;GNAQ;ESAM;F2RL2"
"8","Inositol phosphate metabolism Homo sapiens R-HSA-1483249","11/44",0.000504785283572863,0.0632752057031005,0,0,3.88480236736419,29.4910008956494,"INPP4A;INPP4B;PLCB3;PPIP5K1;SYNJ1;IMPA2;INPP5D;INPPL1;PLCG2;PLCD1;NUDT4"
"9","PPARA activates gene expression Homo sapiens R-HSA-1989781","20/113",0.000546522889950005,0.0632752057031005,0,0,2.51248079877112,18.8735908576997,"NCOA1;NCOA2;CPT1A;HMGCS1;CHD9;PEX11A;FHL2;CCNC;RORA;NR1D1;SREBF2;TIAM2;GLIPR1;TBL1XR1;CYP1A1;EP300;TRIB3;ANGPTL4;CLOCK;FDFT1"
"10","Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha) Homo sapiens R-HSA-400206","20/116",0.000771750324475561,0.0804163838103534,0,0,2.43356717687075,17.4410096418425,"NCOA1;NCOA2;CPT1A;HMGCS1;CHD9;PEX11A;FHL2;CCNC;RORA;NR1D1;SREBF2;TIAM2;GLIPR1;TBL1XR1;CYP1A1;EP300;TRIB3;ANGPTL4;CLOCK;FDFT1"
