"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Peroxisome","65/83",7.36056667417976e-20,2.26705453564737e-17,0,0,8.60606232187683,379.144937467544,"PECR;ABCD3;MPV17L;ECI2;MPV17L2;CROT;PEX26;SCP2;NUDT19;DHRS4L1;MLYCD;ACAA1;NUDT12;GSTK1;ACOT8;PHYH;ACSL1;ECH1;ACSL6;ACSL5;PIPOX;ACSL3;BAAT;SLC25A17;ACOX2;PEX3;ACOX1;PEX6;EHHADH;PEX5;CAT;ACOX3;PEX11G;AGXT;SLC27A2;PAOX;MVK;PEX11A;HSD17B4;DDO;HMGCL;PRDX5;PRDX1;PMVK;HAO1;HACL1;DECR2;HAO2;XDH;PEX16;IDH1;EPHX2;IDH2;PEX10;PEX12;SOD2;PEX13;PEX14;DHRS4;SOD1;NUDT7;DAO;AMACR;PXMP2;CRAT"
"2","Non-alcoholic fatty liver disease (NAFLD)","95/149",7.89503896876915e-18,1.21583600119045e-15,0,0,4.20335907018509,165.529528961171,"GSK3B;NDUFA13;COX7B;CXCL8;NDUFA11;IRS1;COX4I1;NDUFA10;PRKAG2;IRS2;FASLG;COX6A1;TNF;COX6A2;COX7C;PRKAG3;AKT2;CASP3;LEPR;AKT1;UQCRFS1;IL6R;COX8A;SREBF1;PRKAB2;NDUFC2;SDHC;TRAF2;NDUFC1;SDHD;SDHA;SDHB;COX6B1;ERN1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;DDIT3;IL1B;UQCRC1;NDUFS3;NDUFS2;NDUFS1;CYP2E1;PPARA;NDUFB9;CEBPA;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB3;NDUFB2;NDUFB1;COX7A2;PIK3R2;UQCR11;PIK3R1;UQCR10;COX5B;ADIPOR2;COX5A;BCL2L11;RXRA;COX3;COX2;COX1;NDUFV3;CYC1;NDUFV2;BID;NDUFV1;NDUFA9;XBP1;NDUFA7;NDUFA6;PKLR;NDUFA5;INSR;NDUFA3;NDUFA2;NDUFA1;NR1H3;COX6C;UQCRHL;MLXIPL;ITCH;UQCRQ;NDUFAB1;CYCS;CYTB;MAP3K11"
"3","Oxidative phosphorylation","86/133",7.88669507126777e-17,8.09700693983492e-15,0,0,4.3673459024599,161.935811648509,"NDUFA13;COX7B;NDUFA11;COX4I1;NDUFA10;COX6A1;COX6A2;COX7C;UQCRFS1;COX8A;ATP6V0B;NDUFC2;SDHC;NDUFC1;SDHD;SDHA;SDHB;COX6B1;COX7A2L;NDUFS8;PPA2;NDUFS7;NDUFS6;UQCRC1;NDUFS3;NDUFS2;ND1;NDUFS1;ND3;ND2;ND5;ND4;ATP6V1A;ND6;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;ATP8;COX15;NDUFB5;COX17;ATP6;NDUFB3;NDUFB2;ATP5MC3;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;ATP5MC1;COX3;COX2;COX11;COX1;NDUFV3;CYC1;NDUFV2;ATP6V0E2;NDUFV1;COX10;ATP5MF;ATP6V1C2;ATP5ME;LHPP;NDUFA9;ATP5PF;NDUFA7;NDUFA6;ATP5PD;NDUFA5;NDUFA3;NDUFA2;NDUFA1;ND4L;COX6C;ATP5F1C;ATP5F1D;UQCRHL;UQCRQ;NDUFAB1;CYTB"
"4","Valine, leucine and isoleucine degradation","41/48",1.61043108497478e-15,1.24003193543058e-13,0,0,13.9130676462769,473.910729264365,"ECHS1;ACAA2;HIBADH;ABAT;HSD17B10;ACAT2;ACAT1;HMGCL;MCEE;AUH;ALDH1B1;ALDH2;DBT;AOX1;HMGCS2;ACADM;MMUT;HADH;ACAA1;ACADS;HIBCH;BCKDHA;ACAD8;MCCC2;HMGCS1;AGXT2;BCKDHB;MCCC1;ACADSB;ACSF3;HADHB;ALDH3A2;ALDH6A1;PCCA;IVD;EHHADH;PCCB;ALDH7A1;DLD;BCAT2;ALDH9A1"
"5","Parkinson disease","87/142",6.29631552856292e-15,3.87853036559476e-13,0,0,3.77397814461753,123.404600972425,"NDUFA13;COX7B;NDUFA11;COX4I1;NDUFA10;COX6A1;COX6A2;COX7C;CASP9;CASP3;UQCRFS1;COX8A;GPR37;NDUFC2;SDHC;NDUFC1;SDHD;SDHA;SDHB;COX6B1;COX7A2L;NDUFS8;NDUFS7;ADORA2A;NDUFS6;UQCRC1;PPIF;NDUFS3;NDUFS2;ND1;VDAC1;NDUFS1;ND3;SLC25A5;ND2;SLC25A4;ND5;ND4;ND6;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;ATP8;NDUFB5;ATP6;NDUFB3;NDUFB2;ATP5MC3;NDUFB1;COX7A2;UQCR11;UQCR10;UBE2J2;COX5B;COX5A;ATP5MC1;UBB;COX3;COX2;COX1;NDUFV3;CYC1;DRD1;NDUFV2;NDUFV1;NDUFA9;ATP5PF;NDUFA7;NDUFA6;ATP5PD;NDUFA5;NDUFA3;NDUFA2;NDUFA1;ND4L;COX6C;ATP5F1C;ATP5F1D;UQCRHL;TH;UQCRQ;NDUFAB1;CYCS;CYTB"
"6","Fatty acid degradation","37/44",1.09535364472885e-13,5.62281537627476e-12,0,0,12.5472044439077,374.440311665318,"GCDH;ACADVL;ECHS1;ACAA2;ADH1C;ADH1B;ECI1;ADH1A;CYP4A22;ECI2;ACAT2;ACAT1;ADH6;ADH4;ACADL;ALDH1B1;CPT2;ALDH2;ACADM;HADH;ACAA1;ACADS;ACSL1;CYP4A11;ACSL6;ACSL5;ACSL3;CPT1B;ACADSB;HADHB;ALDH3A2;ACOX1;EHHADH;ACSBG1;ACOX3;ALDH7A1;ALDH9A1"
"7","Thermogenesis","118/231",7.57891874191884e-12,3.33472424644429e-10,0,0,2.49427372649194,63.8675014730544,"NDUFA13;NDUFA11;NDUFA10;COX6A1;COX6A2;RPS6KA6;CREB3L3;CREB3L4;RPS6KA1;NPPA;DPF3;MAP2K3;PRKAB2;ACSL1;ACSL6;ACSL5;SDHC;ACSL3;SDHD;SDHA;CPT1B;SDHB;COX6B1;COX7A2L;UQCRC1;ND1;ND3;ND2;ND5;ND4;ND6;NDUFB10;COX16;NDUFB11;ATP8;COX15;COX18;COX17;ATP6;ATP5MC3;COX7A2;ATP5MC1;COX3;COX2;COX11;COX1;NDUFV3;CYC1;NDUFV2;PPARGC1A;NDUFV1;ATP5MF;COX10;ATP5ME;FGF21;COA4;COA3;ADCY10;NDUFAF6;UQCRQ;NDUFAF4;NDUFAF3;NDUFAF1;CYTB;COX7B;COX4I1;PRKAG2;COX7C;PRKAG3;CPT2;MLST8;UQCRFS1;COA7;COA6;COA5;COX8A;NDUFC2;SIRT6;NDUFC1;NDUFS8;NDUFS7;NDUFS6;AKT1S1;NDUFS3;NDUFS2;NDUFS1;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB3;NDUFB2;NDUFB1;UQCR11;ADCY1;UQCR10;COX5B;COX5A;SLC25A20;NDUFA9;ATP5PF;NDUFA7;ATP5PD;NDUFA6;NDUFA5;NDUFA3;NDUFA2;BMP8A;NDUFA1;ND4L;COX6C;ATP5F1C;ATP5F1D;UQCRHL;MAPK13;NDUFAB1;RPS6KB2"
"8","Glycine, serine and threonine metabolism","32/40",6.92795341082583e-11,2.66726206316794e-09,0,0,9.48648648648649,221.916160090223,"DMGDH;ALAS2;ALAS1;MAOB;GLDC;SHMT2;SHMT1;SDSL;GCSH;CBS;PHGDH;PSPH;GAMT;SDS;AOC2;AGXT2;GLYCTK;CBSL;AMT;PIPOX;GCAT;GRHPR;GATM;BHMT;DAO;PSAT1;CTH;CHDH;SARDH;AGXT;ALDH7A1;DLD"
"9","Drug metabolism","64/108",1.76999348995384e-10,6.05731105450871e-09,0,0,3.45948616600791,77.6823296341889,"CDA;TPMT;DPYS;CYP2D7;AOX1;UGT2A3;UPP2;UGT2A1;TK1;GUSB;UGT2B10;GSTK1;UGT2B11;UGT1A1;GSTO2;GSTO1;UGT2B15;UGT2B17;NME3;NME4;UPB1;NME1;CYP2A6;DPYD;CMPK1;UGT2B4;HPRT1;CYP2E1;UMPS;CES2;UGT2B7;CES1;MAOB;ADH1C;ADH1B;ADH1A;MGST1;MGST2;CYP2C19;CYP3A4;CYP3A5;ADH6;ADH4;CYP2B6;UGT1A4;UGT1A9;GSTT2B;XDH;UGT1A6;GSTM4;GSTM1;RRM2;FMO3;FMO4;FMO5;CYP2C9;CYP2C8;UCK1;NAT1;NAT2;GSTA2;CYP1A2;GSTA1;ITPA"
"10","Huntington disease","99/193",2.65632629604184e-10,7.64196191331861e-09,0,0,2.51088912396262,55.3623604135839,"NDUFA13;NDUFA11;NDUFA10;COX6A1;COX6A2;CREB3L3;CREB3L4;TGM2;SDHC;SDHD;SDHA;SDHB;COX6B1;COX7A2L;UQCRC1;PPIF;TFAM;VDAC1;NDUFB10;NDUFB11;ATP8;ATP6;ATP5MC3;COX7A2;ATP5MC1;COX3;COX2;COX1;NDUFV3;CYC1;NDUFV2;PPARGC1A;NDUFV1;DNAH12;DNAH11;DNAH14;GRIN2B;UQCRQ;CYCS;CYTB;COX7B;COX4I1;COX7C;AP2A2;DNALI1;CASP9;CASP3;UQCRFS1;COX8A;GPX1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS3;NDUFS2;NDUFS1;HAP1;SLC25A5;SLC25A4;NDUFB9;NDUFB8;DNAH1;NDUFB7;NDUFB6;NDUFB5;DNAH6;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;POLR2D;AP2S1;POLR2E;POLR2H;POLR2I;DNAI1;POLR2J;NDUFA9;ATP5PF;NDUFA7;ATP5PD;POLR2J2;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;COX6C;ATP5F1C;SOD2;ATP5F1D;UQCRHL;SOD1;NDUFAB1"
