"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Metabolism Homo sapiens R-HSA-1430728","875/1908",3.5301073487086e-55,5.16101694381197e-52,0,0,2.17142453457795,272.255057838176,"LIPF;NDST1;AS3MT;NSDHL;LIPC;SCP2;TDO2;NDST3;PSMD3;LIPG;AKT1;LRAT;MLYCD;XYLB;GSTK1;PRKAB2;STARD4;STARD5;PHKA2;UPB1;SLC5A6;RBP4;SLC5A9;SCO1;MTHFD1;PRKAR1B;ETHE1;RBP1;PSME4;UQCRC1;PSME2;CYP2E1;IDO2;HPD;HS3ST3A1;ABCB1;SAR1B;SHMT2;SHMT1;ABCB4;SLC5A1;MTMR4;SULT1A1;HSD11B1;HSD11B2;CYP2B6;HLCS;RDH11;AGMO;AFMID;HAO1;PPARGC1A;HAO2;SULT1A3;SULT1A2;GSTM4;ABCA1;GSTM1;GLYATL1;CYP4F2;CYP4F3;DHFR;SULT1B1;CYP2C9;CYP2C8;BHMT;UCK1;FASN;ACHE;KCNC2;DPYS;NCAN;QPRT;PRKAG2;ECSIT;MED18;SMPD3;MED11;SMPD1;CHST9;LYPLA1;GSTO2;SPHK2;GSTO1;ARG1;ELOVL2;BGN;ELOVL6;PTGR1;PSMA5;PSMA3;BDH2;BDH1;CYP21A2;PSMA2;DPYD;ACSBG1;L2HGDH;PPARA;DLD;RAPGEF4;PPARD;FH;ECHS1;OAT;ODC1;ABCB11;PSMB7;SULT1E1;PSMB2;PSMB3;GC;SLC16A1;PKLR;GK;MDH2;AADAT;BBOX1;FABP1;PSMC6;AADAC;ETNK2;ETNK1;CIAPIN1;CRAT;PECR;ALDH1L1;RORA;HNMT;SAT1;FADS2;STK11;UROD;OSBP;NUDT19;NUDT16;NUDT13;FADS1;NUDT12;UGT2B10;DGAT2;PCYT2;UGT2B11;DGAT1;UGT2B15;UGT2B17;PIPOX;MINPP1;SLC27A2;SLC27A5;PFKFB1;CYP2C19;CYP2C18;NPAS2;ACAT1;SLCO1B1;AMDHD1;PMVK;SLCO1B3;THEM5;THEM4;HACL1;NADK;IP6K3;IP6K2;SRD5A2;GOT1;AGXT2;SRD5A1;UROS;GOT2;B3GALT6;MLXIPL;UQCRQ;SLCO1A2;SLC25A1;ALAS2;ALAS1;COX4I1;ETFA;ETFB;ALAD;SPR;UPP2;UGT2A1;PGLS;PGM1;CERS4;NDUFC2;NDUFC1;SLC25A16;CYP2A7;SLC25A15;CYP2A6;SLC25A17;PCCA;PCCB;UGT2B4;SLC25A10;AGXT;SLC25A5;FXN;SLC25A4;SLC25A11;UGT2B7;BCAT2;CERS2;SLC25A13;PRPS1;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB3;NDUFB2;NDUFB1;HSD17B14;PPM1K;LRP2;HSD17B11;HSD17B10;SLC25A27;SLC25A28;PHKG2;D2HGDH;PCBD1;SLC25A20;NDUFA9;CYB5A;SEC24B;NDUFA7;SEC24A;NDUFA6;NDUFA5;MMAA;MMAB;MBOAT7;NDUFA3;NDUFA2;NDUFA1;AKR7L;DHODH;GSTZ1;SLC25A37;PC;UROC1;NT5C1B;NAGS;P4HB;SEC24D;DMGDH;SLC23A2;LPGAT1;CERK;CPNE7;SLC23A1;ECI1;CPNE6;ECI2;MT1M;MT1X;CCNC;NUDT5;NUBP2;MT2A;PPAT;ACAD11;ACAD10;ARSA;PHYKPL;CTRB2;CTRB1;GCAT;CYP39A1;MT1A;BTD;PPP1R3C;MT1F;MT1G;MT1H;TRIB3;MT1B;CES2;MMADHC;MT1E;CES1;GCDH;SDC4;SDC2;PEX11A;PIK3R2;PIK3R1;NEU3;BRIP1;NEU4;APOM;APOF;ARSF;APOE;APOB;DECR2;PCK1;ARSD;DECR1;PCK2;SURF1;SLC10A1;ADHFE1;PAICS;CYP26A1;ACER1;ALDH6A1;NDUFAF6;TH;NDUFAF4;NDUFAF3;SDC1;PEMT;NDUFAF1;CTRC;COX7B;ACY3;HIBADH;ACY1;MOGAT3;MOGAT2;MOGAT1;TECR;CROT;COX7C;KHK;ARV1;ACADL;SPTLC3;HYAL1;HYAL3;PHGDH;ACADM;ACADS;AASS;COX8A;ACAD8;VKORC1;SREBF1;NCOA2;GAA;AKR1A1;HBA1;SREBF2;APRT;AHCY;AKR1D1;HSD17B3;HSD17B4;COX5B;HSD17B7;COX5A;CYP17A1;RXRA;CYP2A13;GPC5;XDH;GPC6;AASDHPPT;PNPLA7;GCH1;GCGR;AKR1C1;AKR1C3;AKR1C4;COX6C;CYP8B1;GCK;PPP1CA;NUDT9;ALDH4A1;NUDT7;GPAM;NDUFAB1;PNPLA3;PNPLA4;OTC;SCARB1;GDA;TACO1;GXYLT1;CPOX;MSMO1;COX6A1;CYP46A1;AKR7A2;AKR7A3;ENPP1;GGT1;ACAA1;ENPP7;G6PC;ACOT12;ACOT13;SDHC;SDHD;MAT1A;SDHA;KMO;SDHB;COX6B1;PSMD12;NNMT;NDUFB10;COX16;NDUFB11;COX15;COX18;CACNA1D;GLYAT;PLD6;PLD1;ACACA;EBP;CYP11A1;COX11;NDUFV3;CYC1;NDUFV2;PRODH;NDUFV1;COX10;FGF21;EEFSEC;FDPS;MGAM;GCKR;GGT6;QDPR;GCLC;BMP1;NAT1;CPS1;NAT2;CYP11B1;CYCS;DEGS2;GNB5;GCLM;GALK1;PNLIPRP1;TAT;TREH;CYP4A22;ACSM2A;ACSM2B;GPHN;ADAL;CA1;CPT2;CA2;UQCRFS1;CA9;SULT4A1;BCKDHA;HS3ST3B1;PLA2G4B;CYP4A11;BCKDHB;ABHD14B;NDUFS8;ACOX2;NDUFS7;ACOX1;NDUFS6;CHDH;CPTP;CAT;NDUFS3;BLVRB;NDUFS2;NDUFS1;MVD;ACOX3;FBP1;FBP2;PAOX;AGPAT5;GALT;MVK;PLA2G1B;HMGCR;AGPAT2;AGPAT3;HMGCL;GNG3;CBS;GNG7;CRYM;HSD3B7;RRM2;HSD3B2;SUOX;GALE;ERCC2;SARDH;CHPT1;RPL26L1;MBTPS2;CDA;PI4K2B;PRSS1;GLDC;SLC4A1;ENO3;GCSH;NAMPT;FDXR;PRSS3;SULT2A1;GAMT;ACOT8;ACOT7;NUP210;GLCE;MED8;MED9;PRKCA;CEL;HMBS;FDX1;ACOT2;ACOT1;NHLRC1;HPRT1;ACOT6;RPL28;ACOT4;LIPT2;SEH1L;ADH6;ACMSD;LDHC;ADH4;PLCG2;PNPO;ST3GAL6;NUP88;CHST13;ST3GAL1;HMOX2;SLC19A1;ST3GAL3;LHPP;SLC19A2;CHKA;MTHFS;RPL3L;SQLE;GLUD1;GLUD2;ADI1;PAH;CYP1A2;CYP1A1;PLCH1;PLCH2;ITPA;GPI;MOCS2;MOCS3;ADK;GPT;PYGL;CSAD;MCEE;IMPA1;IMPA2;RFK;TK1;LDLRAP1;TPI1;BAAT;HADHB;GCHFR;IVD;ITPKA;PLIN2;ASAH2;SGMS2;ADCY1;PAPSS2;SC5D;RPL18;LDLR;BCHE;AOC1;AOC2;GLYCTK;GSS;AGL;MOCOS;GSR;NR1H4;FMO3;AGT;AGMAT;GATM;NMNAT1;LPCAT3;TPMT;CHPF;TM7SF2;ABHD10;NAGLU;MPC1;IYD;MPC2;CHP1;RPS9;GPT2;DIO1;CACNB2;SLC26A1;FECH;INSIG2;ABHD3;INSIG1;AK2;ITPR2;AK4;HMMR;AK6;CYP4F22;MTM1;ESRRA;DHCR24;CYP4F11;CYP4F12;CDK8;ALB;DHCR7;PIK3C2G;FTCD;HMGCS2;SLC37A4;PLA2G12A;GPX2;AMN;GPX1;HMGCS1;UGT1A1;APOA2;FAAH2;SORD;AMT;APOA1;APOA4;APOA5;COASY;TST;ASPG;ASPA;ALDH9A1;HDAC3;ACSS2;GLS2;GLRX;CYP3A4;CYP3A5;BPHL;CYP3A7;NFS1;TTR;UGT1A4;BCO2;UGT1A9;BCO1;UGT1A6;KCNJ11;APOC3;ASS1;BCKDK;PFKL;PSAT1;VAPB;APOC2;CTH;CDO1;MMACHC;SLC46A1;FAAH;PANK3;PANK1;ACSM1;ACSM5;GBA3;NADSYN1;HS6ST1;GBA2;PNP;RPS19;PPP2R1B;FLAD1;CHAC2;CHAC1;MCCC2;PDHX;ACSL1;MCCC1;ACSL6;ACSL5;SLC6A12;ACSL3;CMBL;CPT1B;CYP27A1;POR;COX7A2L;MTHFD2L;SUCLG2;SUCLG1;ALDH7A1;SLC22A3;SLC35D1;MAOB;SLC35D2;SLC22A1;MTTP;MGST1;MGST2;TXN;LIAS;CYP27B1;PTDSS1;SGPL1;SCAP;ASL;GSTT2B;PYCR1;ACADSB;DERA;RPS26;RPS28;HAL;AKR1B10;STAR;RPS29;ALDH18A1;SLC44A5;STAB2;HBB;GYS2;AUH;NNT;GUK1;CBR1;BHMT2;AMPD2;NME4;NME1;UGDH;B3GNT4;B3GNT3;ALDOC;ALDOB;UMPS;ADH1C;ADH1B;ADH1A;HAAO;UQCR11;UQCR10;AKAP5;TYMS;CYP7A1;PTS;ARNTL;TBL1X;NFYC;GRHL1;FAH;ETNPPL;CYP2W1;PDP2;GSTA2;GSTA1;NDUFA13;NDUFA11;AMY2A;FOLH1B;NDUFA10;COMT;CNDP2;FPGS;HADH;CA14;PSPH;CA13;ABCG8;PHYH;ABCG5;HGD;DCTD;ALDH3A2;PHOSPHO1;FOLH1;CMPK1;LPA;ABCG2;IDI1;ADIPOR2;UBB;NPC1L1;CYP2J2;IDH1;EPHX2;IDH2;EPHX1;CRLS1;ACSF3;ACSF2;NMRAL1;COQ5;SEPSECS;GRHPR;COQ3;COQ2;AMACR;DAO;CRYL1;B4GALT3;ACADVL;B4GALT1;SLC2A2;DBH;OPLAH;HS2ST1;DHTKD1;ALDH2;CA5A;NAPRT;CYP4V2;KYNU;DBT;AOX1;GUSB;HIBCH;PSTK;ABCC3;DCXR;CYP3A43;CTPS1;LSS;DDAH1;DCT;EHHADH;ALDH1A1;HAGH;B4GALT7;B4GALT4;DDC;HPGD;ETFDH;LCAT;DDO;UGP2;ALDH1B1;PDSS2;CDIPT;B3GAT3;B3GAT1;SGPP2;SGPP1;SCD;SCLY;LPIN1;LPIN2;LPIN3"
"2","Biological oxidations Homo sapiens R-HSA-211859","127/199",2.051312674842e-23,1.4995095653095e-20,0,0,4.23212207916071,221.090193135808,"TPMT;ACSM1;ACSM5;COMT;CYP46A1;CNDP2;AS3MT;AKR7A2;ABHD10;AKR7A3;FDXR;CHAC2;CHAC1;GGT1;SULT2A1;UGT2B10;GSTK1;UGT2B11;UGT2B15;UGT2B17;CMBL;MAT1A;CYP39A1;CYP27A1;POR;FDX1;CYP2E1;CES2;CES1;SLC26A1;NNMT;SLC35D1;MAOB;MGST1;MGST2;GLYAT;CYP4F22;CYP2C19;CYP2C18;ADH6;SULT1A1;ADH4;CYP27B1;CYP2B6;CYP11A1;GSTT2B;SULT1A3;SULT1A2;GSTM4;CYP2J2;GSTM1;GLYATL1;GGT6;CYP4F2;CYP4F3;EPHX1;CYP4F11;CYP4F12;CYP2C9;SULT1B1;CYP26A1;CYP2C8;GCLC;NAT1;NAT2;CYP11B1;CYP1A2;CYP1A1;GCLM;ACY3;ACY1;CYP4A22;ACSM2A;OPLAH;ACSM2B;ALDH2;CYP4V2;UGT2A1;SULT4A1;NCOA2;GSTO2;UGT1A1;GSTO1;CYP3A43;CYP4A11;AKR1A1;ABHD14B;UGDH;CYP2A7;CYP2A6;CYP21A2;ALDH1A1;UGT2B4;UGT2B7;PAOX;AHCY;ACSS2;ADH1C;ADH1B;ADH1A;CYP3A4;CYP7A1;CYP3A5;BPHL;PAPSS2;CYP17A1;CYP3A7;RXRA;UGP2;SULT1E1;CYP2A13;ALDH1B1;UGT1A4;UGT1A9;UGT1A6;AOC1;AOC2;GSS;NR1H4;AKR7L;FMO3;CYP8B1;GSTZ1;CYP2W1;AADAC;GSTA2;GSTA1"
"3","Respiratory electron transport Homo sapiens R-HSA-611105","67/88",3.04653189022673e-19,1.4846765411705e-16,0,0,7.60455556904155,324.221085304372,"COX7B;NDUFA13;NDUFA11;COX4I1;TACO1;NDUFA10;ETFA;ETFB;ECSIT;COX6A1;COX7C;UQCRFS1;COX8A;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;SDHB;COX6B1;COX7A2L;NDUFS8;NDUFS7;SCO1;NDUFS6;NDUFS3;UQCRC1;NDUFS2;NDUFS1;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB10;COX16;NDUFB11;NDUFB5;COX18;NDUFB3;ETFDH;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;COX11;NDUFV3;CYC1;NDUFV2;NDUFV1;NDUFA9;SURF1;NDUFA7;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;COX6C;NDUFAF6;UQCRQ;NDUFAF4;NDUFAB1;CYCS;NDUFAF3;NDUFAF1"
"4","Mitochondrial translation initiation Homo sapiens R-HSA-5368286","64/84",1.80483468604972e-18,5.27733662200938e-16,0,0,7.62391304347826,311.483069117685,"MRPS17;MRPS15;MTFMT;MRPS16;MRPS11;MRPS12;MRPL38;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;MRPL32;MRPL41;MRPL4;MRPL3;MRPL2;MRPL40;CHCHD1;MRPS28;MRPS26;MRPS24;MRPS25;MRPS22;MRPS18B;MRPL49;MRPS18A;MRPS21;MRPL48;MRPS7;MRPL46;MRPS5;MRPL43;MRPL44;MRPL52;MRPL53;MRPL50;MRPL51;AURKAIP1;MRPS35;MRPS36;MRPS33;MRPL19;MRPS34;MRPS31;MRPL16;MTIF2;MRPL14;MRPL15;MRPS30;MRPL12;MRPL13;MRPL54;MRPL55;MRPL11;MRPL20;PTCD3;GADD45GIP1;MRPL27;MRPL28;MRPL24;MRPL21;MRPL22"
"5","Mitochondrial translation elongation Homo sapiens R-HSA-5389840","64/84",1.80483468604972e-18,5.27733662200938e-16,0,0,7.62391304347826,311.483069117685,"MRPS17;MRPS15;MRPS16;MRPS11;MRPS12;MRPL38;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;MRPL32;MRPL41;MRPL4;MRPL3;MRPL2;MRPL40;CHCHD1;MRPS28;TSFM;MRPS26;MRPS24;MRPS25;MRPS22;MRPS18B;MRPL49;MRPS18A;MRPS21;MRPL48;MRPS7;MRPL46;MRPS5;MRPL43;TUFM;MRPL44;MRPL52;MRPL53;MRPL50;MRPL51;AURKAIP1;MRPS35;MRPS36;MRPS33;MRPL19;MRPS34;MRPS31;MRPL16;MRPL14;MRPL15;MRPS30;MRPL12;MRPL13;MRPL54;MRPL55;MRPL11;MRPL20;PTCD3;GADD45GIP1;MRPL27;MRPL28;MRPL24;MRPL21;MRPL22"
"6","Mitochondrial translation Homo sapiens R-HSA-5368287","67/90",2.42737605767572e-18,5.91470632720317e-16,0,0,6.94229987809833,281.577744846164,"MRPS17;MRPS15;MTFMT;MRPS16;GFM2;MRPS11;MRPS12;MRPL38;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;MRPL32;MRPL41;MRPL4;MRPL3;MRPL2;MRPL40;CHCHD1;MRPS28;TSFM;MRPS26;MRPS24;MRPS25;MRPS22;MRPS18B;MRPL49;MRPS18A;MRPS21;MRPL48;MRPS7;MRPL46;MRPS5;MRPL43;TUFM;MRPL44;MRPL52;MRPL53;MRPL50;MRPL51;AURKAIP1;MRPS35;MRPS36;MRPS33;MRPL19;MRPS34;MRPS31;MRPL16;MTIF2;MRPL14;MRPL15;MRPS30;MRPL12;MRPL13;MRPL54;MRPL55;MRPL11;MRPL20;PTCD3;GADD45GIP1;MRPL27;MRPL28;MRPL24;MRPL21;MRPL22"
"7","Metabolism of lipids and lipoproteins Homo sapiens R-HSA-556833","299/659",5.82244835900374e-18,1.21605992869478e-15,0,0,2.01108162824066,79.809393961051,"DMGDH;PI4K2B;FAAH;LPGAT1;CERK;CPNE7;ECI1;CPNE6;ECI2;CCNC;GBA3;GBA2;LIPF;NSDHL;LIPC;SCP2;LIPG;FDXR;MLYCD;ACAD11;ACAD10;SULT2A1;ARSA;STARD4;ACOT8;PRKAB2;STARD5;ACOT7;ACSL1;MED8;ACSL6;MED9;ACSL5;CEL;ACSL3;CPT1B;CYP39A1;CYP27A1;FDX1;ACOT2;ACOT1;TRIB3;ACOT6;ALDH7A1;ACOT4;SAR1B;ABCB4;PEX11A;MTTP;PIK3R2;PIK3R1;MTMR4;HSD11B1;HSD11B2;NEU3;PTDSS1;NEU4;SGPL1;AGMO;APOF;SCAP;ARSF;APOE;APOB;DECR2;ARSD;PPARGC1A;HAO2;DECR1;ABCA1;CHKA;SLC10A1;CYP4F2;CYP4F3;CYP2C9;SQLE;ACER1;CYP2C8;BHMT;STAR;FASN;CYP1A2;CYP1A1;SDC1;PEMT;SLC44A5;ACHE;MOGAT3;MOGAT2;MOGAT1;TECR;PRKAG2;CROT;MED18;SMPD3;MED11;MCEE;ARV1;ACADL;SPTLC3;SMPD1;ACADM;LDLRAP1;ACADS;NCOA2;CBR1;SREBF1;SPHK2;ELOVL2;ELOVL6;PTGR1;BAAT;SREBF2;HADHB;BDH2;BDH1;CYP21A2;ACSBG1;PLIN2;PPARA;PPARD;ASAH2;ECHS1;AKR1D1;HSD17B3;HSD17B4;SGMS2;ABCB11;HSD17B7;CYP7A1;ARNTL;CYP17A1;RXRA;SC5D;TBL1X;LDLR;BCHE;GK;PNPLA7;NFYC;AKR1C1;NR1H4;AKR1C3;AKR1C4;GRHL1;CYP8B1;AGT;PPP1CA;ETNPPL;FABP1;NUDT7;GPAM;ETNK2;LPCAT3;ETNK1;PNPLA3;PNPLA4;CRAT;PECR;SCARB1;RORA;MSMO1;CYP46A1;TM7SF2;FADS2;OSBP;NUDT19;HADH;GGT1;ACAA1;FADS1;ENPP7;ABCG8;PHYH;ABCG5;DGAT2;PCYT2;DGAT1;ACOT12;ACOT13;ALDH3A2;PHOSPHO1;LPA;SLC27A2;SLC27A5;IDI1;ABHD3;INSIG2;INSIG1;PLD6;CYP2C19;CYP4F22;PLD1;NPAS2;ACACA;ACAT1;MTM1;SLCO1B1;EBP;NPC1L1;CYP11A1;PMVK;SLCO1B3;THEM5;THEM4;HACL1;ESRRA;CYP2J2;FDPS;SRD5A2;SRD5A1;IDH1;EPHX2;DHCR24;CYP4F11;CRLS1;ACSF3;ACSF2;COQ5;CDK8;COQ3;COQ2;AMACR;BMP1;CYP11B1;SLCO1A2;ALB;DHCR7;DEGS2;SLC25A1;PNLIPRP1;ACADVL;ALAS1;CYP4A22;PIK3C2G;CPT2;HMGCS2;ABCC3;CERS4;GPX2;PLA2G12A;AMN;GPX1;HMGCS1;PLA2G4B;CYP4A11;APOA2;FAAH2;APOA1;APOA4;APOA5;LSS;SLC25A17;PCCA;ACOX2;ACOX1;EHHADH;CHDH;CPTP;PCCB;MVD;ACOX3;CERS2;AGPAT5;HDAC3;MVK;HPGD;PLA2G1B;HSD17B14;LCAT;HMGCR;HSD17B11;AGPAT2;AGPAT3;HMGCL;PDSS2;SLC25A20;UGT1A9;CDIPT;HSD3B7;SEC24B;SEC24A;MMAA;HSD3B2;MBOAT7;APOC3;SGPP2;SGPP1;VAPB;SCD;APOC2;SARDH;CHPT1;P4HB;SEC24D;LPIN1;LPIN2;LPIN3;MBTPS2"
"8","Mitochondrial translation termination Homo sapiens R-HSA-5419276","63/84",1.32320501435603e-17,2.41815716373565e-15,0,0,7.14569536423841,277.709516794629,"MRPS17;MRPS15;MRPS16;GFM2;MRPS11;MRPS12;MRPL38;MRPL39;MRPS10;MRPL36;MRPL37;MRPL34;MRPL35;MRPL32;MRPL41;MRPL4;MRPL3;MRPL2;MRPL40;CHCHD1;MRPS28;MRPS26;MRPS24;MRPS25;MRPS22;MRPS18B;MRPL49;MRPS18A;MRPS21;MRPL48;MRPS7;MRPL46;MRPS5;MRPL43;MRPL44;MRPL52;MRPL53;MRPL50;MRPL51;AURKAIP1;MRPS35;MRPS36;MRPS33;MRPL19;MRPS34;MRPS31;MRPL16;MRPL14;MRPL15;MRPS30;MRPL12;MRPL13;MRPL54;MRPL55;MRPL11;MRPL20;PTCD3;GADD45GIP1;MRPL27;MRPL28;MRPL24;MRPL21;MRPL22"
"9","Metabolism of vitamins and cofactors Homo sapiens R-HSA-196854","88/148",5.46312393386588e-14,8.87454132367991e-12,0,0,3.49859026830377,106.840546216566,"SLC23A2;PRSS1;ALDH1L1;SLC46A1;MOCS2;PANK3;MOCS3;PANK1;SLC23A1;QPRT;NADSYN1;GPHN;FLAD1;NAPRT;RFK;FPGS;NAMPT;ENPP1;AOX1;LRAT;PRSS3;NUDT12;MCCC2;VKORC1;AMN;GSTO2;GSTO1;CTRB2;MCCC1;CTRB1;APOA2;APOA1;APOA4;COASY;SLC5A6;SLC25A16;RBP4;BTD;MTHFD1;PCCA;MTHFD2L;RBP1;PCCB;MMADHC;SDC4;SHMT2;SDC2;SHMT1;LRP2;ACACA;CYP27B1;NFS1;APOM;TTR;HLCS;RDH11;PNPO;GPC5;APOE;BCO2;APOB;GC;BCO1;GPC6;LDLR;SLC19A1;NADK;AASDHPPT;SLC19A2;CYB5A;MMAA;MMAB;AKR1C1;MOCOS;AKR1C3;APOC3;MTHFS;AKR1C4;CYP8B1;DHFR;AKR1B10;PC;NMNAT1;FASN;APOC2;SDC1;CTRC;MMACHC"
"10","Phase 1 - Functionalization of compounds Homo sapiens R-HSA-211945","62/92",9.34517293603314e-14,1.36626428324805e-11,0,0,4.91859649122807,147.564443137096,"CYP4A22;CYP46A1;ALDH2;CYP4V2;FDXR;NCOA2;CYP3A43;CYP4A11;CMBL;CYP39A1;CYP27A1;CYP2A7;POR;CYP2A6;CYP21A2;FDX1;ALDH1A1;CYP2E1;CES2;PAOX;CES1;ACSS2;MAOB;ADH1C;ADH1B;ADH1A;CYP3A4;CYP4F22;CYP2C19;CYP7A1;CYP3A5;BPHL;CYP2C18;CYP3A7;ADH6;CYP17A1;ADH4;CYP27B1;RXRA;CYP2B6;ALDH1B1;CYP2A13;CYP11A1;CYP2J2;AOC1;AOC2;CYP4F2;EPHX1;CYP4F3;NR1H4;FMO3;CYP4F11;CYP8B1;CYP4F12;CYP26A1;CYP2C9;CYP2C8;CYP2W1;AADAC;CYP11B1;CYP1A2;CYP1A1"
