"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Focal adhesion","117/199",1.38749559116404e-15,4.17636172940375e-13,0,0,3.1455362182688,107.612807749487,"ITGA2B;TNC;ACTB;MYLK;ACTG1;IGF1R;MYLK4;COMP;PPP1CC;CCND3;CCND2;TNN;AKT3;KDR;CAPN2;PDGFRB;PDGFRA;ACTN1;ACTN4;PGF;COL4A2;COL4A1;COL4A6;COL4A5;TLN2;TLN1;MYL9;VCL;SHC4;SHC3;SHC1;PXN;PDGFB;PDGFA;PIK3R3;MYL12A;MYL12B;RAP1B;RAP1A;PDGFD;PIP5K1C;VASP;JUN;CAV3;CAV2;CAV1;PARVA;PARVB;PTK2;COL1A1;COL1A2;ITGA11;BCL2;COL9A2;ITGB1;FLT1;ITGB5;ITGB4;FLT4;ITGB3;RASGRF1;ILK;PIK3CD;LAMC2;PIK3CB;LAMC1;ITGB8;ITGAV;RAC1;VAV3;PPP1R12A;ITGA4;VWF;ITGA3;ITGA2;ITGA1;RHOA;VAV1;PIK3CA;COL6A2;COL6A1;RAPGEF1;ITGA8;COL6A3;ITGA7;ITGA6;ITGA5;PPP1R12B;SOS1;SOS2;DOCK1;ITGA9;TNXB;ROCK1;LAMA2;ROCK2;SRC;LAMA4;LAMA3;THBS2;THBS1;THBS4;CDC42;FLNA;FLNB;FYN;FLNC;PAK3;MAPK3;LAMB2;VEGFB;VEGFC;VEGFD;LAMB1;MAPK10;ZYX;CTNNB1"
"2","Axon guidance","105/181",1.32233315374179e-13,1.9901113963814e-11,0,0,3.0412143263991,90.184803703509,"SEMA5A;EPHB6;SEMA5B;DPYSL2;CFL1;PLXNC1;EPHB2;EPHB3;EPHA5;SEMA6B;EPHA4;EPHA7;SEMA6A;UNC5A;SEMA6D;MYL9;EPHA3;SEMA7A;PIK3R3;EFNA5;MYL12A;MYL12B;EFNB2;EFNB1;RRAS;PLXNA2;ABL1;PLXNA1;PLCG1;SRGAP2;SRGAP1;PLXNA4;PLXNA3;NTNG1;FZD3;PTCH1;NFATC3;NFATC2;L1CAM;SSH2;BMP7;PTK2;NFATC4;CXCL12;PLXNB3;BMPR1B;ITGB1;ROBO2;NRP1;ROBO3;BMPR2;LRRC4;ILK;PIK3CD;PIK3CB;ROBO1;PPP3CA;PPP3CB;PPP3CC;BOC;NCK2;RAC1;NEO1;NCK1;TRPC6;TRPC3;TRPC4;DCC;TRPC1;RHOA;RGMA;ENAH;PIK3CA;RASA1;CAMK2D;ROCK1;SEMA3C;ROCK2;SRC;SEMA3D;SEMA3A;SEMA3B;NTN4;SEMA3G;GNAI3;SEMA3E;SEMA3F;NTN1;GNAI1;GNAI2;CDC42;ABLIM1;ABLIM2;SLIT3;FYN;SLIT2;PAK3;CAMK2G;MAPK3;SEMA4A;RYK;LIMK2;LIMK1;SEMA4F;PTPN11"
"3","Regulation of actin cytoskeleton","117/214",1.4933100417804e-12,1.49828774191967e-10,0,0,2.65618498305701,72.3279860307563,"CYFIP1;NCKAP1;CHRM4;ITGA2B;FGF1;FGF2;ACTB;MYLK;ACTG1;MYLK4;PPP1CC;FGF7;FGF8;FGF9;CFL1;PIP4K2A;PIP4K2B;PDGFRB;PDGFRA;ACTN1;F2R;ACTN4;PFN4;MYL9;VCL;PXN;PDGFB;LPAR1;LPAR2;PDGFA;PIK3R3;LPAR4;IQGAP1;IQGAP3;MYL12A;MYL12B;SLC9A1;SCIN;RRAS;PDGFD;NCKAP1L;PIP5K1B;PIP5K1C;MYH10;MSN;ARPC5;GNG12;SSH2;PTK2;FGF16;DIAPH2;CXCL12;DIAPH3;LPAR5;ARPC2;ITGA11;FGF18;FGFR1;FGF10;ITGB1;ITGAM;ITGB5;ITGB4;ARPC1B;ITGB3;ITGB2;BRK1;PIK3CD;PIK3CB;ITGAE;TMSB4X;TMSB4Y;BDKRB2;BDKRB1;ITGB8;ITGAV;RAC1;GIT1;VAV3;PPP1R12A;ITGA4;ITGA3;ITGA2;INSRR;ITGA1;RHOA;VAV1;ENAH;MRAS;PIK3CA;ITGA8;ARHGEF4;MYH9;ITGA7;ITGA6;ITGA5;ARHGEF7;PPP1R12B;SOS1;SOS2;DOCK1;ARHGEF6;ITGA9;ROCK1;ROCK2;SRC;FGD1;CDC42;GNA13;GNA12;PAK3;WASF2;MAPK3;GSN;LIMK2;LIMK1;APC"
"4","Platelet activation","77/124",2.00202409376912e-12,1.50652313056127e-10,0,0,3.59772214866589,96.9113464729745,"ITGB1;GUCY1B1;ITGB3;ITGA2B;SNAP23;PIK3CD;PIK3CB;ACTB;PIK3CG;ACTG1;MYLK;MYLK4;PPP1CC;AKT3;PRKG2;PRKG1;GUCY1A2;GUCY1A1;PRKCI;PPP1R12A;FCER1G;SYK;VWF;ITGA2;F2R;PLA2G4C;PLA2G4A;RHOA;PLCB3;PLCB4;PIK3CA;BTK;LCP2;TLN2;TLN1;PLCB1;ROCK1;ROCK2;SRC;ITPR1;ADCY4;GNAI3;PIK3R3;ADCY3;ITPR3;ADCY2;RASGRP2;ADCY7;MYL12A;PIK3R6;ADCY6;GNAI1;MYL12B;PIK3R5;ADCY5;GNAI2;PTGS1;RAP1B;GNA13;RAP1A;FYN;MAPK3;VASP;P2RY12;NOS3;MAPK12;COL1A1;MAPK11;COL3A1;COL1A2;FCGR2A;GNAQ;P2RX1;TBXAS1;GNAS;FERMT3;F2RL3"
"5","Pathways in cancer","239/530",2.03273273048458e-11,1.22370510375172e-09,0,0,1.81875107441505,44.7759326641416,"RB1;SPI1;FZD10;EDNRA;RASSF1;EDNRB;RPS6KA5;MYC;AKT3;IL12A;SKP1;DAPK2;DAPK3;FLT3LG;CTBP2;EPAS1;MGST3;PDGFB;LPAR1;PDGFA;LPAR2;PIK3R3;LPAR4;HIF1A;PLCG1;RALGDS;FZD1;JAG2;STAT5A;WNT10B;GSTM3;STAT5B;FZD3;JUN;FZD2;JAG1;FZD4;FZD7;FZD6;FZD9;GNG12;GNG11;PTK2;LPAR5;LPAR6;CALM1;CALM2;GSTM5;RET;CDKN1B;GLI1;BRCA2;GLI3;GLI2;IKBKB;MECOM;HEY1;SUFU;RAC1;JAK2;JAK3;APPL1;JAK1;NCOA1;EDN1;IFNGR1;IL15;IFNGR2;NCOA3;WNT9A;FOS;KIF7;RHOA;PLCB3;PLCB4;KIT;PPARG;PLCB1;PTGER4;GSTP1;PTGER2;PTGER3;ADCY4;GNAI3;ADCY3;ADCY2;ADCY7;ADCY6;GNAI1;ADCY5;GNAI2;CTNNA1;RXRG;RUNX1T1;EGLN1;ARNT2;NQO1;EGLN3;CDKN2B;STAT1;CDKN2A;VEGFB;VEGFC;VEGFD;HEYL;KITLG;CCDC6;CTNNB1;F2RL3;ITGA2B;IL5RA;FGF1;FGF2;ETS1;IGF1R;FGF7;CCND3;FGF8;CCND2;FGF9;EP300;PDGFRB;PDGFRA;RALBP1;TPM3;F2R;MITF;PGF;MSH2;COL4A2;COL4A1;CCNE1;COL4A6;COL4A5;NOTCH2;CSF1R;NOTCH3;NOTCH1;NOTCH4;CSF2RB;RASGRP2;CSF2RA;FOXO1;RASGRP4;RASGRP3;WNT6;TPR;ABL1;DVL2;DVL3;PMAIP1;WNT2;SMAD2;TGFB2;TGFB1;TGFB3;PTCH1;PTCH2;NFKB1;ESR2;BMP4;FGF16;BMP2;IL6;CXCL12;SP1;CDK4;GNAQ;FGF18;GNB1;BCL2;GNAS;GNB4;GNB3;FGFR1;FGF10;ALK;ITGB1;WNT2B;FLT3;FLT4;SLC2A1;PIK3CD;LAMC2;PIK3CB;LAMC1;BDKRB2;BDKRB1;ITGAV;POLK;APAF1;ITGA3;DCC;ITGA2;PLEKHG5;MMP2;AXIN2;MMP9;TGFBR1;TGFBR2;PIK3CA;TRAF5;IL3RA;ITGA6;BIRC7;SOS1;SOS2;HDAC2;RALA;CAMK2D;RALB;ROCK1;LAMA2;ROCK2;LAMA4;LEF1;LAMA3;CBL;DLL1;CDC42;DLL4;GNA13;GNG2;WNT11;GNG4;GNA11;GNA12;E2F1;E2F3;CAMK2G;MAPK3;TCF7L1;NOS2;LAMB2;LAMB1;PML;MAPK10;APC;IL2RA"
"6","Proteoglycans in cancer","106/201",2.8304232904306e-10,1.41992901736602e-08,0,0,2.45311453107729,53.9327646976969,"HPSE2;FZD10;FGF2;ACTB;ACTG1;IGF1R;PPP1CC;PLAU;MYC;AKT3;KDR;PLCE1;RPS6;ANK2;ANK1;HSPG2;DDX5;PXN;TWIST2;ITPR1;TWIST1;PIK3R3;ITPR3;IQGAP1;HIF1A;SLC9A1;WNT6;RRAS;PLCG1;WNT2;FZD1;SMAD2;WNT10B;FZD3;TGFB2;FZD2;TGFB1;CAV3;FZD4;CAV2;FZD7;PTCH1;CAV1;FZD6;FZD9;MSN;PTK2;HPSE;FGFR1;ITGB1;WNT2B;ITGB5;ITGB3;HSPB2;PIK3CD;PIK3CB;TIMP3;ITGAV;RAC1;PPP1R12A;MMP2;ITGA2;GAB1;PLAUR;WNT9A;MMP9;RHOA;DCN;MRAS;CTTN;PIK3CA;HCLS1;COL21A1;ITGA5;PPP1R12B;SOS1;TLR4;SOS2;CD44;TLR2;HBEGF;CD63;CAMK2D;ROCK1;ROCK2;SRC;CBL;HOXD10;THBS1;CDC42;WNT11;ERBB4;GPC3;FLNA;DROSHA;FLNB;FLNC;CAMK2G;EIF4B;MAPK3;LUM;PTPN11;MAPK12;MAPK11;PDCD4;CTNNB1"
"7","Dilated cardiomyopathy (DCM)","57/91",8.95915602968503e-10,3.85243709276456e-08,0,0,3.67324137540896,76.5252800256684,"ITGB1;RYR2;ITGB5;ITGB4;ITGB3;ITGA2B;ACTB;SLC8A1;ACTG1;SGCD;SGCA;SGCB;ITGB8;ITGAV;SGCG;ITGA4;TPM4;TPM3;ITGA3;TPM2;CACNA2D1;ITGA2;ITGA1;TPM1;CACNA2D3;CACNA2D2;CACNA2D4;CACNB1;CACNB3;CACNB4;ITGA8;ITGA7;ITGA6;ITGA5;ITGA9;LAMA2;ADCY4;ADCY3;ADRB1;ADCY2;CACNA1C;CACNA1F;ADCY7;ADCY6;ADCY5;TTN;CACNG8;PLN;LMNA;CACNA1S;TGFB2;TGFB1;TGFB3;DES;ACTC1;ITGA11;GNAS"
"8","cGMP-PKG signaling pathway","89/166",2.52402455937584e-09,9.49664240465161e-08,0,0,2.53756860185086,50.2372889625614,"GUCY1B1;ATP2A3;ADRA1D;SLC8A1;PIK3CG;MYLK;MYLK4;PPP1CC;PPP3CA;EDNRA;PPP3CB;EDNRB;PPP3CC;CREB3L1;ADORA3;CREB3L2;AKT3;ADORA1;BDKRB2;PRKG2;PRKG1;GTF2I;MEF2A;GUCY1A2;GUCY1A1;MEF2C;TRPC6;PPP1R12A;PRKCE;ATP1B3;ATP1B2;ADRA2C;ADRA2A;RHOA;PLCB3;CREB1;PLCB4;ADRB3;VDAC2;PDE5A;PLCB1;MYL9;CREB5;SLC25A6;ROCK1;NPR1;ROCK2;SRF;ITPR1;ATP1A4;ADCY4;GNAI3;ADCY3;ITPR3;ADRB1;ATP1A2;ADCY2;CACNA1C;ADRB2;CACNA1F;ADCY7;PIK3R6;ADCY6;GNAI1;PIK3R5;ADCY5;GNAI2;GNA13;PLN;KCNMB1;GNA11;GNA12;KCNMB4;CACNA1S;MEF2D;MAPK3;VASP;NOS3;PDE2A;NFATC3;ATP2B4;NFATC2;NFATC1;NFATC4;SLC8A3;GNAQ;PDE3A;CALM1;CALM2"
"9","Phospholipase D signaling pathway","81/148",3.66026869435831e-09,1.10476791291434e-07,0,0,2.65269869478032,51.5306067021498,"DGKG;DGKE;DGKA;PIK3CD;PIK3CB;PIK3CG;GRM3;GRM2;GRM7;AKT3;FCER1A;PDGFRB;PDGFRA;FCER1G;SYK;SPHK1;F2R;PLA2G4C;AVPR2;GAB1;PLA2G4A;AVPR1A;GAB2;DGKZ;RHOA;DNM1;DNM3;PLCB3;MRAS;PLCB4;PIK3CA;KIT;MS4A2;SOS1;PLCB1;PLPP2;SOS2;DGKI;PLPP1;RAPGEF3;DGKH;SHC4;PTGFR;RALA;SHC3;RALB;SHC1;PDGFB;LPAR1;ADCY4;LPAR2;PDGFA;PIK3R3;ADCY3;ADCY2;LPAR4;ADCY7;PIK3R6;ADCY6;PIK3R5;PLD2;ADCY5;AGPAT4;CYTH3;GNA13;CYTH2;CYTH4;RRAS;PDGFD;GNA12;PIP5K1B;FYN;PLCG1;PIP5K1C;RALGDS;MAPK3;PTPN11;KITLG;LPAR5;LPAR6;GNAS"
"10","AGE-RAGE signaling pathway in diabetic complications","60/100",3.67032529207423e-09,1.10476791291434e-07,0,0,3.2867222578576,63.837958899425,"CDKN1B;PIK3CD;PIK3CB;ICAM1;THBD;AKT3;PLCE1;RAC1;JAK2;EDN1;PRKCE;MMP2;PRKCD;CYBB;F3;TGFBR1;TGFBR2;PLCB3;PLCB4;COL4A2;PIK3CA;COL4A1;COL4A6;COL4A5;PLCB1;PIK3R3;FOXO1;CDC42;CCL2;PLCG1;MAPK3;SMAD2;STAT5A;STAT5B;EGR1;TGFB2;JUN;TGFB1;VCAM1;TGFB3;STAT1;NOS3;VEGFB;VEGFC;NFATC1;VEGFD;NFKB1;MAPK12;COL1A1;MAPK10;MAPK11;IL6;COL3A1;COL1A2;CDK4;BCL2;NOX4;PLCD3;PLCD4;PLCD1"
