"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Extracellular matrix organization Homo sapiens R-HSA-1474244","168/283",2.18232107697873e-22,3.15345395623426e-19,0,0,3.23951640367806,161.575684905154,"SPARC;COL16A1;COL12A1;ITGA2B;ICAM2;TNC;LOXL3;LOXL4;ICAM5;FGF2;LOXL1;ICAM1;LOXL2;COMP;EFEMP2;EFEMP1;CAPNS1;CAPN6;TNN;BSG;KDR;CAPN2;CAST;ACTN1;CASK;HSPG2;BCAN;ADAM17;ADAM15;COL4A2;LOX;COL4A1;COL8A2;COL4A6;COL8A1;COL4A5;ADAM9;FBN2;COL17A1;CD151;COL13A1;SDC3;PDGFB;LTBP4;HTRA1;PDGFA;FBLN1;LTBP2;LTBP3;PSEN1;NID1;FBLN2;LTBP1;NID2;FBLN5;ADAMTS16;NCSTN;ADAMTS18;SERPINH1;A2M;ELANE;TGFB2;CRTAP;TGFB1;VCAM1;COL24A1;TGFB3;GDF5;BMP7;COL1A1;BMP4;BMP2;COL1A2;COL5A1;P4HA2;COL5A3;COL5A2;ITGA11;COL9A2;FBN1;DDR1;ITGB1;PTPRS;ITGAM;ITGB5;COL14A1;ITGB4;ELN;ITGB3;ITGB2;LAMC2;ITGAE;LAMC1;CTSS;ADAMTS4;ADAMTS5;ADAMTS2;ADAMTS3;ADAMTS1;CTSK;TIMP2;ITGB8;CTSG;ITGAV;TIMP1;TPSAB1;ADAMTS9;COLGALT1;ITGA4;COL25A1;ITGA3;MMP2;ITGA2;ITGA1;MMP3;MMP9;DCN;ASPN;MMP12;MMP11;MMP14;VCAN;MMP16;COL6A2;MMP17;COL6A1;MATN1;ITGA8;PECAM1;MMP19;COL21A1;COL6A3;ITGA7;ITGA6;CD47;ITGA5;CD44;MATN3;DDR2;ITGA9;PLEC;COL15A1;TNXB;PCOLCE2;LAMA2;COL11A1;NRXN1;LAMA4;LAMA3;NTN4;LRP4;THBS1;ACAN;JAM2;JAM3;LUM;CMA1;LAMB2;COL22A1;LAMB1;MFAP5;MFAP4;COL3A1;CAPN11;MFAP3;MFAP2;TLL1;FMOD"
"2","Axon guidance Homo sapiens R-HSA-422475","248/515",1.01977189749396e-15,7.36785195939387e-13,0,0,2.06362582486178,71.2347072546377,"EPHB6;TRIO;ACTB;PSMD7;SYNGAP1;RPS6KA5;DPYSL4;SCN11A;DPYSL2;RPS6KA2;DPYSL3;KDR;EPHB2;SCN1B;EPHB3;EPHA5;EPHA4;EPHA7;UNC5A;PAQR3;ANK2;ANK1;BTC;MYL6;KCNQ3;TLN1;MYL9;EPHA3;PDGFB;AGAP2;PDGFA;IQGAP1;KALRN;MYL12A;MYL12B;NCSTN;GRIN2A;APH1B;RRAS;ST8SIA4;PLCG1;PIP5K1C;SCN3B;SCN3A;SPTBN1;VASP;ST8SIA2;GRIN2C;L1CAM;PTK2;GRIN2D;COL9A2;CALM1;SCN2B;RET;ROBO2;NRP1;ROBO3;NRP2;ARPC1B;ROBO1;CHL1;PEA15;RAC1;JAK2;JAK3;SPTAN1;GIT1;JAK1;DUSP4;VAV3;CAP1;DUSP5;RHOG;DUSP8;IL17RD;RHOC;GFRA3;GFRA2;RHOA;DUSP7;RGMA;RHOB;ENAH;KIT;ARHGEF7;HBEGF;PAK3;CAP2;CD72;DAB2IP;AP2B1;PSMB9;KITLG;PSMC1;SEMA5A;PLXND1;ITGA2B;IL5RA;FGF1;FGF2;ACTG1;FGF7;FGF8;FGF9;CFL1;NRCAM;PLXNC1;PDGFRB;PDGFRA;SEMA6A;SEMA6D;CACNB1;CACNB3;CACNB4;TYROBP;COL4A2;COL4A1;COL4A5;VCL;PSMD10;SEMA7A;SHC3;SHC1;CSF2RB;RASAL2;CACNA1C;EFNA5;CSF2RA;RASGRP4;CACNA1G;RASGRP3;RAP1B;SPTA1;EFNB2;EFNB1;SDCBP;RAP1A;CLTCL1;UBC;PLXNA2;ABL1;ABL2;PLXNA1;MYH11;CACNA1S;SRGAP2;SRGAP1;MYH10;PLXNA4;PLXNA3;KL;PRNP;MSN;ARPC5;FGF16;ARPC2;DLG3;PTPRA;KIF4A;FGF18;PLXNB3;NF1;CNTN1;CNTN2;FGFR1;FGF10;ITGB1;CNTNAP1;YWHAB;RASGRF2;ITGB3;RASGRF1;TREM2;ARRB1;LAMC1;SPRED3;SPRED1;NCK2;ITGAV;SCN5A;NEO1;NCK1;ACTR3;ACTR2;TRPC6;TRPC3;KSR1;VWF;TRPC4;DCC;ITGA2;TRPC1;MMP2;ITGA1;PPP2R5A;NRG2;SPTB;MMP9;DNM1;DNM3;CREB1;RASA3;RASA4;COL6A2;RASA1;IL3RA;COL6A1;RASA2;DCX;COL6A3;MYH9;SCN4A;ITGA5;SOS1;SOS2;SCN4B;DOCK1;ITGA9;CAMK2D;ROCK1;ROCK2;SRC;SEMA3A;NTN4;CRMP1;SEMA3E;NTN1;CDC42;ABLIM1;ABLIM2;ERBB4;FYN;SLIT3;SLIT2;CAMK2G;CLASP2;MAPK3;SEMA4A;ANGPT1;MYO10;LIMK2;LIMK1;PTPN11;LAMB1;NFASC;IL2RA;TEK"
"3","Signaling by Rho GTPases Homo sapiens R-HSA-194315","182/367",2.51617678923724e-13,1.16130617481453e-10,0,0,2.17529816371818,63.1072826818258,"CYFIP1;NCKAP1;TRIO;NUP107;FAM13B;WIPF1;ZWILCH;NCF2;NCF4;ARHGDIG;ACTB;MYLK;ACTG1;CDC20;ARHGAP44;PPP1CC;SYDE1;OPHN1;KIF5B;KIF5A;ARHGDIB;KNTC1;RALBP1;STARD8;CYBB;CYBA;MYL6;DAAM1;BTK;MYL9;ARHGAP18;ARHGAP17;IQGAP1;KLC1;IQGAP3;KALRN;NUP160;RHOBTB1;MYL12B;SKA2;RHOBTB2;ARHGAP22;ABR;DSN1;ARHGAP20;KLC2;RACGAP1;ABL1;DVL2;DVL3;NCKAP1L;MYH11;A2M;SRGAP2;ECT2;MYH10;SRGAP1;STARD13;ARHGAP29;ARHGAP28;ARPC5;ARHGAP26;ARHGAP25;PTK2;ZWINT;ARHGAP24;NDC80;ARHGAP23;ARHGAP33;ARHGAP31;KIF18A;DIAPH2;ARHGAP30;DIAPH3;ARPC2;CALM1;ITGB1;ARHGAP11A;AHCTF1;CDKN1B;YWHAB;ARPC1B;RASGRF2;ARHGAP1;BRK1;ARHGAP6;ARHGAP4;AKAP13;YWHAQ;MCF2L;NUF2;RAC1;SPDL1;YWHAG;YWHAH;NCK1;VAV3;ACTR3;ACTR2;PPP1R12A;PLEKHG2;NUP133;ARHGEF17;PLEKHG5;RHOG;ARAP3;PPP2R5A;GMIP;RHOC;YWHAZ;RHOA;VAV1;RHOB;CIT;ARHGAP10;ARHGEF9;CTTN;KIF2A;INCENP;RHOJ;ARHGEF3;ARHGEF4;MYH9;TAX1BP3;KIF2C;PIK3C3;ARHGEF2;ARHGEF7;MAPRE1;PPP1R12B;SOS1;SOS2;RHOQ;ITGB3BP;PAFAH1B1;ARHGEF6;ROCK1;PKN3;ROCK2;SRC;SRF;FGD1;CENPC;FGD2;CDC42;CHN1;CTNNA1;FLNA;PAK3;WASF2;BUB1;WASF3;CLASP2;MAPK3;PPP1R14A;NDE1;LIMK2;LIMK1;MYO9B;MYO9A;KTN1;FMNL3;CENPE;CENPF;FMNL1;FMNL2;CENPH;CENPI;PRC1;DLC1;TAOK1;CENPK;ABI1;CENPL;TRIP10;CTNNB1;CENPO;PKN1;CENPP;CENPQ;MAD2L1;NUP37"
"4","Hemostasis Homo sapiens R-HSA-109582","254/552",3.21468837318901e-13,1.16130617481453e-10,0,0,1.8911934134437,54.4018348164458,"APP;SPARC;ISLR;MYB;AKT3;BSG;HABP4;KIFAP3;PRKCH;PRKCE;ACTN1;PRKCD;ACTN4;PRKAR1A;KIF20B;TLN1;ZFPM2;CFD;STXBP3;PDE1B;PDE1A;PDGFB;PDGFA;PIK3R3;GATA3;GATA2;GATA1;GLG1;PIK3R6;PIK3R5;RACGAP1;PRKAR2B;KCNMB1;INPP5D;KCNMB4;PLCG1;A2M;S100A10;PDE2A;L1CAM;GNG12;GNG11;PTK2;EHD2;CALU;PDE3A;CALM1;SLC7A10;KIF15;TMSB4X;TIMP3;QSOX1;TIMP1;CD36;RAC1;JAK2;JAK3;JAK1;VAV3;CAP1;SERPINB2;FCER1G;ANXA2;SYK;RHOG;KIF23;GAB2;SERPINB8;F3;RHOA;VAV1;KIF27;SERPINB6;RHOB;RAD51B;SLC7A6;F8;KIF9;SLC7A7;RAD51C;SLC7A8;KIF2A;KIFC1;KIF2C;CD47;GAS6;ALDOA;RAPGEF3;MGLL;CD44;CD63;SELPLG;GNAI3;GNAI1;GNAI2;PDPN;FLNA;CD58;LEFTY2;JAM2;JAM3;P2RY12;CD74;VEGFB;VEGFC;SLC8A3;CENPE;KIF26A;CAPZA2;F2RL3;DGKG;DGKE;CD84;DGKA;ITGA2B;MPL;F13A1;IL5RA;PLAT;SLC8A1;DOCK10;DOCK11;KIF5C;PLAU;KIF5B;CFL1;KIF5A;EP300;SLC16A3;GUCY1A2;F2R;ATP1B3;ATP1B2;DGKZ;PROCR;DOK2;SCG3;DGKI;VCL;PDE9A;DGKH;SHC1;ITPR1;ITPR3;CSF2RB;KLC1;RASGRP2;CSF2RA;PHF21A;RAP1B;KLC2;RAP1A;KIF3A;ABL1;KIF3C;TGFB2;TGFB1;CBX5;TGFB3;CAV1;SELP;KIF18A;KIF4A;GNAQ;MAFF;GNB1;GNAS;GNB4;GNB3;ESAM;MAFK;ITGB1;DOCK6;LGALS3BP;DAGLA;ITGAM;DOCK3;WDR1;DOCK9;ITGB3;DOCK8;ITGB2;DOCK7;PLEK;ATP2A3;PIK3CD;ARRB1;PIK3CB;PIK3CG;THBD;CAPZB;SIN3A;PHACTR2;PRKG2;ITGAV;PRKG1;SRGN;ABCC4;TRPC6;TRPC3;ITGA4;VWF;ITGA3;ITGA2;ITGA1;PLAUR;PLA2G4A;PPP2R5A;ADRA2C;YWHAZ;ADRA2A;PIK3CA;MMRN1;IL3RA;PECAM1;ITGA6;LCP2;PDE5A;ITGA5;SOS1;DOCK2;DOCK1;HDAC2;SRC;PRCP;SLC3A2;SRI;LRP8;THBS1;TTN;CDC42;GNA13;CLEC3B;GNA15;GNG2;GNG4;GNA11;GNA12;FYN;MAPK3;ANGPT4;ANGPT2;ANGPT1;NOS2;NOS3;PCDH7;ATP2B4;PTPN11;P2RX6;IL2RA;P2RX1;CD9;VPS45;TEK"
"5","Elastic fibre formation Homo sapiens R-HSA-1566948","35/41",1.28504926207012e-12,3.71379236738265e-10,0,0,12.7623382846191,349.435681788866,"FBN2;ITGB1;ITGB5;ELN;ITGB3;LTBP4;LOXL3;LOXL4;FBLN1;LTBP2;LTBP3;FBLN2;LTBP1;LOXL1;FBLN5;LOXL2;EFEMP2;EFEMP1;ITGB8;ITGAV;TGFB2;TGFB1;TGFB3;GDF5;BMP7;MFAP5;BMP4;MFAP4;BMP2;LOX;MFAP3;MFAP2;ITGA8;ITGA5;FBN1"
"6","Developmental Biology Homo sapiens R-HSA-1266738","334/786",2.27603204457842e-11,5.48144384069304e-09,0,0,1.64247015760584,40.2503776692689,"EPHB6;TRIO;RBPJ;ACTB;PSMD7;SYNGAP1;RPS6KA5;DPYSL4;SCN11A;DPYSL2;RPS6KA2;AKT3;DPYSL3;KDR;HOXA3;HOXA2;HOXA1;EPHB2;SCN1B;EPHB3;HOXA4;CDON;MEF2A;EPHA5;EPHA4;MEF2C;EPHA7;UNC5A;PAQR3;EBF1;ANK2;ANK1;DKK1;BTC;MYL6;KCNQ3;HOXB4;HOXB3;HOXB2;TLN1;MYL9;EPHA3;EPAS1;HOXD1;PDGFB;AGAP2;PDGFA;IQGAP1;KALRN;MYL12A;MYL12B;GRIN2A;NCSTN;APH1B;RRAS;ST8SIA4;HOXC4;PIP5K1C;PLCG1;SCN3B;SCN3A;SPTBN1;VASP;WNT10B;JUN;EGR2;ST8SIA2;NR2F2;GRIN2C;L1CAM;PBX1;PTK2;GRIN2D;MED13L;HOXD4;COL9A2;HOXD3;CALM1;NODAL;SCN2B;RET;ROBO2;NRP1;ROBO3;NRP2;RARG;ARPC1B;HIF3A;MED15;ROBO1;MED12;CHL1;PEA15;CD36;RAC1;JAK2;JAK3;SPTAN1;GIT1;JAK1;DUSP4;NCOA1;CAP1;VAV3;DUSP5;FOXD3;TSC22D1;NCOA3;TCF12;RHOG;DUSP8;MED27;IL17RD;RHOC;GFRA3;GFRA2;RHOA;DUSP7;RGMA;RHOB;ENAH;NCOR2;MED22;MED21;KIT;PPARG;PLIN1;ARHGEF7;HBEGF;ADAM22;GSC;ADAM23;CTNNA1;PAK3;MEF2D;LEFTY2;CAP2;CD72;PCGF2;DAB2IP;AP2B1;PSMB9;KITLG;FABP4;PSMC1;CTNNB1;SEMA5A;PLXND1;ITGA2B;IL5RA;FGF1;FGF2;ACTG1;CCND3;FGF7;FGF8;FGF9;CFL1;EP300;NRCAM;PLXNC1;PDGFRB;PDGFRA;SEMA6A;SEMA6D;ADIPOQ;ADAM11;CACNB1;CACNB3;TYROBP;CACNB4;COL4A2;COL4A1;COL4A5;VCL;PSMD10;SEMA7A;SHC3;NOTCH1;SHC1;LPL;CSF2RB;CACNA1C;RASAL2;FOXO3;EFNA5;CSF2RA;FOXO1;RASGRP4;CACNA1G;RASGRP3;RAP1B;SPTA1;EFNB2;EFNB1;SDCBP;RAP1A;CLTCL1;UBC;PLXNA2;ABL1;ABL2;PLXNA1;MYH11;CACNA1S;SRGAP2;SRGAP1;MYH10;PLXNA4;PLXNA3;SMAD2;KL;PRNP;TGFB1;MSN;ARPC5;NFKB1;FGF16;CNOT6;ARPC2;DLG3;PTPRA;CDK4;KIF4A;FGF18;CNTN1;PLXNB3;NF1;MYF6;CNTN2;TCF4;FGF10;FGFR1;ITGB1;CNTNAP1;YWHAB;CHD9;RASGRF2;ITGB3;RASGRF1;ARRB1;TREM2;LAMC1;SPRED3;SPRED1;BOC;NCK2;ITGAV;SCN5A;NEO1;NCK1;ACTR3;ACTR2;TRPC6;KSR1;TRPC3;VWF;TRPC4;DCC;ITGA2;MMP2;TRPC1;ITGA1;PPP2R5A;NRG2;SPTB;MMP9;DNM1;DNM3;CREB1;RASA3;RASA4;COL6A2;RASA1;IL3RA;COL6A1;RASA2;DCX;COL6A3;MYH9;SCN4A;ITGA5;SOS1;SCN4B;SOS2;DOCK1;ITGA9;CAMK2D;SMARCD3;ROCK1;ROCK2;SRC;SEMA3A;NTN4;CRMP1;SEMA3E;NTN1;CDC42;ABLIM1;CACNG8;ACVR1C;ABLIM2;POLR2B;ERBB4;POLR2F;FYN;SLIT3;SLIT2;RBBP7;CAMK2G;CLASP2;MAPK3;SPAG9;SEMA4A;MYO10;ANGPT1;LGI4;LIMK2;LGI3;LIMK1;LGI2;LAMB1;PTPN11;KLF4;MAPK12;ACVR2A;MAPK11;NFASC;KLF5;IL2RA;CARM1;LEP;TEK;INSM1"
"7","Platelet activation, signaling and aggregation Homo sapiens R-HSA-76002","130/253",3.02341456429477e-11,6.24119149343706e-09,0,0,2.32791152108732,56.3867873500531,"DGKG;APP;DGKE;SPARC;DGKA;ITGA2B;MPL;F13A1;IL5RA;ISLR;AKT3;CFL1;HABP4;PRKCH;ACTN1;PRKCE;PRKCD;F2R;ACTN4;DGKZ;SCG3;TLN1;DGKI;VCL;DGKH;CFD;STXBP3;SHC1;PDGFB;ITPR1;PDGFA;PIK3R3;CSF2RB;ITPR3;RASGRP2;CSF2RA;PIK3R6;PIK3R5;RAP1B;RAP1A;A2M;TGFB2;TGFB1;TGFB3;GNG12;GNG11;PTK2;SELP;GNAQ;GNB1;CALU;GNB4;GNB3;CALM1;LGALS3BP;DAGLA;WDR1;ITGB3;PLEK;PIK3CD;ARRB1;PIK3CB;PIK3CG;TMSB4X;TIMP3;PHACTR2;QSOX1;TIMP1;CD36;RAC1;JAK2;JAK3;JAK1;VAV3;CAP1;SRGN;ABCC4;FCER1G;TRPC6;SYK;TRPC3;VWF;RHOG;PLA2G4A;GAB2;ADRA2C;YWHAZ;RHOA;VAV1;ADRA2A;RHOB;F8;PIK3CA;MMRN1;IL3RA;PECAM1;LCP2;ALDOA;GAS6;SOS1;RAPGEF3;MGLL;CD63;SRC;GNAI3;THBS1;GNAI1;GNAI2;TTN;CDC42;GNA13;CLEC3B;GNA15;GNG2;GNG4;GNA11;PDPN;GNA12;FLNA;FYN;LEFTY2;MAPK3;P2RY12;PCDH7;VEGFB;VEGFC;PTPN11;IL2RA;CD9;F2RL3"
"8","Muscle contraction Homo sapiens R-HSA-397014","105/196",1.03005212124484e-10,1.8605316439985e-08,0,0,2.53711964017246,58.3442160253299,"SLC8A1;ACTG2;MYLK;SLN;SCN11A;SCN1B;TMOD1;KCNH2;ACTN3;TPM4;TMOD4;TPM3;CACNA2D1;TPM2;TMOD2;TPM1;CACNA2D3;CACNA2D2;KCNK15;ATP1B3;CACNA2D4;ATP1B2;CACNB1;MYL6;CACNB3;CACNB4;KCNQ1;TLN1;MYL9;VCL;KCNE3;KCNE4;NPR1;PXN;ITPR1;ITPR3;CACNA1C;CACNA1F;MYL12A;MYL12B;CALD1;MYH11;CACNA1S;SCN3B;SCN3A;WWTR1;DMPK;CAV3;FGF14;FXYD6;CALM1;FGF13;FGF12;FGF11;SCN2B;RYR1;RYR2;TRIM72;KCNK6;ITGB5;LMOD1;ATP2A3;RYR3;SCN5A;CLIC2;ANXA1;KCND1;ANXA2;KCND2;TRPC1;TNNC2;ITGA1;TRDN;ACTA2;ASPH;TNNT3;SCN4A;SCN4B;CAMK2D;ATP1A4;ATP1A2;SRI;TTN;CACNG8;PLN;CAMK2G;CORIN;KCNJ2;KCNIP1;KCNJ12;KCNIP2;KCNIP3;KCNIP4;ATP2B4;SORBS1;HIPK1;TBX5;SORBS3;SLC8A3;DES;FKBP1B;VIM;KCNK2;KCNK3;KCNK4"
"9","Semaphorin interactions Homo sapiens R-HSA-373755","46/67",4.38357537820039e-10,7.03807380166618e-08,0,0,4.79556571428571,103.334784034745,"SEMA5A;ITGB1;NRP1;SEMA7A;PLXND1;ROCK1;ROCK2;SEMA3A;CRMP1;TREM2;SEMA3E;MYL12B;CDC42;DPYSL4;RRAS;DPYSL2;DPYSL3;CFL1;PLXNA2;PLXNA1;MYH11;FYN;PLXNC1;RAC1;PIP5K1C;PAK3;MYH10;PLXNA4;PLXNA3;SEMA4A;SEMA6A;CD72;SEMA6D;LIMK2;ITGA1;LIMK1;RHOG;RHOC;RHOA;RHOB;MYL6;TYROBP;PLXNB3;MYH9;TLN1;MYL9"
"10","Molecules associated with elastic fibres Homo sapiens R-HSA-2129379","26/30",5.57954657128666e-10,8.06244479550923e-08,0,0,14.2025518341308,302.610127789011,"ITGB1;ITGB5;ITGB3;LTBP4;FBLN1;LTBP2;LTBP3;FBLN2;LTBP1;FBLN5;EFEMP2;EFEMP1;ITGB8;ITGAV;TGFB2;TGFB1;TGFB3;GDF5;BMP7;MFAP5;BMP4;MFAP4;BMP2;MFAP3;MFAP2;ITGA8"
