"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Oxidative phosphorylation","105/133",4.11245995726995e-29,1.26252520688187e-26,0,0,8.16067146282974,533.389209397726,"NDUFA13;NDUFA12;NDUFA10;COX6A1;COX6A2;ATP6V1E1;ATP6V1E2;ATP6V1G2;SDHC;SDHB;COX6B1;COX7A2L;PPA1;UQCRC1;ND1;UQCRC2;ATP6V0D1;ND3;ND2;ND5;ATP6V1A;ND6;NDUFB10;UQCRB;NDUFB11;ATP8;COX17;ATP6;ATP5MC3;COX7A2;UQCRH;ATP5MC1;COX3;COX2;ATP6V1H;COX11;ATP6V0A4;COX1;CYC1;NDUFV2;NDUFV1;ATP6V1D;ATP5MG;ATP6V1C1;ATP5MF;ATP6V1F;ATP6V0A1;ATP5ME;LHPP;UQCRQ;CYTB;COX7B;COX4I1;COX7C;UQCRFS1;COX8A;ATP6V0B;ATP6AP1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;ATP6V1B2;NDUFS3;NDUFS2;NDUFS1;ATP6V0C;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;ATP5F1A;ATP5F1B;ATP6V0E2;NDUFA9;NDUFA8;ATP5PF;NDUFA7;NDUFA6;ATP5PD;NDUFA5;NDUFA4;ATP5PB;NDUFA3;NDUFA2;NDUFA1;ND4L;COX6C;ATP5F1C;ATP5F1D;ATP5F1E;UQCRHL;NDUFAB1;ATP5PO"
"2","Parkinson disease","104/142",3.47639423657196e-24,5.33626515313796e-22,0,0,5.95053170009423,321.424197691266,"NDUFA13;NDUFA12;NDUFA10;PARK7;COX6A1;COX6A2;UBE2L3;PRKACB;SDHC;SDHB;COX6B1;COX7A2L;UQCRC1;PPIF;VDAC3;ND1;VDAC1;UQCRC2;ND3;ND2;ND5;ND6;NDUFB10;UQCRB;NDUFB11;ATP8;ATP6;ATP5MC3;COX7A2;UQCRH;ATP5MC1;UBB;COX3;COX2;COX1;CYC1;DRD1;NDUFV2;DRD2;NDUFV1;GNAL;TH;UQCRQ;CYCS;CYTB;COX7B;COX4I1;COX7C;CASP9;UCHL1;UQCRFS1;COX8A;GPR37;NDUFC2;NDUFC1;NDUFS8;NDUFS7;ADORA2A;NDUFS6;NDUFS5;NDUFS3;NDUFS2;NDUFS1;SLC25A5;SLC25A4;PRKN;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;ADCY5;ATP5F1A;ATP5F1B;SNCA;NDUFA9;NDUFA8;ATP5PF;NDUFA7;NDUFA6;ATP5PD;NDUFA5;NDUFA4;ATP5PB;NDUFA3;NDUFA2;NDUFA1;ND4L;COX6C;ATP5F1C;ATP5F1D;ATP5F1E;UQCRHL;PINK1;NDUFAB1;ATP5PO"
"3","Alzheimer disease","116/171",3.26925065181212e-22,3.34553316702107e-20,0,0,4.58872517616912,227.014840136363,"APP;NDUFA13;NDUFA12;NDUFA10;CALML3;COX6A1;COX6A2;SDHC;SDHB;COX6B1;COX7A2L;UQCRC1;UQCRC2;RTN3;NDUFB10;UQCRB;NDUFB11;ATP8;ATP6;ITPR1;ATP5MC3;CACNA1D;COX7A2;PSEN1;CACNA1F;UQCRH;RTN4;ATP5MC1;PPP3R1;GRIN2A;COX3;COX2;COX1;CACNA1S;APOE;CYC1;NDUFV2;NDUFV1;GRIN2C;GRIN2B;CDK5;UQCRQ;GNAQ;CYCS;CALM3;CYTB;CALM1;CALM2;GSK3B;COX7B;COX4I1;ATP2A2;COX7C;RYR3;CASP9;PPP3CA;PPP3CB;UQCRFS1;NOS1;COX8A;PSENEN;NDUFC2;NDUFC1;BACE1;NDUFS8;NDUFS7;NDUFS6;IL1B;NDUFS5;NDUFS3;NDUFS2;NDUFS1;MAPT;PLCB1;GAPDH;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;ATP5F1A;ATP5F1B;MAPK1;APBB1;BID;SNCA;NDUFA9;NDUFA8;ATP5PF;NDUFA7;NDUFA6;ATP5PD;NDUFA5;BAD;NDUFA4;ATP5PB;NDUFA3;NDUFA2;NDUFA1;COX6C;ATP5F1C;ATP5F1D;ATP5F1E;UQCRHL;GRIN1;NDUFAB1;ATP5PO;CDK5R1"
"4","Retrograde endocannabinoid signaling","100/148",3.7582724038041e-19,2.88447406991965e-17,0,0,4.5234291799787,191.907194867587,"FAAH;NDUFA13;NDUFA12;NDUFA10;RIMS1;PRKACB;PRKCG;PRKCB;PRKCA;GABRG3;GABRG2;GABRG1;ND1;ND3;ND2;ND5;GRIA1;ND6;GRIA2;NDUFB10;NDUFB11;CACNA1B;ITPR1;CACNA1A;CACNA1D;ABHD6;CACNA1F;GNG10;CACNA1S;NDUFV2;NDUFV1;GRIA3;GRIA4;GNAO1;GNAQ;GNB1;NAPEPLD;GNB3;GNB5;GABRB3;GABRB2;GABRB1;DAGLA;GRM1;GRM5;SLC32A1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;NDUFS2;NDUFS1;DAGLB;PLCB1;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;ADCY2;ADCY1;ADCY8;ADCY5;MAPK9;GNG3;GNG4;CNR1;GNG7;MAPK1;SLC17A8;GABRD;KCNJ3;GABRQ;GABRA2;NDUFA9;GABRA1;NDUFA8;KCNJ6;NDUFA7;NDUFA6;NDUFA5;KCNJ9;GABRA5;NDUFA4;GABRA4;NDUFA3;GABRA3;NDUFA2;NDUFA1;ND4L;MAPK10;MAPK11;NDUFAB1"
"5","Huntington disease","121/193",8.42889087743936e-19,5.17533899874776e-17,0,0,3.65471674591726,152.099997182741,"NDUFA13;NDUFA12;NDUFA10;COX6A1;COX6A2;CREB3L3;AP2M1;SDHC;SDHB;COX6B1;COX7A2L;UQCRC1;VDAC3;PPIF;TBPL1;VDAC1;UQCRC2;NDUFB10;UQCRB;NDUFB11;ATP8;ATP6;ITPR1;ATP5MC3;COX7A2;UQCRH;ATP5MC1;COX3;COX2;COX1;CYC1;NDUFV2;PPARGC1A;NDUFV1;DNAH12;DNAH11;DNAH10;DNAH17;GRIN2B;UQCRQ;DLG4;GNAQ;CYCS;CYTB;DNAL4;DNAL1;COX7B;COX4I1;CLTC;CLTB;COX7C;DNALI1;CASP9;GRM5;UQCRFS1;COX8A;NDUFC2;NDUFC1;CREB3;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;NDUFS2;NDUFS1;HAP1;PLCB1;SLC25A5;SLC25A4;NDUFB9;NDUFB8;HDAC2;DNAH2;NDUFB7;NDUFB6;DNAH7;NDUFB5;DCTN1;NDUFB4;DCTN4;DNAH6;NDUFB3;NDUFB2;NDUFB1;UQCR11;DNAH9;UQCR10;COX5B;COX5A;ATP5F1A;ATP5F1B;POLR2D;AP2S1;POLR2F;POLR2I;DNAI1;POLR2J;POLR2K;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;AP2B1;COX6C;ATP5F1C;ATP5F1D;ATP5F1E;UQCRHL;GRIN1;SOD1;NDUFAB1;ATP5PO"
"6","Thermogenesis","128/231",8.14470533511887e-14,4.16737422980249e-12,0,0,2.69940301855752,81.356830424191,"NDUFA13;NDUFA12;NDUFA10;COX6A1;COX6A2;NPPB;RPS6KA6;CREB3L3;DPF1;DPF3;PRKACB;MAP3K5;ACSL6;SDHC;ACSL3;CPT1C;SDHB;COX6B1;COX7A2L;UQCRC1;ND1;UQCRC2;ND3;ND2;ND5;ND6;NDUFB10;COX16;UQCRB;NDUFB11;ATP8;COX17;ATP6;ATP5MC3;COX7A2;UQCRH;ATP5MC1;COX3;COX2;COX11;COX1;CYC1;NDUFV2;PPARGC1A;ATP5MG;NDUFV1;ATP5MF;ATP5ME;COA3;SMARCA4;NDUFAF6;UQCRQ;RHEB;NDUFAF4;NDUFAF5;NDUFAF2;NDUFAF3;GRB2;NDUFAF1;CYTB;COX20;COX7B;COX4I1;PRKAG2;COX7C;PRKAG3;MLST8;UQCRFS1;HRAS;COA7;COA6;COA5;COX8A;ACTL6B;NDUFC2;NDUFC1;CREB3;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;NDUFS2;NDUFS1;NDUFB9;NDUFB8;NDUFB7;SMARCD3;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;ADCY2;ADCY1;UQCR10;ADCY8;COX5B;COX5A;ADCY5;ATP5F1A;ATP5F1B;CNR1;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;BMP8B;ND4L;COX6C;ATP5F1C;ATP5F1D;ATP5F1E;MTOR;UQCRHL;MAPK11;NDUFAB1;ATP5PO"
"7","Cardiac muscle contraction","54/78",1.24370656856362e-11,5.45454166498617e-10,0,0,4.85823025689819,121.991813227393,"RYR2;COX7B;COX4I1;ATP2A2;COX6A1;COX7C;COX6A2;SLC8A1;UQCRFS1;COX8A;CACNA2D1;CACNA2D3;CACNA2D2;ATP1B2;ATP1B1;COX6B1;CACNB1;CACNB2;COX7A2L;CACNB3;CACNB4;SLC9A6;UQCRC1;UQCRC2;MYH7;UQCRB;ATP1A3;ATP1A2;UQCR11;CACNA1D;COX7A2;UQCR10;ATP1A1;COX5B;CACNA1F;COX5A;UQCRH;SLC9A1;CACNG7;CACNG8;COX3;COX2;TNNI3;COX1;CACNA1S;CACNG1;CYC1;CACNG2;CACNG3;CACNG4;COX6C;UQCRHL;UQCRQ;CYTB"
"8","GABAergic synapse","58/89",9.89910830844843e-11,3.79878281336708e-09,0,0,4.04030466518566,93.0724232769832,"GABRB3;GABRB2;GABRB1;ABAT;SLC6A1;GPHN;GLUL;PRKACB;NSF;PRKCG;GABARAPL2;SLC38A1;GABARAPL1;SLC32A1;PRKCB;SLC6A13;SLC6A12;SLC6A11;PRKCA;GABRG3;GABRG2;GABRG1;HAP1;GLS2;CACNA1B;CACNA1A;ADCY2;CACNA1D;ADCY1;ADCY8;CACNA1F;ADCY5;TRAK2;GNG3;GNG10;GNG4;GNG7;CACNA1S;SLC38A3;GABRD;SLC38A5;GABRA2;GABRQ;GABBR2;GABRA1;KCNJ6;GABBR1;SLC12A5;GABRA5;PLCL1;GABRA4;GAD1;GABRA3;GAD2;GNAO1;GNB1;GNB3;GNB5"
"9","Synaptic vesicle cycle","49/78",1.6861502399977e-08,5.75164581865883e-07,0,0,3.64409706096088,65.2228974627905,"SNAP25;RAB3A;CLTC;CLTB;SLC6A1;RIMS1;ATP6V1E1;ATP6V1E2;AP2M1;NSF;UNC13C;ATP6V0B;UNC13A;ATP6V1G2;SLC32A1;SLC6A13;SLC6A12;SLC6A11;DNM1;DNM3;STX1B;ATP6V1B2;ATP6V0D1;ATP6V0C;STX1A;VAMP2;ATP6V1A;STXBP1;SLC1A1;SLC1A2;CACNA1B;SLC1A3;CACNA1A;SLC1A6;CPLX2;CPLX1;CPLX3;AP2S1;ATP6V1H;ATP6V0A4;SLC17A8;ATP6V0E2;ATP6V1D;ATP6V1C1;ATP6V1F;ATP6V0A1;SYT1;AP2B1;SLC6A9"
"10","Non-alcoholic fatty liver disease (NAFLD)","77/149",3.51028522790404e-07,1.07765756496654e-05,0,0,2.30944170336181,34.3238425736387,"GSK3B;NDUFA13;GSK3A;COX7B;NDUFA12;COX4I1;NDUFA10;PRKAG2;PIK3CB;COX6A1;COX6A2;COX7C;PRKAG3;UQCRFS1;MAP3K5;COX8A;NDUFC2;SDHC;TRAF2;NDUFC1;SDHB;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;IL1B;NDUFS5;UQCRC1;NDUFS3;NDUFS2;NDUFS1;UQCRC2;CYP2E1;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;PIK3R2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;MAPK9;COX3;COX2;COX1;CYC1;NDUFV2;BID;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRHL;MAPK10;UQCRQ;NDUFAB1;CYCS;CYTB"
