"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Neuronal System Homo sapiens R-HSA-112316","195/301",2.94891015598103e-32,4.32015337851221e-29,0,0,4.03851627415875,293.201480335871,"ABAT;RPS6KA6;GLUL;PRKACB;PRKCG;KCNK10;ACTN2;PRKCB;CACNA2D1;KCNK13;CACNA2D3;SLC6A13;CACNA2D2;SLC6A12;SLC6A11;PRKCA;KCNK17;GABRG3;GABRG2;SLC5A7;KCNQ2;KCNQ3;KCNQ5;STX1A;STXBP1;GNG10;GRIN2A;EPB41L1;KCNMB2;TSPAN7;MYO6;KCNN1;KCNMB4;KCNN2;KCNN3;GRIN2C;GRIN2B;CALM1;GABRB3;ACHE;GABRB2;GABRB1;KCNC1;KCNC2;KCNC3;GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;SLC6A1;PANX2;NEFL;HRAS;SLC32A1;KCND2;KCND3;SYN3;SYN2;SYN1;ARHGEF9;ALDH5A1;KCNMA1;PICK1;PLCB1;VAMP2;KCNA1;KCNA2;KCNA3;KCNA4;ADCY2;ADCY1;AKAP5;ADCY8;CAMKK1;ADCY5;AP2S1;GABRA2;GABRQ;GABBR2;GABRA1;BCHE;GABBR1;KCNB1;GABRA5;KCNB2;GABRA4;GAD1;GABRA3;GAD2;AP2B1;GRIN1;KCNS1;KCNS2;CAMK4;APBA1;KCNG1;KCNG2;KCNG3;KCNG4;RAB3A;GRIP1;RIMS1;PPFIA4;PPFIA3;AP2M1;PPFIA2;KCNH1;CHRNB2;KCNH2;NSF;KCNH3;SLC38A1;KCNH4;KCNH5;KCNH6;KCNH8;CASK;CACNB1;CACNB2;CACNB3;CACNB4;GRIA1;GRIA2;RTN3;CHRNA3;CHRNA2;CHRNA5;CHRNA4;SLC1A1;SLC1A2;CACNA1B;SLC1A3;CACNA1A;SLC1A6;CPLX1;CACNA1E;LIN7B;GRIA3;GRIA4;KCNF1;HSPA8;SYT1;CACFD1;PTPRD;LRFN3;LRFN2;LRFN5;DLG1;GNAL;DLG3;DLG4;LRFN1;GNB1;GNB3;GNB5;SNAP25;KCNK9;RASGRF1;ALDH2;NPTN;ABCC8;PDPK1;KCNAB1;KCNAB2;KCNAB3;DNAJC5;HCN4;CAMK2B;GLS2;CAMK2A;GNG3;CACNG8;GNG4;GNG7;MAPK1;CACNG2;CACNG3;KCNJ1;CACNG4;KCNJ2;KCNJ3;KCNJ4;KCNJ6;KCNJ10;KCNJ11;KCNJ12;KCNJ9;KCNJ14;KCNJ16;KCNK1;KCNK2;HCN2;KCNK4;HCN1"
"2","Transmission across Chemical Synapses Homo sapiens R-HSA-112315","137/211",3.45754461954264e-23,2.53265143381499e-20,0,0,4.03590429574682,208.732524422595,"RAB3A;ABAT;GRIP1;RIMS1;RPS6KA6;GLUL;PRKACB;PPFIA4;PPFIA3;AP2M1;PPFIA2;PRKCG;CHRNB2;NSF;SLC38A1;ACTN2;PRKCB;CACNA2D1;CACNA2D3;SLC6A13;CACNA2D2;SLC6A12;CASK;SLC6A11;PRKCA;GABRG3;GABRG2;CACNB1;SLC5A7;CACNB2;CACNB3;CACNB4;STX1A;GRIA1;GRIA2;CHRNA3;CHRNA2;CHRNA5;CHRNA4;STXBP1;SLC1A1;SLC1A2;CACNA1B;SLC1A3;CACNA1A;SLC1A6;CPLX1;CACNA1E;LIN7B;GNG10;GRIN2A;EPB41L1;TSPAN7;MYO6;GRIA3;GRIA4;HSPA8;SYT1;CACFD1;GRIN2C;GRIN2B;DLG1;GNAL;DLG3;DLG4;GNB1;GNB3;GNB5;CALM1;GABRB3;ACHE;GABRB2;SNAP25;GABRB1;GRIK5;RASGRF1;GRIK3;GRIK4;GRIK1;GRIK2;SLC6A1;ALDH2;NPTN;NEFL;HRAS;SLC32A1;PDPK1;SYN3;SYN2;SYN1;ARHGEF9;ALDH5A1;DNAJC5;PICK1;PLCB1;VAMP2;CAMK2B;GLS2;CAMK2A;ADCY2;ADCY1;AKAP5;ADCY8;CAMKK1;ADCY5;GNG3;CACNG8;GNG4;GNG7;AP2S1;MAPK1;CACNG2;CACNG3;CACNG4;KCNJ2;KCNJ3;GABRA2;GABRQ;KCNJ4;GABBR2;GABRA1;BCHE;GABBR1;KCNJ6;KCNJ10;GABRA5;KCNJ12;KCNJ9;GABRA4;GAD1;GABRA3;GAD2;KCNJ16;AP2B1;GRIN1;CAMK4;APBA1"
"3","Respiratory electron transport Homo sapiens R-HSA-611105","71/88",3.90860483612459e-21,1.90870202830751e-18,0,0,9.04691665185712,425.124623539882,"COX7B;NDUFA13;NDUFA12;COX4I1;TACO1;NDUFA10;ETFB;ECSIT;COX6A1;COX7C;UQCRFS1;COX8A;NDUFC2;NDUFC1;SDHC;SDHB;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;TMEM126B;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB10;COX16;UQCRB;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;COX11;CYC1;NDUFV2;NDUFV1;NDUFA9;NDUFA8;SURF1;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;NDUFAF6;UQCRQ;NDUFAF4;NDUFAB1;NDUFAF5;NDUFAF2;CYCS;NDUFAF3;NDUFAF1;COX20"
"4","Complex I biogenesis Homo sapiens R-HSA-6799198","42/49",7.44350159926973e-15,2.72618246073254e-12,0,0,12.9468186134853,421.178588333139,"NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFB6;NDUFB10;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFB1;ECSIT;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFAF6;NDUFS6;NDUFS5;NDUFAF4;NDUFAB1;NDUFAF5;NDUFS3;NDUFAF2;NDUFS2;NDUFAF3;NDUFS1;TMEM126B;NDUFAF1"
"5","The citric acid (TCA) cycle and respiratory electron transport Homo sapiens R-HSA-1428517","94/153",3.87824775856569e-14,1.13632659325975e-11,0,0,3.45316396803843,106.636493002287,"NDUFA13;COX7B;NDUFA12;TACO1;COX4I1;NDUFA10;ETFB;COX6A1;ECSIT;COX7C;MPC1;MPC2;BSG;UQCRFS1;SLC16A8;PDK2;IDH3A;COX8A;PDHX;NDUFC2;SDHC;NDUFC1;SDHB;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1;NDUFS3;NDUFS2;NDUFS1;UQCRC2;TMEM126B;HAGH;L2HGDH;SLC25A14;NDUFB9;NDUFB8;FH;NDUFB7;NDUFB10;COX16;UQCRB;NDUFB6;NDUFB11;NDUFB5;GLO1;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;PDHB;COX5B;COX5A;UQCRH;SLC25A27;LDHB;COX11;CYC1;NDUFV2;NDUFV1;NDUFA9;NDUFA8;SURF1;NDUFA7;SLC16A1;NDUFA6;NDUFA5;MDH2;IDH3G;NDUFA4;NDUFA3;IDH2;NDUFA2;NDUFA1;COX6C;PDP1;SUCLA2;NDUFAF6;UQCRQ;NDUFAF4;NDUFAF5;NDUFAB1;NDUFAF2;OGDH;NDUFAF3;CYCS;NDUFAF1;ACO2;COX20"
"6","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. Homo sapiens R-HSA-163200","73/109",4.66513522476292e-14,1.13907051737961e-11,0,0,4.38776664369157,134.687211699784,"NDUFA13;COX7B;NDUFA12;TACO1;COX4I1;NDUFA10;ETFB;COX6A1;ECSIT;COX7C;UQCRFS1;COX8A;NDUFC2;SDHC;NDUFC1;SDHB;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1;NDUFS3;NDUFS2;NDUFS1;UQCRC2;TMEM126B;SLC25A14;NDUFB9;NDUFB8;NDUFB7;NDUFB10;COX16;UQCRB;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;UQCRH;SLC25A27;COX11;CYC1;NDUFV2;NDUFV1;NDUFA9;NDUFA8;SURF1;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;NDUFAF6;UQCRQ;NDUFAF4;NDUFAF5;NDUFAB1;NDUFAF2;NDUFAF3;CYCS;NDUFAF1;COX20"
"7","Potassium Channels Homo sapiens R-HSA-1296071","67/99",2.36985276849221e-13,4.9597632940587e-11,0,0,4.52753058954394,131.618838371436,"KCNG1;KCNG2;KCNG3;KCNG4;KCNC1;KCNK9;KCNC2;KCNC3;KCNH1;KCNH2;KCNH3;KCNH4;KCNH5;KCNH6;KCNK10;KCND2;KCND3;ABCC8;KCNH8;KCNK13;KCNAB1;KCNK17;KCNAB2;KCNAB3;KCNQ2;KCNMA1;KCNQ3;KCNQ5;HCN4;KCNA1;KCNA2;KCNA3;KCNA4;GNG10;GNG3;GNG4;GNG7;KCNMB2;KCNN1;KCNMB4;KCNN2;KCNN3;KCNJ1;KCNJ2;KCNJ3;KCNJ4;KCNF1;GABBR2;KCNJ6;GABBR1;KCNJ10;KCNJ11;KCNJ12;KCNJ9;KCNB1;KCNB2;KCNJ14;KCNJ16;KCNS1;KCNS2;GNB1;GNB3;KCNK1;KCNK2;HCN2;KCNK4;HCN1"
"8","Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314","87/142",4.28577032348906e-13,7.84831690488935e-11,0,0,3.42563366810139,97.5562435046835,"GABRB3;GABRB2;GABRB1;GRIK5;RASGRF1;GRIK3;GRIK4;GRIK1;GRIK2;GRIP1;RPS6KA6;NPTN;NEFL;PRKACB;HRAS;AP2M1;CHRNB2;NSF;PRKCG;ACTN2;PRKCB;PDPK1;PRKCA;GABRG3;GABRG2;ARHGEF9;PICK1;PLCB1;GRIA1;CAMK2B;GRIA2;CHRNA3;CHRNA2;CHRNA5;CHRNA4;CAMK2A;ADCY2;ADCY1;AKAP5;ADCY8;CAMKK1;ADCY5;GNG10;GRIN2A;GNG3;CACNG8;EPB41L1;GNG4;GNG7;TSPAN7;MYO6;AP2S1;MAPK1;CACNG2;CACNG3;GRIA3;CACNG4;KCNJ2;GRIA4;KCNJ3;GABRQ;GABRA2;KCNJ4;GABBR2;GABRA1;KCNJ6;GABBR1;KCNJ10;KCNJ12;KCNJ9;GABRA5;GABRA4;GABRA3;KCNJ16;AP2B1;GRIN2C;GRIN2B;GRIN1;DLG1;GNAL;DLG3;DLG4;CAMK4;GNB1;GNB3;GNB5;CALM1"
"9","Cardiac conduction Homo sapiens R-HSA-5576891","79/135",1.2982096723741e-10,2.11319685558673e-08,0,0,3.05097004571611,69.4549205682953,"RYR1;RYR2;AHCYL1;KCNK9;ATP2A2;SLC8A1;RYR3;SLC8A2;NPPC;NOS1;SCN1B;SCN1A;KCNH2;KCNK10;KCND2;KCND3;CACNA2D1;KCNK12;KCNK13;CACNA2D3;CACNA2D2;ATP1B2;KCNK17;ATP1B1;CACNB1;CACNB2;KAT2B;CACNB3;CACNB4;SCN8A;SCN4B;CAMK2B;CAMK2A;ITPR1;ATP1A3;CACNA1D;ATP1A2;ATP1A1;SRI;CACNA1F;CACNG7;CACNG8;TNNI3;CACNA1S;CACNG1;SCN3B;CACNG2;SCN3A;CACNG3;CACNG4;KCNJ2;KCNJ4;KCNJ11;KCNIP1;KCNJ12;KCNIP2;KCNIP3;KCNIP4;KCNJ14;ATP2B3;ATP2B2;ATP2B1;HIPK2;SLC8A3;FGF14;FXYD3;FXYD1;FKBP1B;FXYD7;RANGRF;FXYD6;CALM1;FGF13;SCN2A;KCNK1;FGF12;KCNK2;SCN2B;KCNK4"
"10","GABA synthesis, release, reuptake and degradation Homo sapiens R-HSA-888590","19/19",3.45178089807032e-10,5.05685901567302e-08,0,0,259160,5646308.7168046,"SNAP25;HSPA8;RAB3A;SLC32A1;SYT1;STXBP1;GAD1;SLC6A13;GAD2;SLC6A12;SLC6A11;ABAT;SLC6A1;CPLX1;RIMS1;ALDH5A1;DNAJC5;VAMP2;STX1A"
