"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Th1 and Th2 cell differentiation","61/92",2.38470778086642e-14,7.29720580945123e-12,0,0,5.09696617120917,159.877122559338,"MAML2;MAML1;CD3G;CD3E;RBPJ;CD3D;IKBKB;PPP3CC;IKBKG;HLA-DOA;JAK2;HLA-DOB;JAK3;HLA-DPA1;JAK1;IL4R;IFNGR1;IFNGR2;TYK2;FOS;RUNX3;ZAP70;MAF;LCK;MAML3;HLA-DQB1;NOTCH2;NOTCH3;NOTCH1;GATA3;IL2RG;DLL1;RELA;DLL4;HLA-DMA;HLA-DMB;TBX21;STAT4;STAT6;PLCG1;HLA-DQA1;IL12RB2;STAT5A;STAT5B;JUN;HLA-DRB5;JAG1;STAT1;NFATC3;NFATC2;NFATC1;MAPK14;NFKB1;NFKBIA;CD4;IL2RA;IL2RB;HLA-DPB1;HLA-DRA;LAT;HLA-DRB1"
"2","NF-kappa B signaling pathway","60/95",9.68368071575702e-13,1.48160314951082e-10,0,0,4.43841121013858,122.780497829878,"CD40;TRADD;TNFAIP3;CXCL2;TNF;TNFSF13B;ICAM1;IKBKB;PIDD1;PLAU;TRIM25;LBP;IKBKG;CARD10;TICAM2;SYK;IL1R1;DDX58;IRAK4;TRAF1;TICAM1;TIRAP;TNFRSF1A;ZAP70;LCK;TRAF6;TRAF5;BTK;TLR4;BIRC3;CCL13;BCL2A1;LY96;TNFRSF11A;BCL10;PTGS2;RELA;MALT1;RELB;IRAK1;CCL4;PLCG2;RIPK1;PLCG1;CD14;CCL19;LYN;VCAM1;CCL21;GADD45B;TNFSF14;CFLAR;NFKB1;NFKB2;NFKBIA;CXCL12;CD40LG;LTBR;LAT;MYD88"
"3","Th17 cell differentiation","65/107",1.50211712324145e-12,1.53215946570628e-10,0,0,4.00855956892773,109.129609300401,"RORC;RORA;CD3G;AHR;CD3E;CD3D;IL27RA;IKBKB;PPP3CC;IKBKG;HLA-DOA;JAK2;HLA-DOB;IL6R;JAK3;HLA-DPA1;JAK1;IL4R;IL1R1;IFNGR1;IFNGR2;TYK2;FOS;TGFBR1;TGFBR2;ZAP70;IRF4;LCK;RARA;IL6ST;HLA-DQB1;GATA3;IL2RG;HIF1A;RELA;HLA-DMA;RXRA;HLA-DMB;TBX21;STAT6;PLCG1;HLA-DQA1;SMAD2;STAT5A;STAT5B;SMAD4;HLA-DRB5;JUN;TGFB1;STAT1;STAT3;NFATC3;NFATC2;NFATC1;MAPK14;NFKB1;NFKBIA;IL6;CD4;IL2RA;IL2RB;HLA-DPB1;HLA-DRA;HLA-DRB1;LAT"
"4","Human T-cell leukemia virus 1 infection","110/219",2.52168676377233e-12,1.92909037428583e-10,0,0,2.6230085600203,70.0503107735188,"RB1;CRTC2;SPI1;CRTC3;TNF;ETS1;ETS2;ICAM1;ELK4;ZFP36;CCND1;CREB3L4;CREB3L1;CHEK2;MYC;AKT2;CREB3L2;CDC27;EP300;HLA-DOA;B2M;HLA-DOB;IL15RA;MSX2;IL1R1;IL1R2;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;TLN1;TP53;ATF4;PIK3R3;CCNB2;HLA-DQA1;STAT5A;SMAD2;STAT5B;EGR1;CREBBP;HLA-DRB5;JUN;SMAD4;TGFB1;NFATC3;NFATC2;NFATC1;NFKB1;NFATC4;NFKB2;FOSL1;NFKBIA;IL6;CDK4;CDK2;HLA-DRA;TCF3;HLA-DRB1;NRP1;CD40;CDKN1A;ITGB2;PTEN;PIK3CD;CD3G;CD3E;ITGAL;CD3D;IKBKB;PPP3CC;TSPO;IKBKG;JAK3;HLA-DPA1;JAK1;MMP7;IL15;FOS;TGFBR1;TNFRSF1A;TGFBR2;CCNA2;CREB1;PIK3CA;ESPL1;LCK;HLA-DQB1;ADCY4;ADCY3;IL2RG;ADCY7;ADCY6;RELA;RELB;HLA-DMA;HLA-DMB;E2F2;MSX1;MAP3K3;CDKN2B;CDKN2C;MAP3K1;CD4;IL2RA;IL2RB;HLA-DPB1;LTBR"
"5","Epstein-Barr virus infection","100/201",4.98582694052615e-11,2.4563660633245e-09,0,0,2.57019345232743,60.9697094856452,"RB1;RBPJ;TNF;ICAM1;CCND1;MYC;AKT2;HLA-DOA;B2M;HLA-DOB;PDIA3;MAP2K3;IFNAR2;HLA-B;TAP2;HLA-C;TAP1;HLA-A;HLA-F;RUNX3;HLA-G;HLA-E;BTK;TP53;PIK3R3;BCL2L11;IRAK1;PLCG2;RIPK1;HLA-DQA1;LYN;HLA-DRB5;JUN;GADD45B;GADD45A;NFKB1;NFKB2;NFKBIA;CXCL10;MAVS;IL6;SNW1;CDK4;CDK2;HLA-DRA;HLA-DRB1;MYD88;CD40;CDKN1A;TRADD;TNFAIP3;PIK3CD;CD3G;CD3E;ITGAL;CD3D;IKBKB;CASP8;SIN3A;IKBKG;POLK;JAK3;HLA-DPA1;JAK1;SYK;DDX58;TYK2;IRAK4;DDB2;NCOR2;CCNA2;FCER2;OAS1;PIK3CA;IRF3;OAS2;TRAF6;OAS3;TRAF5;IRF7;CD44;TLR2;HLA-DQB1;HDAC1;RELA;RELB;HLA-DMA;HLA-DMB;E2F2;HES1;CD58;STAT1;STAT2;STAT3;MAPK14;PSMC1;NEDD4;HLA-DPB1;FAS;VIM"
"6","Hematopoietic cell lineage","58/97",5.88522043672597e-11,2.4563660633245e-09,0,0,3.84795629748766,90.6424270886398,"ITGAM;CSF1;ITGB3;IL5RA;CD3G;CD3E;TNF;CD3D;ANPEP;CD37;CD36;HLA-DOA;HLA-DOB;IL6R;CD34;CD33;HLA-DPA1;IL4R;CR1;ITGA4;IL1R1;IL11RA;ITGA3;IL1R2;ITGA1;FLT3LG;FCER2;CD8B;IL3RA;ITGA6;ITGA5;MS4A1;CD44;HLA-DQB1;CSF1R;CD1E;CD1D;CD1C;HLA-DMA;HLA-DMB;THPO;CD59;CD14;HLA-DQA1;CD55;HLA-DRB5;CD2;IL6;CD4;KITLG;IL7;CD5;IL2RA;CD7;HLA-DPB1;HLA-DRA;IL7R;HLA-DRB1"
"7","Focal adhesion","99/199",6.23903882742489e-11,2.4563660633245e-09,0,0,2.56964953695297,60.3806223643055,"TNC;ACTB;MYLK;ACTG1;MYLK4;COMP;CCND1;TNN;AKT2;KDR;CAPN2;PDGFRB;PDGFRA;ACTN1;HGF;ACTN4;MYL5;COL4A2;COL4A1;COL4A6;TLN1;MYL9;VCL;SHC1;PXN;PDGFB;PIK3R3;MYL12A;MYL12B;RAP1B;PDGFD;PDGFC;VASP;JUN;CAV2;CAV1;FN1;PARVA;IGF1;PARVB;COL1A1;DIAPH1;COL1A2;PARVG;ITGA11;ITGB1;ITGB5;ITGB4;ITGB3;PTEN;ILK;PIK3CD;LAMC2;LAMC1;RAC2;ITGB7;PPP1R12A;ITGA4;VWF;ITGA3;ITGA1;RHOA;VAV2;PIK3CA;COL6A2;COL6A1;ITGA8;COL6A3;ITGA7;ITGA6;ITGA5;PPP1R12B;SOS1;MET;BIRC3;ITGA9;LAMA5;TNXB;ROCK1;LAMA2;LAMA4;LAMA3;THBS2;THBS1;EGFR;THBS3;CDC42;FLNA;FLNB;FLNC;PAK2;LAMB3;LAMB2;VEGFB;VEGFC;VEGFD;LAMB1;VEGFA;ZYX"
"8","Pathways in cancer","217/530",6.42187206097909e-11,2.4563660633245e-09,0,0,1.81150989739482,42.5138300612899,"RB1;SPI1;ARAF;CALML4;EDNRA;RASSF1;MYC;AKT2;RASSF5;IL15RA;DAPK2;DAPK3;FLT3LG;EML4;AR;AGTR1;TP53;CTBP2;EPAS1;PDGFB;MGST1;MGST2;LPAR2;PIK3R3;HIF1A;PLCG2;HMOX1;PLCG1;STAT5A;STAT5B;CREBBP;GSTM2;JUN;JAG1;FZD5;JUP;GADD45B;FZD4;GADD45A;FZD7;FZD6;FN1;IGF2;FZD8;IGF1;GNG12;GNG11;LPAR6;CDKN1A;GLI1;BRCA2;BBC3;GLI2;IKBKB;MECOM;RAC2;IKBKG;JAK2;JAK3;JAK1;EDN1;IFNGR1;IL15;IFNGR2;NCOA3;WNT9A;FOS;KIF7;RHOA;DDB2;PLCB3;RARA;PPARG;PTGER4;PTGER2;PTGER3;ADCY4;GNAI3;ADCY3;PTGS2;ADCY7;ADCY6;EGFR;RELA;GNAI2;RXRA;STAT4;CTNNA1;STAT6;IL12RB2;RUNX1T1;CDKN2B;STAT1;STAT2;STAT3;VEGFB;VEGFC;VEGFD;VEGFA;KITLG;FAS;F2RL3;IL5RA;FGF2;ETS1;FGF7;CCND1;PIM1;EP300;IL6R;IL13RA1;IFNAR2;PDGFRB;PDGFRA;IL4R;HGF;F2R;MITF;MSH6;COL4A2;COL4A1;COL4A6;IL6ST;NOTCH2;CSF1R;NOTCH3;NOTCH1;NOTCH4;CSF2RB;FOXO1;RASGRP4;BCL2L11;TPR;ABL1;DVL2;DVL3;WNT2;SMAD2;SMAD4;TGFB1;ZBTB16;PTCH2;ESR1;NFKB1;ESR2;NFKB2;NFKBIA;BMP4;FGF16;BMP2;IL6;CXCL12;SP1;CDK4;IL7;CDK2;FGF18;GNB4;IL7R;NFE2L2;FGFR1;FGF10;ITGB1;PTEN;PIK3CD;LAMC2;LAMC1;CKS1B;CASP7;CASP8;BDKRB2;BDKRB1;POLK;ITGA3;PLEKHG5;MMP2;ARNT;TRAF1;MMP9;TGFBR1;TGFBR2;PIK3CA;TRAF6;TRAF5;IL3RA;ITGA6;SOS1;MET;BIRC3;CEBPA;LAMA5;CAMK2D;RALB;ROCK1;LAMA2;HDAC1;LAMA4;LAMA3;LRP5;IL2RG;DLL1;CDC42;DLL4;GNG2;WNT11;E2F2;HES1;TCF7L2;TCF7L1;TXNRD3;LAMB3;LAMB2;LAMB1;PML;RAD51;IL2RA;IL2RB"
"9","Cytokine-cytokine receptor interaction","134/294",8.25049775582062e-11,2.80516923697901e-09,0,0,2.17854075292398,50.5817131932799,"IL1RN;CSF1;AMHR2;MPL;IL5RA;TNF;CXCL14;IL27RA;CXCL16;IL18RAP;TNFSF10;LEPR;TNFRSF8;TNFRSF4;IL6R;IL13RA1;ACVR1;IFNAR2;IL15RA;IL4R;IL1R1;IL11RA;IL1R2;LIFR;IL6ST;CSF1R;IL20RB;TNFRSF11B;CSF2RB;TNFRSF11A;THPO;TNFRSF14;CCR1;NGFR;XCR1;TGFB1;TSLP;TNFSF14;TNFSF15;TNFSF12;LIF;TNFRSF10C;TNFRSF10B;TNFRSF10A;INHBB;BMP6;TNFRSF10D;BMP5;IL22RA1;BMP4;CXCL10;BMP3;BMP2;IL6;CXCL12;IL7;TNFSF8;IL7R;BMPR1A;ACVRL1;CD40;CXCL9;EDA;IL24;CXCL3;CXCL2;EDA2R;TNFSF13B;GHR;CCR7;CCR5;CCR4;CCR2;TNFRSF12A;IL15;IFNGR1;IFNGR2;TNFRSF18;IL16;IL17RE;OSMR;TNFRSF1B;IL17RC;TGFBR1;TNFRSF1A;TGFBR2;IL3RA;XCL2;XCL1;TNFRSF25;CCL14;CCL13;CXCR6;IL2RG;IL1RL1;CCL8;CXCR3;CCL5;CCL4;CCL3;CCL2;CCL19;CCL18;CCL16;CCL15;IL12RB2;IL32;GDF10;CCL24;IL33;CCL23;CCL22;CCL21;IL10RB;GDF15;CD70;IL10RA;OSM;ACVR2A;CD4;CD40LG;CLCF1;LEP;IL2RA;IL2RB;ACKR4;FAS;ACKR3;LTBR;CCL28;IL18R1;IL17B;CCL26;CRLF2"
"10","Leukocyte transendothelial migration","63/112",3.25280349131397e-10,9.95357868342076e-09,0,0,3.32736269683771,72.6906757918365,"ITGB1;ITK;ITGAM;NCF1;NCF2;CTNND1;NCF4;ITGB2;PIK3CD;CLDN2;F11R;ITGAL;ACTB;ACTG1;ICAM1;CDH5;CLDN20;RASSF5;CLDN23;RAC2;ITGA4;ACTN1;MMP2;CYBB;RHOH;CYBA;ACTN4;MMP9;RHOA;VAV2;MYL5;CLDN5;CLDN4;PIK3CA;CLDN15;CLDN7;PECAM1;CLDN18;MYL9;VCL;RAPGEF3;ROCK1;TXK;PXN;GNAI3;PIK3R3;MYL12A;MYL12B;GNAI2;RAP1B;CDC42;PLCG2;CTNNA1;PLCG1;CD99;VASP;VCAM1;MSN;MAPK14;AFDN;CXCL12;ESAM;SIPA1"
