"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Extracellular matrix organization Homo sapiens R-HSA-1474244","158/283",5.25296886951425e-23,7.71661126931643e-20,0,0,3.31057562408223,169.834726821063,"SPARC;SERPINE1;COL12A1;ICAM2;TNC;LOXL3;ICAM3;LOXL4;PLOD3;PLOD2;F11R;FGF2;LOXL1;ICAM1;LOXL2;COMP;EFEMP2;EFEMP1;CAPN6;TNN;CAPN7;CAPN5;KDR;CAPN2;CAPN1;CAST;COL27A1;PHYKPL;ACTN1;PCOLCE;HSPG2;ADAM17;ADAM15;COL4A2;LOX;COL4A1;COL8A2;COL4A6;COL8A1;ADAM9;PPIB;CD151;COL13A1;SDC2;PDGFB;LTBP4;FBLN1;LTBP2;LTBP3;NID1;FBLN2;LTBP1;NID2;FBLN5;ADAMTS16;NCSTN;ADAMTS18;SERPINH1;A2M;ELANE;CRTAP;TGFB1;VCAM1;FN1;COL1A1;BMP4;BMP2;COL1A2;BMP1;COL5A1;P4HA2;COL5A2;ITGA11;FBN1;ITGB1;COL18A1;PTPRS;ITGAM;ITGB5;COL14A1;ITGB4;ELN;ITGB3;ITGB2;LAMC2;LAMC1;ITGAL;CTSS;ADAMTS5;MMP25;ADAMTS2;CTSL;ADAMTS1;CTSK;TIMP2;CTSG;ITGB7;TIMP1;TPSAB1;ADAMTS9;COLGALT1;MMP7;ITGA4;COL25A1;ITGA3;MMP2;ITGA1;MMP3;BGN;MMP9;DCN;ASPN;MMP12;MMP11;CEACAM1;MMP14;VCAN;ITGAD;COL6A2;COL6A1;ITGA8;PECAM1;MMP19;COL21A1;COL6A3;ITGA7;ITGA6;ITGA5;MATN4;CD44;DDR2;ITGA9;PLEC;LAMA5;COL15A1;TNXB;PCOLCE2;LAMA2;LAMA4;LAMA3;NTN4;FURIN;THBS1;LAMB3;LUM;CMA1;LAMB2;LAMB1;MFAP5;MFAP4;COL3A1;CAPN11;CAPN12;MFAP3;MFAP2;TLL1;P4HB;FMOD"
"2","Immune System Homo sapiens R-HSA-168256","600/1547",1.09371750404234e-21,8.03335506719097e-19,0,0,1.70190702519173,82.1420396662311,"ATF1;CYFIP1;NUP107;WIPF1;IGHV3-23;ARAF;C4BPB;PSMD5;AKT2;TRBC1;C3AR1;IER3;NUP214;MEF2A;GBP5;MEF2C;GBP7;WSB1;RNF125;PSME1;ORAI1;TXNIP;PSME2;NUP98;CFB;CFD;NUP205;NLRX1;CFH;CFI;PDGFB;IL20RB;BCL10;IQGAP1;MEFV;C2;C3;RNF213;C6;C7;NUP85;PRKAR2A;RNF217;PLCG2;PIP5K1A;NCKAP1L;PLCG1;ICOS;HLA-DQA1;LYN;CREBBP;HLA-DRB5;JUN;FN1;NFATC3;NFATC2;LNPEP;NFATC1;IL22RA1;MOV10;AGO4;REL;HLA-DRB1;LGMN;ITK;CDKN1A;SIGLEC9;ARPC1B;IL18BP;IFIH1;EEA1;IKBKB;MRC2;TRIM6;TRIM4;CASP10;TRIM5;MRC1;CTLA4;IKBKG;JAK2;JAK3;JAK1;HLA-DPA1;DUSP4;DUSP5;RIPK3;DUSP1;RIPK2;IFNGR1;IFNGR2;FOS;APBB1IP;SIKE1;CD200R1;HCST;RAPGEF3;HLA-DQB2;HLA-DQB1;HBEGF;RNASEL;PTAFR;PELI2;ADCY4;ADCY3;ADCY7;EGFR;ADCY6;RNF135;IGLV3-25;HLA-DMA;HLA-DMB;RICTOR;STX4;STAT6;FLNB;STX3;IL12RB2;CCL22;IL10RB;STAT1;STAT2;STAT3;PSMB8;PSMB9;SPSB1;CLCF1;PSMC1;HLA-DPB1;SIGLEC1;SIGLEC7;CRLF1;SIGLEC6;NCF1;NCF2;IRS1;PROS1;NCF4;LTN1;IL5RA;DEFB1;TNF;FGF2;IGHG3;PYCARD;FGF7;IGHG1;IGHG2;RNF19A;GRAP2;MAP3K8;HLA-DOA;TNFRSF4;HLA-DOB;MAP2K3;IFNAR2;MYLIP;TICAM2;FBXW8;CISH;FBXO17;CD180;TAP2;TAP1;TICAM1;PIAS1;CLEC4A;MAPKAPK2;IL6ST;CLEC4E;SQSTM1;BLK;CD274;CSF1R;CUL7;SHC1;UBR4;LY96;UBR2;TNFRSF11B;ITPR3;UBR1;TNFRSF11A;RASAL2;FOXO3;RASAL3;FOXO1;RAP1B;IGLV2-11;SOCS2;SOCS3;IGLV1-40;SOCS1;CLEC7A;TPR;BTLA;CD300LB;ABL1;TNFRSF14;CD300LG;KL;CD160;ZBTB16;ARPC5;NFKB1;FBXO31;NFKB2;PTPRC;IGLV2-23;TPP2;HLA-DRA;XAF1;MAP3K11;LAT;MYD88;ITGB1;CIITA;ITGAM;ITGB5;ITGB3;ITGB2;PTEN;PIK3CD;TCIRG1;ITGAL;TREM1;TNFSF13B;PSTPIP1;ITGB7;LBP;UNKL;PRKG1;NCK1;TRIM63;CR1;ITGA4;DTX3L;VWF;TNFRSF18;TNFRSF1B;TIRAP;DDOST;TNFRSF1A;PIK3CA;LCK;TRAF6;IL3RA;LCP2;TNFRSF25;SOS1;TRIM56;BIRC3;CRP;TRIM50;SEC23A;C1S;C1R;UNC93B1;NLRC5;NOD1;NOD2;IL2RG;MALT1;CDC42;ZNRF2;IFI16;HECTD3;WASF2;POLR2L;PTPN1;SEC24B;SEC24A;ANGPT1;ERAP2;ERAP1;PML;GZMM;MYO1C;FCGR2A;CLEC2B;POLR3C;IL2RA;IL2RB;PTPN6;TRIM38;PIK3AP1;SEC24D;FCGR2B;TRIM32;SEC24C;CLEC2D;TNRC6A;PTPN2;TRIM34;IFITM3;EIF4A1;IFITM1;IL1RN;IFITM2;LRR1;ICAM2;ICAM3;CBLB;IFI35;IFI30;ACTB;IL27RA;ICAM1;HERC5;LGALS3;RPS6KA3;PPP2R1B;TRIM29;CDC27;DHX58;FBXO4;TRIM25;LGALS9;TRIM21;B2M;TRIM22;DYNC2H1;IL15RA;ATP6V0E1;IL1R1;IL1R2;SLC11A1;HLA-B;FLT3LG;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;EREG;BTC;IFI27;AKAP9;BTK;IGKV4-1;TRIB3;KIF20A;TLN1;SPTBN5;TXK;PDE1A;PIK3R3;CD1D;CD1C;CD79B;CD79A;INPP5D;PCBP2;ATP6V0A2;SLAMF7;SLAMF6;CD14;ATP6V1C2;SEC31A;STAT5A;VASP;CTSA;STAT5B;EGR1;SIGLEC16;YES1;TNFSF14;TNFSF15;TNFSF12;TREX1;SIGLEC11;SH2D1A;SIAH1;SH2D1B;LIF;BST2;FBXL8;CD209;CD28;FBXL4;IGHM;CD40;SH3KBP1;IL24;CD3G;CD3E;CD3D;EDA2R;CTSS;CTSL;CTSK;FCER1A;CTSH;CD36;CD34;CD33;CTSC;CCR2;FCER1G;SYK;TNFRSF12A;IL15;IL16;KIF23;PDCD1LG2;TYK2;IL17RE;GFRA3;OSMR;GFRA2;IL17RC;VAV2;TLR1;ENAH;NCR1;RNF144B;HCK;NCR3;IGHD;TLR8;KIF2C;TLR6;TLR5;CD46;TLR4;TLR3;CD44;TLR2;C1QB;LILRA6;C1QA;SP100;WAS;DEFB124;RELA;RELB;LILRA5;IGKC;CD59;PAK2;LAIR1;CD55;MICA;MICB;IL32;MAP3K3;IL33;CD74;MAP3K1;CD70;IGKV1-5;OSM;MYO9B;LILRB1;LILRB2;DEFB132;LILRB5;KITLG;CD40LG;KIF26A;NEDD4;CFHR3;SAA1;IL18R1;SIPA1;C1QC;KLB;FCN1;FCN2;FCN3;NUP188;CD81;INPPL1;ACTG1;IL18RAP;EP300;IL6R;ZBP1;PDGFRB;PDIA3;PDGFRA;CD96;IL11RA;CD300A;HGF;CYBB;LIFR;CYBA;OSCAR;ADAM17;TYROBP;CD8B;KLRF1;CD300E;MASP2;CD300C;VCL;UBA7;KLRB1;C5AR2;C5AR1;DAPP1;CSF2RB;AGER;NUP160;RASGRP4;PLD2;SPTA1;IRAK1;IRAK2;NLRP3;RIPK1;VCAM1;NUP155;SMURF2;UBE2C;SMURF1;NUP153;KLHL20;ISG20;NFKBIA;FGF16;NR4A1;IL6;KIF18A;MAVS;IL7;FGF18;KLRD1;IL7R;FGF10;FGFR1;EDA;TNFAIP3;OASL;GHR;SPRED2;SEC61A1;CASP8;UBE2Q2;CASP4;CASP1;IGLC3;CASP2;IGLC1;LRRFIP1;IGLC2;DDX58;PPP2R5A;IRAK3;IRAK4;DNM2;FGR;ZAP70;AIM2;CREB1;OAS1;RASA3;IRF3;RASA4;OAS2;IRF4;RASA1;OAS3;IRF1;RASA2;IRF2;IRF7;MYH9;IRF8;IRF5;NUP54;MS4A2;ATP6V1B1;LTF;COLEC11;CAMK2D;ASB14;SAMHD1;USP18;ASB16;IL1RL1;MAPK7;NUP43;GBP2;GBP1;GBP4;GBP3;NOS3;TRAT1;MX2;MAPK14;CD4;TEC;TNIP2;ASB9;TEK;LTBR;ASB2;NUP37"
"3","Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215","258/620",1.14828218154147e-13,5.62275508228138e-11,0,0,1.86999012384451,55.7169899255803,"IFITM3;EIF4A1;IFITM1;IL1RN;NUP107;IFITM2;ARAF;IFI35;IFI30;IL27RA;ICAM1;HERC5;PPP2R1B;PSMD5;TRIM29;TRIM25;LGALS9;TRIM21;B2M;TRIM22;NUP214;GBP5;IL15RA;GBP7;IL1R1;IL1R2;HLA-B;FLT3LG;HLA-C;HLA-A;HLA-F;HLA-G;EREG;HLA-E;BTC;IFI27;AKAP9;PSME1;PSME2;NUP98;TLN1;NUP205;SPTBN5;PDGFB;IL20RB;PIK3R3;IQGAP1;NUP85;INPP5D;PLCG1;HLA-DQA1;LYN;STAT5A;STAT5B;EGR1;HLA-DRB5;YES1;TNFSF14;TNFSF15;TNFSF12;FN1;LIF;IL22RA1;BST2;HLA-DRB1;CD40;IL24;EDA2R;IL18BP;IKBKB;TRIM6;TRIM5;IKBKG;JAK2;JAK3;HLA-DPA1;JAK1;DUSP4;DUSP5;TNFRSF12A;SYK;DUSP1;RIPK2;IFNGR1;IL15;IFNGR2;IL16;IL17RE;TYK2;OSMR;GFRA3;IL17RC;GFRA2;APBB1IP;HCK;HLA-DQB2;CD44;HLA-DQB1;HBEGF;RNASEL;SP100;PELI2;PTAFR;EGFR;RELA;RELB;FLNB;STX4;STX3;IL12RB2;IL32;MAP3K3;IL33;IL10RB;STAT1;CD70;STAT2;STAT3;OSM;PSMB8;PSMB9;KITLG;CD40LG;PSMC1;CLCF1;NEDD4;HLA-DPB1;CRLF1;IL18R1;KLB;NUP188;IRS1;INPPL1;IL5RA;TNF;FGF2;FGF7;IL18RAP;MAP3K8;TNFRSF4;IL6R;IFNAR2;PDGFRB;PDGFRA;CISH;IL11RA;HGF;LIFR;PIAS1;ADAM17;IL6ST;SQSTM1;VCL;CSF1R;UBA7;SHC1;TNFRSF11B;CSF2RB;RASAL2;TNFRSF11A;RASAL3;NUP160;RASGRP4;SOCS2;RAP1B;SPTA1;SOCS3;SOCS1;IRAK1;IRAK2;TPR;TNFRSF14;KL;VCAM1;NUP155;NUP153;NFKB1;NFKB2;ISG20;FGF16;IL6;IL7;FGF18;HLA-DRA;XAF1;IL7R;MYD88;MAP3K11;LAT;FGFR1;FGF10;CIITA;EDA;ITGB3;PIK3CD;TNFSF13B;OASL;GHR;SPRED2;CASP1;VWF;DDX58;TNFRSF18;PPP2R5A;IRAK3;IRAK4;TNFRSF1B;TNFRSF1A;PIK3CA;OAS1;IRF3;RASA3;LCK;RASA4;OAS2;IRF4;TRAF6;IRF1;RASA1;OAS3;IL3RA;IRF2;RASA2;IRF7;IRF8;TNFRSF25;IRF5;NUP54;SOS1;BIRC3;CAMK2D;NOD1;NOD2;IL2RG;SAMHD1;USP18;IL1RL1;NUP43;GBP2;GBP1;GBP4;GBP3;PTPN1;ANGPT1;MX2;PML;CD4;TEC;TNIP2;IL2RA;IL2RB;PTPN6;TRIM38;TEK;LTBR;PTPN2;TRIM34;NUP37"
"4","Viral mRNA Translation Homo sapiens R-HSA-192823","56/84",1.932851478613e-13,5.678717644165e-11,0,0,5.17693693693694,151.552809027742,"RPL5;RPL30;RPL3;RPL32;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS18;RPL35;RPLP2;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;DNAJC3;RPL27;RPL26;RPL29;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPS3;RPL13;RPS2;RPL18;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS29;RPL27A;RPS20;RPS24;RPS23"
"5","Peptide chain elongation Homo sapiens R-HSA-156902","56/84",1.932851478613e-13,5.678717644165e-11,0,0,5.17693693693694,151.552809027742,"RPL5;RPL30;RPL3;RPL32;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS18;RPL35;RPLP2;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;EEF1A1;RPL27;RPL26;RPL29;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPS3;RPL13;RPS2;RPL18;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS29;RPL27A;RPS20;RPS24;RPS23"
"6","Interferon gamma signaling Homo sapiens R-HSA-877300","60/93",2.44063918883371e-13,5.9754982806612e-11,0,0,4.70806150214733,136.728444209134,"CIITA;IFI30;ICAM1;OASL;TRIM6;TRIM5;TRIM29;TRIM25;JAK2;B2M;TRIM21;TRIM22;HLA-DPA1;JAK1;GBP5;GBP7;IFNGR1;IFNGR2;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;PIAS1;HLA-E;OAS1;IRF3;OAS2;IRF4;IRF1;OAS3;IRF2;IRF7;IRF8;IRF5;HLA-DQB2;CD44;HLA-DQB1;SP100;CAMK2D;PTAFR;SOCS3;SOCS1;GBP2;GBP1;GBP4;HLA-DQA1;GBP3;PTPN1;HLA-DRB5;VCAM1;STAT1;PML;HLA-DPB1;HLA-DRA;PTPN6;TRIM38;PTPN2;HLA-DRB1;TRIM34"
"7","Eukaryotic Translation Elongation Homo sapiens R-HSA-156842","58/89",3.19869844796264e-13,6.68181530180995e-11,0,0,4.84367514012605,139.356710079834,"RPL5;RPL30;RPL3;RPL32;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS18;RPL35;RPLP2;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;EEF1A1;EEF1G;EEF1D;RPL27;RPL26;RPL29;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPS3;RPL13;RPS2;RPL18;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS29;RPL27A;RPS20;RPS24;RPS23"
"8","Selenocysteine synthesis Homo sapiens R-HSA-2408557","57/87",3.63883746865075e-13,6.68181530180995e-11,0,0,4.9182915840692,140.869422068822,"RPL5;RPL30;RPL3;RPL32;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS18;RPL35;RPLP2;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPL27;RPL26;RPL29;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPS3;RPL13;RPS2;RPL18;RPL17;RPL19;EEFSEC;RPL41;RPL35A;RPS25;SEPSECS;RPS29;RPL27A;RPS20;RPS24;RPS23"
"9","Formation of a pool of free 40S subunits Homo sapiens R-HSA-72689","61/96",4.22714014460996e-13,6.89963208048003e-11,0,0,4.51319850573232,128.590415287915,"RPL5;RPL30;RPL3;RPL32;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS4X;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS18;RPL35;RPLP2;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPL27;RPL26;RPL29;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPS3;RPL13;RPS2;RPL18;RPL17;RPL19;RPL41;RPL35A;RPS25;RPS29;EIF3L;RPL27A;EIF3G;RPS20;EIF3E;EIF3F;EIF3D;EIF3A;RPS24;RPS23"
"10","L13a-mediated translational silencing of Ceruloplasmin expression Homo sapiens R-HSA-156827","65/106",8.11068397269687e-13,1.08314497780834e-10,0,0,4.10661542998754,114.329914806174,"RPL5;EIF4A1;RPL30;RPL3;RPL32;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS18;RPL35;RPLP2;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPS3A;RPL27;RPL26;PABPC1;RPL29;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPS3;RPL13;RPS2;RPL18;RPL17;EIF4B;RPL19;RPL41;RPL35A;RPS25;EIF2S3;RPS29;EIF3L;RPL27A;EIF3G;RPS20;EIF3E;EIF3F;EIF3D;RPS24;EIF3A;RPS23"
