"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Calcium signaling pathway","109/188",5.01021963717391e-12,1.51809655006369e-09,0,0,2.75949367088608,71.8007597079008,"CHRM2;CHRM3;MYLK2;OXTR;CHRM1;HTR4;SLC8A1;SLC8A2;MYLK4;CYSLTR1;HTR6;CYSLTR2;HTR7;EDNRB;PLCE1;PRKACB;PRKCG;PDGFRA;LHCGR;PRKCB;PHKA1;PRKCA;ORAI2;VDAC3;VDAC2;VDAC1;PDE1C;PDE1B;CHRNA7;PDE1A;CACNA1B;ITPR1;CACNA1A;ADRB1;CACNA1C;CACNA1F;CACNA1E;CACNA1G;CACNA1I;PPP3R1;GRIN2A;HRH1;HRH2;CACNA1S;PLCG1;DRD1;DRD5;GRIN2C;GRIN2D;GNAL;GNAQ;GNAS;CALM3;CALM1;CALM2;RYR1;RYR2;HTR2C;ATP2A2;ADRA1D;HTR2A;RYR3;GRM1;PPP3CA;PPP3CB;GRM5;BDKRB2;CD38;NOS1;CAMK1D;TNNC2;TACR2;TACR1;ITPKB;PLCB4;CCKBR;ADORA2A;ADORA2B;ITPKA;PLCB1;SLC25A4;CAMK1G;SLC25A6;CAMK2B;PTAFR;CAMK2A;ADCY3;ADCY2;ADCY8;GNA15;PLN;PHKG1;ERBB4;PTK2B;CAMK2G;NOS2;ATP2B4;ATP2B3;ATP2B2;ATP2B1;GRIN1;P2RX7;SLC8A3;P2RX6;P2RX5;CAMK4;CAMK1;PLCD3;PLCD4"
"2","Axon guidance","103/181",8.70763129418422e-11,9.34900012736156e-09,0,0,2.6388281159083,61.1264378248439,"SEMA5A;EPHB6;SEMA5B;DPYSL5;DPYSL2;CFL2;CFL1;PLXNC1;EPHB2;EPHB1;EPHB3;EPHA5;SEMA6B;EPHA4;EPHA7;EPHA6;SEMA6A;UNC5A;EPHA8;UNC5B;SEMA6D;PRKCA;UNC5C;UNC5D;NGEF;SEMA7A;PIK3R3;PIK3R2;EFNA5;PRKCZ;EFNB2;PPP3R1;EFNB3;PLXNA2;ABL1;PLXNA1;PLCG1;SRGAP3;SRGAP2;LRRC4C;SRGAP1;PLXNA4;NTNG1;NTNG2;FZD3;PTCH1;L1CAM;BMP7;PTK2;NFATC4;EFNA3;CDK5;PLXNB3;BMPR1B;ROBO2;ROBO3;BMPR2;LRRC4;PIK3CB;ROBO1;PPP3CA;PPP3CB;BOC;NCK2;RAC1;HRAS;NEO1;TRPC6;TRPC3;TRPC4;DCC;TRPC1;RHOA;RGMA;ENAH;CAMK2B;SEMA3C;ROCK2;SRC;SEMA3A;SEMA3B;CAMK2A;SEMA3G;SEMA3E;GNAI1;ABLIM1;PAK1;PARD6A;ABLIM2;SLIT1;MAPK1;SLIT3;FYN;SLIT2;PAK3;CAMK2G;PAK5;MAPK3;SEMA4A;SEMA4D;LIMK1;SEMA4F;PTPN11"
"3","Glutamatergic synapse","72/114",9.25643576966491e-11,9.34900012736156e-09,0,0,3.4190203712866,78.9900275075,"GRIK5;GRIK3;GRIK4;GRIK1;GRIK2;GRM1;GLS;GRM3;PPP3CA;GRM2;PPP3CB;GRM5;GRM4;GRM7;GRM8;HOMER3;DLGAP1;GLUL;PRKACB;PRKCG;SLC38A1;PLA2G4F;PRKCB;TRPC1;PLA2G4C;PLA2G4A;PRKCA;PLCB4;PLCB1;SHANK3;SHANK1;GRIA1;GRIA2;SLC1A2;ITPR1;SLC1A3;CACNA1A;ADCY3;ADCY2;CACNA1C;SLC1A6;ADCY8;GNAI1;ADCY5;PPP3R1;GNG10;GRIN2A;GRK3;GNG3;GNG2;GNG4;GNG7;MAPK1;SLC17A7;SLC17A8;GRIA3;GRIA4;MAPK3;HOMER1;GRIN2C;GRIN2B;GNG11;GRIN2D;GRIN1;GNAO1;DLG4;GNAQ;GNB1;GNAS;GNB4;GNB3;GNB5"
"4","Adrenergic signaling in cardiomyocytes","85/145",5.01909504944689e-10,3.80196449995602e-08,0,0,2.82713488231744,60.5363120041452,"RYR2;ATP2A2;PPP2R2A;ADRA1D;SLC8A1;PPP1CB;PPP1CC;RPS6KA5;PPP2R1A;CREB3L1;AKT3;SCN5A;PRKACB;SCN1B;TPM4;TPM3;CACNA2D1;CACNA2D3;PPP2R5B;CACNA2D2;ATP1B3;PRKCA;PPP2R5D;ATP1B2;PPP2R5C;ATP1B1;CACNB1;CACNB2;CREB3;CACNB3;CACNB4;PLCB4;PLCB1;SCN4B;RAPGEF3;CREB5;RAPGEF4;MYH7;CAMK2B;CAMK2A;ATP1A4;ATP1A3;ADCY3;ADRB1;ATP1A2;ADCY2;CACNA1C;ATP1A1;CACNA1F;ADCY8;PIK3R6;GNAI1;SLC9A1;ADCY5;PPP2CA;CACNG7;PPP2CB;CACNG8;PLN;PPP2R3C;MAPK1;TNNI3;CACNA1S;CACNG1;CACNG2;CACNG3;CAMK2G;CACNG4;MAPK3;ATP2B4;ATP2B3;ATP2B2;PPP2R3A;ATP2B1;MAPK12;MAPK11;ACTC1;PPP2R2C;PPP2R2B;GNAQ;GNAS;BCL2;CALM3;CALM1;CALM2"
"5","Oxytocin signaling pathway","87/153",2.59185225130103e-09,1.4577625656962e-07,0,0,2.6301964712016,52.0013331638976,"RYR1;MYLK2;RYR2;OXTR;GUCY1B1;PRKAG2;MYL6B;ACTB;RYR3;PRKAG3;MYLK4;PPP1CB;PPP1CC;PPP3CA;RGS2;PPP3CB;CD38;PRKACB;HRAS;PRKCG;GUCY1A2;GUCY1A1;MEF2C;PLA2G4F;PPP1R12A;CAMK1D;PRKCB;CACNA2D1;PLA2G4C;CACNA2D3;CACNA2D2;PLA2G4A;PRKCA;RHOA;CACNB1;CACNB2;CACNB3;CACNB4;PLCB4;PPP1R12B;PLCB1;PPP1R12C;CAMK1G;CAMK2B;PRKAA2;ROCK2;SRC;CAMK2A;ITPR1;ADCY3;ADCY2;CACNA1C;CACNA1F;ADCY8;PIK3R6;GNAI1;ADCY5;CAMKK2;TRPM2;CACNG7;PPP3R1;CACNG8;MAPK7;MAPK1;CACNA1S;CACNG1;CACNG2;CACNG3;CAMK2G;CACNG4;KCNJ2;MAPK3;KCNJ4;KCNJ5;KCNJ6;KCNJ12;KCNJ9;KCNJ14;NFATC4;GNAO1;GNAQ;CAMK4;GNAS;CALM3;CAMK1;CALM1;CALM2"
"6","Circadian entrainment","61/97",3.1690987662794e-09,1.4577625656962e-07,0,0,3.37538835437964,66.0557377671443,"RYR1;RYR2;GUCY1B1;RYR3;RPS6KA5;PRKG2;NOS1;PRKACB;PRKG1;PRKCG;GUCY1A2;GUCY1A1;PRKCB;PRKCA;ADCYAP1;PLCB4;NOS1AP;PLCB1;GRIA1;CAMK2B;GRIA2;ADCYAP1R1;CAMK2A;ITPR1;ADCY3;ADCY2;CACNA1C;ADCY8;GNAI1;CACNA1G;ADCY5;CACNA1I;GNG10;GRIN2A;GNG3;GNG2;GNG4;GNG7;MAPK1;CAMK2G;GRIA3;GRIA4;MAPK3;KCNJ5;KCNJ6;KCNJ9;GRIN2C;GRIN2B;GNG11;GRIN2D;GRIN1;GNAO1;GNAQ;GNB1;GNAS;GNB4;GNB3;CALM3;GNB5;CALM1;CALM2"
"7","Morphine addiction","58/91",3.6842926043341e-09,1.4577625656962e-07,0,0,3.50036199713134,67.9741852260675,"GABRB3;GABRB2;GABRB1;ARRB1;PDE4B;ADORA1;PDE4A;PDE8B;PRKACB;PRKCG;SLC32A1;PRKCB;PDE4D;PDE4C;PRKCA;GABRG3;GABRG2;GABRG1;PDE1C;PDE1B;PDE1A;CACNA1B;ADCY3;CACNA1A;ADCY2;ADCY8;GNAI1;ADCY5;GNG3;GRK3;GNG10;GNG2;GRK4;GNG4;GNG7;DRD1;GABRD;GABRA2;GABRQ;KCNJ5;GABBR2;GABRA1;KCNJ6;GABBR1;KCNJ9;GABRA5;GABRA4;GABRA3;PDE2A;GNG11;GNAO1;GNB1;PDE3A;GNAS;GNB4;GNB3;PDE7B;GNB5"
"8","GABAergic synapse","57/89",3.84887806124409e-09,1.4577625656962e-07,0,0,3.54724590594952,68.7296068048117,"GABRB3;GABRB2;GABRB1;GLS;GLUL;PRKACB;NSF;PRKCG;GABARAPL2;SLC38A1;GABARAPL1;SLC32A1;PRKCB;SLC6A11;PRKCA;GABRG3;GABRG2;GABRG1;HAP1;SRC;CACNA1B;ADCY3;CACNA1A;ADCY2;CACNA1C;ADCY8;CACNA1F;GNAI1;ADCY5;TRAK2;GNG3;GNG10;GNG2;GNG4;GNG7;CACNA1S;GABRD;SLC38A5;GABRA2;GABRQ;GABBR2;GABRA1;KCNJ6;GABBR1;SLC12A5;GABRA5;PLCL1;GABRA4;GAD1;GABRA3;GAD2;GNG11;GNAO1;GNB1;GNB4;GNB3;GNB5"
"9","cAMP signaling pathway","110/212",2.5949940357744e-08,8.73647992044048e-07,0,0,2.15343293155518,37.6142208770738,"CHRM2;OXTR;VIPR2;CHRM1;HHIP;HTR4;PPP1CB;LIPE;PPP1CC;HTR6;CREB3L1;AKT3;ADORA1;PLCE1;SOX9;PRKACB;NPY1R;ATP1B3;ATP1B2;ATP1B1;TIAM1;ADCYAP1;GRIA1;GRIA2;ADCYAP1R1;PIK3R3;PIK3R2;ADRB1;CACNA1C;CACNA1F;SLC9A1;GRIN2A;RAP1A;HCAR1;CACNA1S;DRD1;DRD2;GRIA3;GRIA4;DRD5;HTR1F;PTCH1;HTR1D;HTR1B;GRIN2C;GRIN2B;GRIN2D;PPP1R1B;PDE3A;GNAS;CALM3;CALM1;CALM2;GLP1R;RYR2;ATP2A2;PIK3CB;GLI3;PDE4B;PDE4A;RAC1;AMH;VAV3;EDN1;PPP1R12A;EDN3;PDE4D;PDE4C;SSTR2;RHOA;CREB3;ADORA2A;RAPGEF3;RAPGEF4;CREB5;HCN4;CAMK2B;ROCK2;CAMK2A;ATP1A4;ADCY3;ATP1A3;ADCY2;ATP1A2;ATP1A1;ADCY8;GNAI1;ADCY5;MAPK9;PAK1;PLN;NPY;MAPK1;TNNI3;CAMK2G;MAPK3;GABBR2;GABBR1;ATP2B4;ATP2B3;ATP2B2;ATP2B1;TSHR;GRIN1;MAPK10;POMC;SST;CAMK4;VIP;HCN2"
"10","Dopaminergic synapse","74/131",5.68044539966373e-08,1.72117495609811e-06,0,0,2.58710490641425,43.1623556147639,"GSK3A;PPP2R2A;PPP1CB;PPP1CC;PPP3CA;PPP3CB;PPP2R1A;KIF5C;CREB3L1;KIF5B;KIF5A;AKT3;PRKACB;SCN1A;PRKCG;PRKCB;PPP2R5B;PRKCA;PPP2R5D;PPP2R5C;CREB3;PLCB4;PLCB1;CREB5;GRIA1;CAMK2B;GRIA2;CAMK2A;CACNA1B;ITPR1;CACNA1A;CACNA1C;GNAI1;ADCY5;PPP2CA;PPP2CB;MAPK9;GNG10;GRIN2A;GNG3;GNG2;GNG4;PPP2R3C;GNG7;DRD1;DRD2;CAMK2G;GRIA3;GRIA4;DRD5;KCNJ5;KCNJ6;KCNJ9;PPP2R3A;GRIN2B;GNG11;MAPK12;GNAO1;MAPK10;MAPK11;GNAL;CALY;PPP2R2C;PPP2R2B;GNAQ;GNB1;PPP1R1B;GNAS;GNB4;GNB3;CALM3;GNB5;CALM1;CALM2"
