"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Neuronal System Homo sapiens R-HSA-112316","200/301",9.42327589434879e-32,1.34187448735527e-28,0,0,4.00904208338844,286.404123032375,"GLS;RPS6KA6;RPS6KA2;ARL6IP5;GLUL;PRKACB;PRKCG;KCNK10;ACTN2;PRKCB;CACNA2D1;KCNK13;CACNA2D3;CACNA2D2;SLC6A11;PRKCA;GABRG3;GABRG2;SLC5A7;KCNQ2;KCNQ3;KCNQ4;KCNQ5;STX1A;STXBP1;GJC1;GNG10;GRIN2A;EPB41L1;KCNMB1;KCNMB2;TSPAN7;MYO6;KCNN1;KCNMB4;KCNN3;GRIN2C;GRIN2B;GNG11;GRIN2D;CALM1;GABRB3;ACHE;GABRB2;GABRB1;PTPRS;KCNC1;KCNC2;KCNC3;GRIK5;KCNC4;GRIK3;GRIK4;GRIK1;GRIK2;NEFL;HRAS;SLC32A1;KCND2;KCND3;SYN3;SYN2;SYN1;ARHGEF9;KCNMA1;PLCB1;VAMP2;KCNA1;KCNA2;ADCY3;KCNA4;ADCY2;KCNA5;AKAP5;ADCY8;GNAI1;CAMKK1;ADCY5;SLC17A7;GABRA2;GABRQ;GABBR2;GABRA1;GABBR1;KCNB1;GABRA5;KCNB2;GABRA4;GAD1;GABRA3;GAD2;AP2B1;GRIN1;KCNS1;KCNS2;KCNS3;CAMK4;APBA1;KCNG1;KCNG2;KCNG3;KCNG4;RAB3A;GRIP1;RIMS1;PPFIA4;PPFIA3;AP2M1;PPFIA2;KCNH1;CHRNB2;KCNH2;NSF;KCNH3;SLC38A1;KCNH4;KCNH5;KCNH6;KCNH8;CASK;GRIP2;CACNB1;CACNB2;CACNB3;CACNB4;CHRNA1;GRIA1;GRIA2;RTN3;CHRNA3;CHRNA2;CHRNA5;CHRNA7;SLC1A2;CACNA1B;SLC1A3;CACNA1A;SLC1A6;CPLX1;CACNA1E;LIN7B;GRIA3;GRIA4;KCNF1;HSPA8;SYT1;PTPRD;LRFN2;LRFN5;DLG1;LRFN4;GNAL;DLG3;DLG4;LRFN1;GNB1;GNB4;GNB3;GNB5;SNAP25;KCNK9;RASGRF2;RASGRF1;FLOT1;NPTN;ABCC8;PDPK1;KCNAB1;KCNAB2;KCNAB3;DNAJC5;HCN4;CAMK2B;CAMK2A;GNG3;CACNG8;GNG2;GNG4;GNG7;MAPK1;CACNG2;CACNG3;KCNJ1;CAMK2G;CACNG4;KCNJ2;KCNJ4;KCNJ5;KCNJ6;KCNJ10;KCNJ11;KCNJ12;KCNJ9;KCNJ14;KCNK1;KCNK2;KCNK3;HCN2;KCNK4;HCN1"
"2","Transmission across Chemical Synapses Homo sapiens R-HSA-112315","137/211",8.99035762964447e-21,6.40113463230686e-18,0,0,3.71987612612613,171.70254189969,"RAB3A;GLS;GRIP1;RIMS1;RPS6KA6;RPS6KA2;ARL6IP5;GLUL;PRKACB;PPFIA4;PPFIA3;AP2M1;PPFIA2;PRKCG;CHRNB2;NSF;SLC38A1;ACTN2;PRKCB;CACNA2D1;CACNA2D3;CACNA2D2;CASK;SLC6A11;PRKCA;GABRG3;GABRG2;GRIP2;CACNB1;SLC5A7;CACNB2;CACNB3;CACNB4;STX1A;CHRNA1;GRIA1;GRIA2;CHRNA3;CHRNA2;CHRNA5;STXBP1;CHRNA7;SLC1A2;CACNA1B;SLC1A3;CACNA1A;SLC1A6;CPLX1;CACNA1E;LIN7B;GNG10;GRIN2A;EPB41L1;TSPAN7;MYO6;GRIA3;GRIA4;HSPA8;SYT1;GRIN2C;GRIN2B;GNG11;GRIN2D;DLG1;GNAL;DLG3;DLG4;GNB1;GNB4;GNB3;GNB5;CALM1;GABRB3;ACHE;GABRB2;SNAP25;GABRB1;GRIK5;RASGRF2;RASGRF1;GRIK3;GRIK4;GRIK1;GRIK2;NPTN;NEFL;HRAS;SLC32A1;PDPK1;SYN3;SYN2;SYN1;ARHGEF9;DNAJC5;PLCB1;VAMP2;CAMK2B;CAMK2A;ADCY3;ADCY2;AKAP5;ADCY8;GNAI1;CAMKK1;ADCY5;GNG3;CACNG8;GNG2;GNG4;GNG7;MAPK1;SLC17A7;CACNG2;CACNG3;CAMK2G;CACNG4;KCNJ2;GABRA2;GABRQ;KCNJ4;GABBR2;GABRA1;KCNJ5;GABBR1;KCNJ6;KCNJ10;GABRA5;KCNJ12;KCNJ9;GABRA4;GAD1;GABRA3;GAD2;AP2B1;GRIN1;CAMK4;APBA1"
"3","Axon guidance Homo sapiens R-HSA-422475","267/515",4.13593191544596e-18,1.96318901586502e-15,0,0,2.17777779167876,87.169517485981,"EPHB6;PITPNA;ACTB;RPS6KA4;RPS6KA6;PSMD7;ALCAM;SYNGAP1;RPS6KA5;DPYSL4;DPYSL5;PPP2R1A;DPYSL2;PSMD2;RPS6KA2;DPYSL3;PSMD1;EPHB2;EPHB1;SCN1B;EPHB3;SCN1A;EPHA5;EPHA4;EPHA7;EPHA6;CSNK2A1;UNC5A;UNC5B;EPHA8;ACTN2;PAQR3;FRS2;UNC5C;ANK2;UNC5D;ANK3;FRS3;ANK1;TIAM1;KCNQ2;KCNQ3;PRKCQ;EZR;NGEF;PFN2;SPTBN4;EPHA10;PDGFB;AGAP2;PDGFA;IQGAP1;KALRN;GRIN2A;APH1B;ST8SIA4;PLCG1;PIP5K1C;SCN3B;SCN3A;SPTBN1;BRAP;ST8SIA2;GRIN2C;L1CAM;GRIN2B;PTK2;GRIN2D;COL9A1;COL9A3;GRB2;COL9A2;CALM1;SCN2A;SCN2B;RET;ROBO2;ROBO3;NRP2;NCAN;ARPC1A;CLTC;CLTB;CLTA;ROBO1;CHL1;PEA15;NEFL;RAC1;HRAS;SPTAN1;GIT1;DUSP4;VAV3;CAP1;DUSP2;RHOG;DUSP8;IL17RD;RGMB;DUSP9;GFRA2;RHOA;DUSP7;RGMA;CNKSR2;ENAH;KIT;HBEGF;PPP2CA;PPP2CB;PAK1;GPC1;PAK3;CAP2;DAB2IP;RANBP9;AP2B1;GRIN1;KITLG;PSMC3;PSMC1;AGRN;LAMTOR3;CDK5R1;SEMA5A;ARHGAP39;FGF1;FGF2;FGF8;FGF9;CFL1;NRCAM;PLXNC1;AP2M1;SH3GL2;PDGFRA;SEMA6A;SEMA6D;ADAM10;RBX1;CACNB1;CACNB2;CACNB3;CACNB4;SCN8A;COL4A3;COL4A5;PSMD10;SEMA7A;SHC3;PSMD14;CUL3;RASAL1;RASAL2;CACNA1C;EFNA5;CSF2RA;RASGRP1;CACNA1G;RASGRP3;EFNB2;SDCBP;CACNA1I;RAP1A;EFNB3;PLXNA2;ABL1;ABL2;PLXNA1;SRGAP3;CACNA1S;SRGAP2;SRGAP1;MYH10;PLXNA4;FGF22;KL;PRNP;HSPA8;CNTN6;FGF17;DLG1;EFNA3;ARPC2;CDK5;DLG3;ARPC3;PTPRA;DLG4;KIF4A;PLXNB3;NF1;CNTN1;CNTN2;FGFR3;FGFR2;FGFR1;CNTNAP1;HSP90AB1;YWHAB;RASGRF2;RASGRF1;TREM2;ARRB1;SPRED3;SPRED1;RASGEF1A;NCK2;ITGAV;SCN5A;NEO1;ACTR3;ACTR2;HSP90AA1;TRPC6;TRPC3;KSR1;VWF;TRPC4;DCC;ITGA2;TRPC1;PPP2R5B;PPP2R5D;KSR2;NRG2;PPP2R5C;SPTB;DNM1;DNM3;NRG3;RASA3;RASA4;IL3RA;DCX;SOS2;SCN4B;DOCK1;CAMK2B;ROCK2;SRC;LAMA1;SEMA3A;CAMK2A;CRMP1;SEMA3E;ABLIM1;ABLIM2;ERBB4;SLIT1;MAPK1;FYN;SLIT3;NCAM1;SLIT2;CAMK2G;CLASP1;CLASP2;MAPK3;SEMA4A;SEMA4D;MYO10;LIMK1;PTPN11;NFASC;TEK"
"4","Cardiac conduction Homo sapiens R-HSA-5576891","92/135",2.02484559871108e-16,7.20845033141143e-14,0,0,4.27971605497659,154.651254601902,"RYR1;RYR2;AHCYL1;KCNK9;ATP2A2;SLC8A1;RYR3;SLC8A2;NPPC;SLN;SCN5A;NOS1;CLIC2;SCN1B;SCN1A;KCNH2;KCNK10;KCND2;KCND3;CACNA2D1;KCNK12;TRPC1;KCNK13;CACNA2D3;CACNA2D2;ATP1B3;ATP1B2;ATP1B1;TRDN;CACNB1;CACNB2;KAT2B;CACNB3;CACNB4;ASPH;SCN8A;SCN4B;CAMK2B;KCNE4;CAMK2A;ITPR1;ATP1A4;ATP1A3;ATP1A2;CACNA1C;ATP1A1;SRI;CACNA1F;CACNG7;CACNG8;PLN;TNNI3;CACNA1S;CACNG1;SCN3B;CACNG2;SCN3A;CACNG3;CAMK2G;CACNG4;KCNJ2;KCNJ4;DMPK;KCNJ11;KCNIP1;KCNJ12;KCNIP2;KCNIP3;KCNIP4;KCNJ14;ATP2B4;ATP2B3;ATP2B2;ATP2B1;HIPK2;SLC8A3;FGF14;FXYD3;FKBP1B;FXYD7;RANGRF;FXYD6;CALM1;FGF13;SCN2A;KCNK1;FGF12;KCNK2;FGF11;KCNK3;SCN2B;KCNK4"
"5","Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314","94/142",1.69946678871707e-15,4.84008141426621e-13,0,0,3.91696253210455,133.209870828203,"GABRB3;GABRB2;GABRB1;RASGRF2;GRIK5;RASGRF1;GRIK3;GRIK4;GRIK1;GRIK2;GRIP1;RPS6KA6;RPS6KA2;NPTN;NEFL;PRKACB;HRAS;AP2M1;CHRNB2;NSF;PRKCG;ACTN2;PRKCB;PDPK1;PRKCA;GABRG3;GRIP2;GABRG2;ARHGEF9;PLCB1;CHRNA1;GRIA1;CAMK2B;GRIA2;CHRNA3;CHRNA2;CHRNA5;CHRNA7;CAMK2A;ADCY3;ADCY2;AKAP5;ADCY8;GNAI1;CAMKK1;ADCY5;GNG10;GRIN2A;GNG3;CACNG8;GNG2;EPB41L1;GNG4;GNG7;TSPAN7;MYO6;MAPK1;CACNG2;CACNG3;CAMK2G;GRIA3;CACNG4;KCNJ2;GRIA4;GABRQ;GABRA2;KCNJ4;KCNJ5;GABBR2;GABRA1;KCNJ6;GABBR1;KCNJ10;KCNJ12;KCNJ9;GABRA5;GABRA4;GABRA3;AP2B1;GRIN2C;GRIN2B;GNG11;GRIN2D;GRIN1;DLG1;GNAL;DLG3;DLG4;CAMK4;GNB1;GNB4;GNB3;GNB5;CALM1"
"6","Potassium Channels Homo sapiens R-HSA-1296071","70/99",4.36505503517427e-14,1.03597306168136e-11,0,0,4.81741215798845,148.195932984835,"KCNG1;KCNG2;KCNG3;KCNG4;KCNC1;KCNK9;KCNC2;KCNC3;KCNC4;KCNH1;KCNH2;KCNH3;KCNH4;KCNH5;KCNH6;KCNK10;KCND2;KCND3;ABCC8;KCNH8;KCNK13;KCNAB1;KCNAB2;KCNAB3;KCNQ2;KCNMA1;KCNQ3;KCNQ4;KCNQ5;HCN4;KCNA1;KCNA2;KCNA4;KCNA5;GNG10;GNG3;GNG2;GNG4;KCNMB1;GNG7;KCNMB2;KCNN1;KCNMB4;KCNN3;KCNJ1;KCNJ2;KCNJ4;KCNF1;KCNJ5;GABBR2;KCNJ6;GABBR1;KCNJ10;KCNJ11;KCNJ12;KCNJ9;KCNB1;KCNB2;KCNJ14;KCNS1;KCNS2;KCNS3;GNB1;GNB3;KCNK1;KCNK2;KCNK3;HCN2;KCNK4;HCN1"
"7","Regulation of insulin secretion Homo sapiens R-HSA-422356","56/80",2.87305630671582e-11,5.84461740109046e-09,0,0,4.64879074658255,112.840375066835,"GLP1R;KCNG2;SNAP25;CHRM3;AHCYL1;KCNC2;SLC2A1;FFAR1;PRKACB;ABCC8;CACNA2D2;PRKCA;ADRA2C;CACNB2;CACNB3;PRKAR1B;PRKAR1A;PLCB1;SLC25A4;RAPGEF3;STX1A;VAMP2;RAPGEF4;SLC25A6;STXBP1;ITPR1;CACNA1A;ARL2;IQGAP1;AKAP5;CACNA1C;ADCY8;CACNA1E;GNAI1;ADCY5;GNG3;GNA15;GNG10;GNG2;RAP1A;GNG4;PRKAR2B;GNG7;SYT5;KCNJ11;KCNB1;GNG11;MARCKS;ARL2BP;KCNS3;GNAQ;GNB1;GNAS;GNB4;GNB3;GNB5"
"8","Muscle contraction Homo sapiens R-HSA-397014","108/196",4.14987550563038e-10,6.2750177519605e-08,0,0,2.45250154841374,52.980833238755,"AHCYL1;SLC8A1;SLC8A2;NPPC;SLN;SCN1B;SCN1A;TMOD1;KCNH2;KCNK10;TPM4;ACTN2;TPM3;CACNA2D1;KCNK12;KCNK13;TMOD2;CACNA2D3;CACNA2D2;ATP1B3;ATP1B2;ATP1B1;CACNB1;CACNB2;CACNB3;CACNB4;SCN8A;KCNE4;ITPR1;CACNA1C;CACNA1F;CACNA1S;SCN3B;SCN3A;DMPK;CAV3;NEB;FGF14;FXYD3;FXYD7;FXYD6;CALM1;SCN2A;FGF13;FGF12;FGF11;SCN2B;RYR1;RYR2;TRIM72;KCNK9;LMOD1;ATP2A2;MYL6B;RYR3;SCN5A;NOS1;CLIC2;MYBPC1;KCND2;KCND3;TRPC1;TNNC2;TRDN;KAT2B;ASPH;TNNT1;SCN4B;CAMK2B;CAMK2A;ATP1A4;ATP1A3;ATP1A2;ATP1A1;SRI;CACNG7;CACNG8;PLN;TNNI3;CACNG1;CACNG2;CACNG3;CAMK2G;CACNG4;KCNJ2;KCNJ4;KCNJ11;KCNIP1;KCNJ12;KCNIP2;KCNIP3;KCNIP4;KCNJ14;ATP2B4;ATP2B3;ATP2B2;SORBS1;ATP2B1;HIPK2;SLC8A3;FKBP1B;TCAP;RANGRF;VIM;KCNK1;KCNK2;KCNK3;KCNK4"
"9","Ion homeostasis Homo sapiens R-HSA-5578775","39/51",4.22769428424429e-10,6.2750177519605e-08,0,0,6.46445160323644,139.529978619513,"RYR1;CAMK2B;RYR2;AHCYL1;CAMK2A;ATP1A4;ITPR1;ATP2A2;ATP1A3;ATP1A2;ATP1A1;SRI;RYR3;SLC8A1;SLC8A2;PLN;SLN;TNNI3;NOS1;CLIC2;CAMK2G;KCNJ11;DMPK;TRPC1;ATP2B4;ATP2B3;ATP1B3;ATP2B2;ATP1B2;ATP2B1;ATP1B1;TRDN;SLC8A3;ASPH;FXYD3;FKBP1B;FXYD7;FXYD6;CALM1"
"10","Ion channel transport Homo sapiens R-HSA-983712","111/203",4.4066135898599e-10,6.2750177519605e-08,0,0,2.41139871975554,51.9481463359154,"ATP8A2;ATP8A1;BEST3;SLC9C2;BEST1;SLN;ATP6V1E1;ATP6V1E2;ATP6V1G2;ATP1B3;ATP1B2;ATP1B1;GABRG3;GABRG2;SLC9B1;ATP6V0D1;ATP6V1A;TTYH2;TTYH1;NEDD4L;NALCN;TRPM2;ASIC4;CLCA2;ATP6V1H;ATP6V0A4;ASIC2;TRPM6;ASIC3;ATP6V1D;TRPM3;ATP6V1C1;CLCA4;ATP6V0A1;ASIC1;ATP6V1F;ATP8B2;TRPV3;TRPV6;WNK1;FXYD3;WNK2;TRPV5;FXYD7;FXYD6;CALM1;GABRB3;RYR1;GABRB2;RYR2;GABRB1;ATP2A2;RYR3;UNC80;CLIC2;TRPC6;ATP6AP1;TRPC3;TRPC4;TRPC1;ANO8;HTR3A;ANO4;ANO5;ANO2;ANO3;TRDN;ARHGEF9;ASPH;ATP6V1B2;SGK3;ATP6V0C;CAMK2B;CAMK2A;ATP1A4;ATP1A3;ATP10B;ATP1A2;ATP10A;ATP1A1;ATP2C2;SRI;ATP2C1;CLCN3;CLCN2;GLRA2;GLRA3;PLN;PDZD11;ANO10;ATP6V0E2;CAMK2G;ATP9A;GABRA2;GABRQ;GABRA1;GABRA5;GABRA4;GABRA3;ATP2B4;ATP2B3;ATP2B2;ATP2B1;CLCN4;OSTM1;GLRB;FKBP1B;ATP13A4;ATP13A5;ATP13A2;UNC79"
