"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Peroxisome","56/83",4.92985877457795e-12,8.13050410505889e-10,0,0,4.73253876714084,123.215010569983,"ABCD4;PECR;ABCD3;MPV17L;ECI2;MPV17L2;CROT;SCP2;NUDT19;DHRS4L1;MLYCD;ACAA1;ABCD1;NUDT12;GSTK1;PHYH;ACSL1;ECH1;ACSL5;PIPOX;BAAT;ACOX2;PEX3;ACOX1;PEX6;EHHADH;CAT;AGPS;ACOX3;PEX11G;AGXT;SLC27A2;PAOX;MVK;PEX11A;HSD17B4;HMGCL;PMVK;HAO1;HACL1;DECR2;HAO2;XDH;PEX19;IDH1;EPHX2;SOD2;PEX13;PEX14;DHRS4;SOD1;NUDT7;DAO;AMACR;PXMP2;CRAT"
"2","Valine, leucine and isoleucine degradation","38/48",5.27954812016811e-12,8.13050410505889e-10,0,0,8.65565960243141,224.763076153248,"ECHS1;ACAA2;HIBADH;ABAT;HSD17B10;ACAT2;ACAT1;HMGCL;MCEE;ALDH1B1;ALDH2;DBT;AOX1;HMGCS2;ACADM;MMUT;HADH;ACAA1;ACADS;HIBCH;BCKDHA;ACAD8;MCCC2;HMGCS1;AGXT2;BCKDHB;MCCC1;ACADSB;ACSF3;ALDH3A2;HADHA;ALDH6A1;PCCA;IVD;EHHADH;PCCB;BCAT2;ALDH9A1"
"3","Complement and coagulation cascades","52/79",1.16401340657686e-10,1.19505376408557e-08,0,0,4.39160583273872,100.453491087889,"SERPINA1;PROS1;SERPINE1;C4BPA;C4BPB;C8B;C8A;SERPINA5;C4B;C8G;MBL2;FGB;FGA;CR1;FGG;F2R;SERPINF2;F2;F5;F7;F9;SERPING1;MASP2;MASP1;CD46;CFB;CPB2;CFH;C1S;C1R;SERPINC1;CFI;C5AR1;PLG;TFPI;KNG1;C2;C3;VTN;C5;C6;C7;C9;A2M;F10;SERPIND1;F12;F11;PROC;F13B;KLKB1;F2RL2"
"4","Fatty acid degradation","34/44",2.34237021808867e-10,1.80362506792828e-08,0,0,7.73945164997537,171.619922529706,"GCDH;ACADVL;ECHS1;ACAA2;ADH1C;ADH1B;ECI1;ADH1A;CYP4A22;ECI2;ACAT2;ADH5;ACAT1;ADH6;ADH4;ACADL;ALDH1B1;CPT2;ALDH2;ACADM;HADH;ACAA1;ACADS;ACSL1;CYP4A11;ACSL5;CPT1B;ACADSB;ALDH3A2;HADHA;ACOX1;EHHADH;ACOX3;ALDH9A1"
"5","Tryptophan metabolism","32/42",1.5031985329753e-09,9.25970296312786e-08,0,0,7.28179878549155,147.934625820209,"GCDH;DDC;ECHS1;MAOB;MAOA;HAAO;DLST;ACAT2;DHTKD1;ACMSD;ACAT1;TDO2;ALDH1B1;ALDH2;KYNU;AFMID;AOX1;HADH;AOC1;AADAT;KMO;INMT;ALDH3A2;HADHA;EHHADH;CAT;CYP1A2;CYP1A1;ALDH8A1;IDO2;ALDH9A1;IDO1"
"6","Drug metabolism","61/108",2.11075341046399e-08,1.08352008403818e-06,0,0,2.95959411665637,52.3067885147456,"CDA;TPMT;DPYS;CYP2D7;AOX1;UGT2A3;TK2;GUSB;UGT2B10;GSTK1;UGT1A1;GSTO1;UGT2B15;UGT2B17;NME4;UPB1;ALDH3A1;CYP2A6;NME6;DPYD;CMPK1;UGT2B4;CYP2E1;UMPS;CES2;UGT2B7;CES1;MAOB;ADH1C;MAOA;ADH1B;ADH1A;MGST1;MGST2;CYP2C19;CYP3A4;CYP3A5;ADH5;ADH6;TYMP;ADH4;CYP2B6;UGT1A4;GSTT2B;XDH;RRM2;FMO1;FMO3;FMO4;FMO5;UCKL1;CYP2C9;CYP2C8;UCK2;UCK1;NAT1;NAT2;GSTA2;IMPDH2;CYP1A2;GSTA1"
"7","NF-kappa B signaling pathway","55/95",3.21940859535065e-08,1.41653978195428e-06,0,0,3.13395799011532,54.0654232001193,"CD40;CXCL8;TRADD;TNFAIP3;CXCL2;TNF;TNFSF13B;ICAM1;IKBKB;PIDD1;BLNK;TRIM25;TNFSF11;LBP;IKBKG;CARD10;TICAM2;IL1R1;DDX58;IRAK4;TRAF1;TICAM1;TIRAP;TNFRSF1A;ZAP70;LCK;TRAF6;LTB;CARD11;BIRC2;BIRC3;BCL2A1;PTGS2;RELA;MALT1;CCL4;PLCG2;RIPK1;CD14;CCL19;LYN;VCAM1;CCL21;GADD45B;TNFSF14;CFLAR;NFKB1;NFKB2;NFKBIA;CXCL12;CD40LG;TAB3;LTBR;LAT;MYD88"
"8","Retinol metabolism","42/67",5.90739716857725e-08,2.03500472966863e-06,0,0,3.82508630609896,63.666555004885,"RETSAT;ADH1C;ADH1B;ADH1A;CYP4A22;HSD17B6;CYP3A4;CYP3A5;CYP2C18;ADH5;CYP3A7;ADH6;ADH4;CYP2B6;RDH10;RDH16;AOX1;UGT2A3;UGT1A4;LRAT;DHRS4L1;DHRS4L2;UGT2B10;UGT1A1;DGAT1;CYP4A11;UGT2B15;UGT2B17;DHRS3;DHRS4;CYP26A1;CYP2C9;CYP2A6;CYP27C1;CYP2C8;ALDH1A2;ALDH1A1;CYP1A2;CYP1A1;RDH5;UGT2B4;UGT2B7"
"9","Glycine, serine and threonine metabolism","29/40",5.94644239188884e-08,2.03500472966863e-06,0,0,5.99582438558816,99.7578523199588,"DMGDH;ALAS2;ALAS1;MAOB;GLDC;MAOA;SHMT2;SHMT1;SDSL;CBS;PHGDH;GAMT;AOC3;SDS;AOC2;AGXT2;GLYCTK;CBSL;AMT;PIPOX;GCAT;GRHPR;GATM;BHMT;DAO;CTH;CHDH;SARDH;AGXT"
"10","Chemical carcinogenesis","47/82",4.76201048515776e-07,1.46669922942859e-05,0,0,3.05777276359705,44.5132998167797,"ADH1C;ADH1B;ADH1A;MGST1;MGST2;CYP3A4;CYP2C19;PTGS2;CYP3A5;CYP2C18;ADH5;CYP3A7;ADH6;HSD11B1;SULT1A1;ADH4;CYP2A13;UGT2A3;UGT1A4;GSTT2B;SULT1A4;SULT1A3;SULT2A1;SULT1A2;UGT2B10;GSTK1;UGT1A1;GSTO1;CYP3A43;UGT2B15;EPHX1;UGT2B17;ARNT;AKR1C2;ALDH3A1;CYP2C9;CYP2A6;CYP2C8;NAT1;NAT2;GSTA2;CYP1A2;GSTA1;CYP1A1;UGT2B4;CYP2E1;UGT2B7"
