"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"1","Metabolism Homo sapiens R-HSA-1430728","822/1908",8.4243621951833e-34,1.23079931671628e-30,0,0,1.82539540320657,139.016209470113,"NUP107;LIPF;PSMD9;AS3MT;NSDHL;LIPC;SCP2;TDO2;PSMD5;PSMD3;LIPG;AKT1;LRAT;MLYCD;XYLB;GSTK1;PRKAB2;STARD5;PHKA2;UPB1;HSPG2;SLC5A6;RBP4;SLC5A9;SCO1;MTHFD1;ETHE1;PSME4;PSME1;PSME2;CYP2E1;IDO2;HPD;IDO1;HS3ST3A1;SAR1B;SHMT2;ABCB7;SHMT1;ABCB4;SLC5A1;PLA2G6;MTMR4;AAAS;SLC5A3;SULT1A1;HSD11B1;CYP2B6;AGMO;PRKAR2A;AFMID;PIP5K1A;HAO1;PPARGC1A;HAO2;SULT1A3;SULT1A2;ABCA1;CREBBP;GLYATL1;CYP4F2;CYP4F3;SULT1B1;CYP2C9;CYP2C8;UCK2;BHMT;UCK1;FASN;CYB5RL;DPYS;MTMR14;RPLP1;RPLP0;QPRT;MED16;MED18;SULT1C2;MED11;MED14;MED13;SMPD4;SMPD1;CHST9;LYPLA1;SPHK2;GSTO1;ELOVL5;ARG1;BGN;ELOVL6;PTGR1;MED26;SUMF2;MED23;PSMA5;PSMA3;PSMA4;BDH1;CYP21A2;PSMA2;DPYD;AGPS;MED20;PPARG;PPARA;FH;ECHS1;IDUA;ODC1;DLST;ABCB11;PTGS2;SULT1E1;PSMB1;HAS3;CEPT1;GC;PKLR;GK;MDH2;AADAT;BBOX1;PSMB8;PSMB9;FABP1;PSMC6;FABP4;AADAC;ETNK2;CRAT;PECR;ALDH1L1;RORA;HNMT;SAT1;UROD;OSBP;NUDT19;NUDT13;NUDT12;UGT2B10;DGAT2;PCYT2;DGAT1;UGT2B15;ADIPOQ;UGT2B17;PIPOX;MINPP1;MAPKAPK2;SLC27A2;SLC27A5;PFKFB1;CYP2C19;CYP2C18;ACAT1;SLCO1B1;AMDHD1;PMVK;SLCO1B3;THEM4;HACL1;NADK;IP6K2;SRD5A2;AGXT2;SRD5A1;GOT2;MLXIPL;UQCRQ;SP1;SLC25A1;ALAS2;ALAS1;PTEN;ETFA;ETFB;PIK3CG;ALAD;SPR;ACP5;PGM2;PGLS;PGM1;CERS4;SLC25A16;CYP2A7;SLC25A15;CYP2A6;PCCA;PCCB;UGT2B4;SLC25A10;AGXT;FXN;UGT2B7;BCAT2;CERS2;SLC25A13;LRP1;HSD17B14;HSD17B11;HSD17B10;PHKG2;D2HGDH;PCBD1;SLC25A20;CYB5A;SEC24B;SEC24A;MMAA;MMAB;MBOAT1;AKR7L;DHODH;GSTZ1;SLC25A37;PC;UROC1;NT5C1B;SLC25A32;NAGS;P4HB;SEC24D;SEC24C;DMGDH;SLC23A1;ECI1;ECI2;MT1X;CCNC;ZDHHC8;NUDT5;NUBP1;NUBP2;MT2A;HYKK;CPNE1;ACAD11;ACAD10;ARSA;PHYKPL;CTRB1;TALDO1;GCAT;CYP39A1;MT1A;BTD;PPP1R3C;MT1F;MT1G;MT1H;TRIB3;MT1B;CES2;MMADHC;MT1E;CES1;CETP;GCDH;SDC4;SDC2;PEX11A;PIK3R5;NEU3;BRIP1;NEU4;APOM;PPCS;ARSJ;APOF;APOE;APOB;DECR2;PCK1;A2M;ARSD;DECR1;PCK2;SURF1;SLC10A1;ADHFE1;PAICS;EXT1;AIMP2;CYP26A1;ACER1;ALDH6A1;RPL27A;SDC1;PEMT;CTRC;LDHAL6B;ACY3;HIBADH;ACY1;MOGAT3;MOGAT2;MOGAT1;CROT;KHK;ACADL;SPTLC3;HYAL1;HYAL2;MLX;PHGDH;CD36;ACADM;ACADS;AASS;ACAD8;VKORC1;SREBF1;NCOA2;GAA;NCOA3;ACAD9;AKR1A1;HBA1;APRT;CD44;YAP1;AHCY;AKR1D1;HSD17B3;HSD17B4;HSD17B7;CYP17A1;RXRA;CYP2A13;XDH;GPC6;PNPLA7;GCH1;GCGR;AKR1C1;AKR1C3;AKR1C2;AKR1C4;CYP8B1;GCK;ALDH4A1;NUDT7;GPAM;PNPLA3;PNPLA2;OTC;SCARB1;NUP188;GDA;TACO1;INPPL1;GXYLT1;CPOX;MSMO1;AKR7A3;PPIP5K2;ENPP1;GGT1;ACAA1;ENPP7;G6PC;ACOT12;ACOT13;SDHD;MAT1A;SDHA;KMO;SDHB;GPD1;DPEP1;COX19;PSMD12;NNMT;COX18;GLYAT;PLD1;ACACB;NUP160;EBP;NDUFV2;COX10;FGF21;EEFSEC;FDPS;GCKR;GGT6;NUP153;GCLC;BMP1;NAT1;CPS1;NAT2;GCLM;GALK1;PNLIPRP1;TAT;TREH;CYP4A22;ACSM2A;TAZ;ACSM2B;CA1;CPT2;NUP62;CA9;BCKDHA;HS3ST3B1;PLA2G4B;CYP4A11;CAD;BCKDHB;ABHD14B;ACOX2;ACOX1;CHDH;CPTP;CAT;BLVRB;MVD;ACOX3;FBP1;FBP2;PAOX;GALT;MVK;PLA2G1B;AGPAT2;HMGCL;GNG5;CBS;POLD1;NUP43;HSD3B7;RRM2;HSD3B2;PLA2G2A;SUOX;GALE;GLB1;SARDH;CHPT1;MBTPS2;CDA;PI4K2B;PRSS1;RPL3;GLDC;RPL8;ENO3;NAMPT;FDXR;RPL36;RPL35;RPL39;SULT2A1;GAMT;NUP214;ACOT9;NUP210;GLCE;RPL23;MED8;CEL;MTAP;HMBS;FDX1;ACOT2;ACOT1;NUP98;ADPRM;RPL29;ACOT6;RPL28;ACOT4;LIPT2;POM121;RPS4Y1;ADH5;ADH6;ACMSD;ADH4;NUP85;PLCG2;SLC19A3;PNPO;HMOX1;ST3GAL6;NUP88;CHST13;CHST14;ST3GAL1;SLC19A1;SLC19A2;RPL41;CHKB;CHKA;MTHFR;MTHFS;GLUD1;GLUD2;ADI1;PAH;CYP1A2;CYP1A1;MOCS3;ADK;GPT;PYGL;CSAD;PFAS;MCEE;IMPA1;IMPA2;TK2;LDLRAP1;TEAD3;NDC1;BAAT;GCHFR;HADHA;ITPKC;PLCB3;IVD;PLIN2;PLIN1;ANGPTL4;GART;MOCS1;ASAH2;RPL10;RPL12;RPL11;SGMS2;ADCY6;PAPSS2;RPS15A;RPS3;RPL13;SC5D;RPS2;RPL18;LDLR;RPL17;AOC3;BCHE;AOC1;AOC2;GLYCTK;GSS;AGL;MOCOS;GSR;NR1H4;G0S2;FMO1;FMO3;AGT;AGMAT;GATM;LPCAT3;FMOD;TPMT;CHPF;RPL10A;TM7SF2;NAGLU;MPC1;IYD;MPC2;CHP1;GYG2;RPS9;RPS7;RPS8;GPT2;RPS5;DIO1;IPMK;PGD;SLC26A1;ABHD4;FECH;INSIG2;ABHD3;INSIG1;AK2;ITPR2;MRI1;AK4;HMMR;ABHD5;CYP4F22;ESRRA;DHCR24;CYP4F11;CYP4F12;ALB;DHCR7;ADPGK;PIK3C2G;FTCD;RPL7A;HMGCS2;SLC37A4;LBR;GPX2;AMN;GPX1;HMGCS1;UGT1A1;GPX4;CHPF2;APOA2;FAAH2;SORD;AMT;RPL13A;APOA1;APOA4;APOA5;COASY;INMT;TST;ASPG;ALDH9A1;HDAC3;ACSS2;GLS2;GLRX;CYP3A4;CYP3A5;BPHL;LMF2;CYP3A7;TTR;UGT1A4;BCO2;APOC3;ASS1;BCKDK;APOC2;CTH;IMPDH2;CDO1;MMACHC;SLC35B3;SLC46A1;FAAH;PANK3;PANK1;ACSM1;ACSM5;GBA3;NADSYN1;RPS14;RPS17;PNP;RPS16;RPS19;RPL18A;PPP2R1B;FLAD1;RPS18;PDK4;CHAC2;RPS10;RPS12;MCCC2;ACSL1;MCCC1;ACSL5;CMBL;CPT1B;CYP27A1;POR;MTHFD2L;SUCLG2;SUCLG1;SLC22A3;SLC35D1;MAOB;MAOA;SLC35D2;SLC22A1;MTTP;MGST1;MGST2;TXN;LIAS;HELZ2;INPP5B;UGCG;CYP27B1;SGPL1;INPP5E;SCAP;ASL;GSTT2B;GNG12;ACADSB;DERA;RPS26;RPS28;HAL;AKR1B10;RPS29;AKR1B15;RPS20;SLC44A4;GBE1;STAB2;HBB;PPCDC;GYS2;NNT;BHMT2;NME4;CYP7B1;UGDH;B3GNT3;ALDOB;UMPS;DTYMK;ADH1C;ADH1B;ADH1A;HDC;HAAO;GDPD3;CYP7A1;PTS;TYMP;ARNTL;NT5C;NFYC;GRHL1;FAH;CYP2W1;PDP2;GSTA2;GSTA1;NDUFA11;FOLH1B;COMT;CNDP2;FPGS;HADH;CA13;ABCG8;PHYH;ABCG5;HGD;DCTD;ALDH3A2;ALDH3A1;CMPK1;LPA;IDI1;ALOX12;ADIPOR2;NPC1L1;CYP2J2;IDH1;EPHX2;EPHX1;CRLS1;ACSF3;ACSF2;COQ5;SEPSECS;GRHPR;COQ2;AMACR;DAO;CRYL1;MAN2B1;ABCD4;B4GALT3;ACADVL;B4GALT1;SLC2A2;DBH;OPLAH;DHTKD1;SGSH;HK3;ALDH2;CA5A;NAPRT;CYP4V2;KYNU;CYP2R1;DBT;AOX1;MAN2C1;GUSB;ABCD1;HIBCH;ABCC3;DCXR;CYP3A43;CTPS1;LSS;EHHADH;ALDH1A1;HAGH;B4GALT7;B4GALT4;DDC;HPGD;ETFDH;LCAT;UGP2;ALDH1B1;PDSS2;LUM;SCLY;LPIN2;LPIN3"
"2","Biological oxidations Homo sapiens R-HSA-211859","123/199",7.79981968821662e-20,5.69776828224224e-17,0,0,3.72085839807783,163.708844081591,"SLC35B3;TPMT;ACSM1;ACSM5;COMT;CNDP2;AS3MT;AKR7A3;FDXR;CHAC2;GGT1;SULT2A1;UGT2B10;GSTK1;UGT2B15;UGT2B17;CMBL;MAT1A;CYP39A1;CYP27A1;ALDH3A1;POR;FDX1;DPEP1;CYP2E1;CES2;CES1;SLC26A1;NNMT;SLC35D1;MAOB;MAOA;MGST1;MGST2;GLYAT;CYP4F22;CYP2C19;CYP2C18;ADH5;ADH6;SULT1A1;ADH4;CYP27B1;CYP2B6;GSTT2B;SULT1A3;SULT1A2;CYP2J2;GLYATL1;GGT6;CYP4F2;CYP4F3;EPHX1;CYP4F11;CYP4F12;CYP2C9;SULT1B1;CYP26A1;CYP2C8;GCLC;NAT1;NAT2;CYP1A2;CYP1A1;GCLM;ACY3;ACY1;CYP4A22;ACSM2A;OPLAH;ACSM2B;SULT1C2;ALDH2;CYP4V2;CYP2R1;NCOA2;UGT1A1;GSTO1;CYP3A43;CYP4A11;AKR1A1;ABHD14B;CYP7B1;UGDH;CYP2A7;CYP2A6;CYP21A2;ALDH1A1;UGT2B4;UGT2B7;PAOX;AHCY;ACSS2;ADH1C;ADH1B;ADH1A;CYP3A4;CYP7A1;CYP3A5;BPHL;PAPSS2;CYP17A1;CYP3A7;RXRA;UGP2;SULT1E1;CYP2A13;ALDH1B1;UGT1A4;AOC3;AOC1;AOC2;GSS;NR1H4;FMO1;AKR7L;FMO3;CYP8B1;GSTZ1;CYP2W1;AADAC;GSTA2;GSTA1"
"3","Phase 1 - Functionalization of compounds Homo sapiens R-HSA-211945","66/92",5.16890306586635e-16,2.51725579307691e-13,0,0,5.80213795117244,204.227718874149,"CYP4A22;ALDH2;CYP4V2;CYP2R1;FDXR;NCOA2;CYP3A43;CYP4A11;CMBL;CYP7B1;CYP39A1;CYP27A1;CYP2A7;ALDH3A1;POR;CYP2A6;CYP21A2;FDX1;ALDH1A1;CYP2E1;CES2;PAOX;CES1;ACSS2;MAOB;ADH1C;MAOA;ADH1B;ADH1A;CYP3A4;CYP4F22;CYP2C19;CYP7A1;CYP3A5;BPHL;CYP2C18;ADH5;CYP3A7;ADH6;CYP17A1;ADH4;CYP27B1;RXRA;CYP2B6;ALDH1B1;CYP2A13;AOC3;CYP2J2;AOC1;AOC2;CYP4F2;EPHX1;CYP4F3;NR1H4;FMO1;FMO3;CYP4F11;CYP8B1;CYP4F12;CYP26A1;CYP2C9;CYP2C8;CYP2W1;AADAC;CYP1A2;CYP1A1"
"4","Metabolism of lipids and lipoproteins Homo sapiens R-HSA-556833","298/659",8.37572224852645e-16,3.05923255127429e-13,0,0,1.91446732590239,66.4626939688148,"DMGDH;PI4K2B;FAAH;ECI1;ECI2;CCNC;ZDHHC8;GBA3;LIPF;NSDHL;LIPC;SCP2;LIPG;FDXR;CPNE1;MLYCD;ACAD11;ACAD10;SULT2A1;ACOT9;ARSA;PRKAB2;STARD5;ACSL1;MED8;ACSL5;CEL;HSPG2;CPT1B;CYP39A1;CYP27A1;FDX1;ACOT2;ACOT1;TRIB3;ACOT6;ACOT4;CETP;SAR1B;ABCB4;PEX11A;MTTP;MTMR4;PLA2G6;PIK3R5;HSD11B1;HELZ2;NEU3;UGCG;NEU4;SGPL1;AGMO;ARSJ;INPP5E;APOF;PIP5K1A;SCAP;APOE;A2M;APOB;DECR2;ARSD;PPARGC1A;HAO2;DECR1;ABCA1;CREBBP;CHKB;CHKA;SLC10A1;CYP4F2;CYP4F3;CYP2C9;ACER1;CYP2C8;BHMT;FASN;AKR1B15;CYP1A2;CYP1A1;SDC1;PEMT;SLC44A4;MOGAT3;MOGAT2;MTMR14;MOGAT1;CROT;MED16;MED18;MED11;MED14;MCEE;MED13;SMPD4;ACADL;SPTLC3;SMPD1;CD36;ACADM;LDLRAP1;ACADS;TEAD3;NCOA2;SREBF1;SPHK2;ELOVL5;NCOA3;ELOVL6;PTGR1;BAAT;CYP7B1;MED26;SUMF2;MED23;HADHA;BDH1;CYP21A2;AGPS;MED20;PPARG;PLIN2;PLIN1;ANGPTL4;PPARA;YAP1;ASAH2;ECHS1;AKR1D1;HSD17B3;HSD17B4;GDPD3;SGMS2;ABCB11;PTGS2;HSD17B7;CYP7A1;ARNTL;CYP17A1;RXRA;SC5D;CEPT1;LDLR;BCHE;GK;PNPLA7;NFYC;AKR1C1;NR1H4;AKR1C3;G0S2;AKR1C2;AKR1C4;GRHL1;CYP8B1;AGT;FABP1;NUDT7;FABP4;GPAM;ETNK2;LPCAT3;PNPLA3;CRAT;PNPLA2;PECR;SCARB1;INPPL1;RORA;MSMO1;TM7SF2;OSBP;NUDT19;HADH;GGT1;ACAA1;ENPP7;ABCG8;PHYH;ABCG5;DGAT2;PCYT2;DGAT1;ACOT12;ACOT13;ALDH3A2;MAPKAPK2;GPD1;DPEP1;LPA;SLC27A2;SLC27A5;IDI1;ABHD4;ABHD3;INSIG2;INSIG1;ALOX12;ABHD5;CYP2C19;CYP4F22;PLD1;ACACB;ACAT1;SLCO1B1;EBP;NPC1L1;PMVK;SLCO1B3;THEM4;HACL1;ESRRA;CYP2J2;FDPS;SRD5A2;SRD5A1;IDH1;EPHX2;DHCR24;CYP4F11;CRLS1;ACSF3;ACSF2;COQ5;COQ2;AMACR;BMP1;SP1;ALB;DHCR7;SLC25A1;PNLIPRP1;ACADVL;ALAS1;CYP4A22;PTEN;PIK3C2G;TAZ;PIK3CG;CPT2;HMGCS2;LBR;ABCD1;ABCC3;CERS4;GPX2;AMN;GPX1;GPX4;HMGCS1;PLA2G4B;CYP4A11;APOA2;FAAH2;APOA1;APOA4;APOA5;LSS;PCCA;ACOX2;ACOX1;EHHADH;CHDH;CPTP;PCCB;MVD;ACOX3;CERS2;HDAC3;MVK;HPGD;PLA2G1B;HSD17B14;LCAT;HSD17B11;AGPAT2;LMF2;HMGCL;PDSS2;SLC25A20;HSD3B7;SEC24B;SEC24A;MMAA;HSD3B2;PLA2G2A;MBOAT1;APOC3;GLB1;APOC2;SARDH;CHPT1;P4HB;SEC24D;SEC24C;LPIN2;LPIN3;MBTPS2"
"5","Metabolism of amino acids and derivatives Homo sapiens R-HSA-71291","166/335",2.36780470671489e-13,6.9187253530209e-11,0,0,2.25922104796981,65.6792676903996,"RPL3;GLDC;FOLH1B;RPL8;HNMT;RPL10A;SAT1;CNDP2;PSMD9;RPS14;RPS17;RPS16;HYKK;TDO2;RPS19;RPL18A;PSMD5;RPS18;IYD;PSMD3;RPL36;RPL35;RPL39;RPS10;RPS12;GAMT;MCCC2;RPS9;RPS7;HGD;PHYKPL;RPS8;RPL23;GPT2;RPS5;MCCC1;DIO1;PIPOX;MAT1A;KMO;GCAT;MTAP;ETHE1;PSME4;PSME1;PSME2;RPL29;IDO2;RPL28;HPD;IDO1;LIPT2;GCDH;PSMD12;NNMT;SHMT1;MRI1;RPS4Y1;LIAS;ACMSD;ACAT1;AMDHD1;AFMID;ASL;HAO1;EEFSEC;RPL41;AGXT2;GOT2;ACADSB;RPS26;AIMP2;GLUD1;SEPSECS;GRHPR;RPS28;GLUD2;ALDH6A1;HAL;BHMT;GCLC;DAO;CPS1;RPS29;ADI1;RPL27A;PAH;RPS20;GCLM;HIBADH;RPLP1;TAT;RPLP0;GPT;DBH;CSAD;FTCD;DHTKD1;RPL7A;KYNU;DBT;PHGDH;AASS;HIBCH;ACAD8;BCKDHA;ARG1;BHMT2;BCKDHB;AMT;RPL13A;INMT;PSMA5;SLC25A15;PSMA3;PSMA4;TST;PSMA2;IVD;ASPG;SLC25A10;AGXT;BCAT2;PAOX;ALDH9A1;DDC;AHCY;RPL10;GLS2;RPL12;HDC;HAAO;RPL11;ODC1;DLST;HSD17B10;PAPSS2;RPS15A;CBS;PSMB1;RPS3;RPL13;PCBD1;RPS2;RPL18;RPL17;AADAT;GSR;BBOX1;FAH;SUOX;PSMB8;ASS1;PSMB9;AGMAT;ALDH4A1;GSTZ1;BCKDK;GATM;PSMC6;UROC1;CTH;SCLY;NAGS;CDO1;OTC"
"6","Metabolism of vitamins and cofactors Homo sapiens R-HSA-196854","83/148",1.05520019834602e-10,2.56941248297256e-08,0,0,2.91862093550276,67.0469115893875,"ABCD4;PRSS1;ALDH1L1;SLC46A1;PANK3;MOCS3;PANK1;SLC23A1;QPRT;NADSYN1;PPCDC;FLAD1;NAPRT;FPGS;NAMPT;CYP2R1;ENPP1;AOX1;ACP5;LRAT;NUDT12;MCCC2;VKORC1;AMN;GSTO1;MCCC1;CTRB1;APOA2;APOA1;APOA4;HSPG2;COASY;SLC5A6;SLC25A16;RBP4;BTD;MTHFD1;PCCA;MTHFD2L;PCCB;MOCS1;MMADHC;SDC4;LRP1;SHMT2;SDC2;SHMT1;PTGS2;ACACB;CYP27B1;APOM;TTR;PPCS;SLC19A3;PNPO;APOE;BCO2;APOB;GC;GPC6;LDLR;SLC19A1;NADK;SLC19A2;CYB5A;MMAA;MMAB;AKR1C1;MOCOS;AKR1C3;MTHFR;APOC3;MTHFS;AKR1C4;CYP8B1;AKR1B10;PC;FASN;APOC2;SDC1;SLC25A32;CTRC;MMACHC"
"7","Complement cascade Homo sapiens R-HSA-166658","52/80",2.33614431305103e-10,4.87586691623937e-08,0,0,4.23445696407989,93.9090302948969,"FCN1;FCN2;FCN3;PROS1;IGHV3-23;C4BPA;C4BPB;C8B;C8A;IGLV8-61;C4B;IGHG3;IGHG4;IGHG1;C8G;IGHG2;IGLC3;IGLC1;IGLC2;MBL2;CR1;IGLV4-69;IGKV4-1;MASP2;MASP1;CD46;CFB;CRP;COLEC11;COLEC10;CFH;C1S;C1R;C5AR2;CFI;C5AR1;C2;C3;IGLV2-11;VTN;IGLV3-25;C5;IGLV1-40;C6;IGKC;C7;C9;IGLV1-44;IGKV1-5;GZMM;IGLV2-23;CFHR3"
"8","Binding and Uptake of Ligands by Scavenger Receptors Homo sapiens R-HSA-2173782","47/74",5.24072914658121e-09,9.44567053934688e-07,0,0,3.9660707103945,75.6202976373113,"SCARB1;COLEC11;LRP1;IGHV3-23;HP;STAB2;HBB;HPR;IGLV8-61;HSP90B1;IGLV2-11;HPX;IGLV3-25;IGLV1-40;IGKC;STAB1;IGLV1-44;IGLC3;IGLC1;CD36;IGLC2;APOE;APOL1;IGHA1;APOB;SCARF1;IGHA2;CD163;SCARA5;AMBP;IGKV1-5;APOA1;HBA1;IGLV4-69;COL1A1;MARCO;COL3A1;COL1A2;COL4A2;COL4A1;IGLV2-23;ALB;IGKV4-1;SAA1;MASP1;CALR;FTL"
"9","Lipoprotein metabolism Homo sapiens R-HSA-174824","27/34",6.01511984011145e-09,9.44567053934688e-07,0,0,8.7718689968608,166.04261669989,"CETP;SCARB1;SAR1B;MTTP;LCAT;ZDHHC8;LIPC;APOF;APOE;LDLRAP1;A2M;APOB;LDLR;ABCA1;AMN;APOA2;APOC3;APOA1;APOA4;APOA5;HSPG2;BMP1;APOC2;ALB;SDC1;P4HB;LPA"
"10","Peroxisomal lipid metabolism Homo sapiens R-HSA-390918","23/27",6.46520913028534e-09,9.44567053934688e-07,0,0,13.0708374303507,246.474565618821,"PECR;PHYH;IDH1;ECI2;HSD17B4;CROT;ALDH3A2;NUDT7;AMACR;SCP2;ACOX2;ACOX1;EHHADH;AGPS;NUDT19;HACL1;MLYCD;ACOX3;ACAA1;HAO2;ABCD1;CRAT;SLC27A2"
