,pvalue,weighted_pvalue,log2FoldChange
Gm14085,7.43E-19,7.07E-19,-7.043019492
Trnp1,1.09E-10,1.19E-10,-6.932319344
Gm42929,1.08E-08,1.49E-08,-6.650622696
B630019A10Rik,1.70E-07,1.62E-07,-6.516055773
Dapl1,1.62E-30,1.54E-30,-6.348512016
BC106179,2.99E-09,3.49E-09,-6.254881148
Dmbt1,5.58E-08,7.72E-08,-6.187488895
Susd4,3.47E-08,5.91E-08,-6.121106434
Gm11695,1.96E-08,2.96E-08,-5.919401558
Gm15675,3.00E-08,3.50E-08,-5.887006164
Gm43698,1.82E-38,1.81E-38,-5.84361644
Nhsl1,1.04E-14,9.92E-15,-5.645188711
Wnt5b,3.14E-16,3.22E-16,-5.617995388
Drc1,2.74E-39,3.49E-39,-5.566958967
Utp14b,2.92E-38,2.99E-38,-5.546707257
Myb,5.41E-22,5.16E-22,-5.511911393
Ccr7,5.60E-86,3.46E-86,-5.408441033
Sox4,7.21E-09,9.30E-09,-5.384989924
Klhl4,4.68E-07,6.48E-07,-5.330457692
Ifngas1,5.96E-23,4.99E-23,-5.325593491
Nsg2,5.36E-118,5.11E-118,-5.26993196
Tmem108,2.92E-22,3.73E-22,-5.254878638
Ccr9,1.87E-07,1.78E-07,-5.230543
Tdrp,3.47E-56,4.03E-56,-5.200937412
Adgra3,1.06E-13,1.09E-13,-5.181027808
Cacna2d4,1.51E-34,1.92E-34,-5.151071299
Gm11342,1.63E-09,2.25E-09,-5.081592648
St6gal1,2.90E-44,2.18E-44,-5.075551316
Rpl31-ps3,4.62E-06,7.15E-06,-5.075374739
Syde2,8.04E-08,7.96E-08,-5.069121383
Igfbp4,4.27E-25,2.65E-25,-4.940497324
Cxcr5,4.39E-23,4.28E-23,-4.832862258
Begain,1.62E-07,1.89E-07,-4.808096859
Gm13919,1.54E-05,2.54E-05,-4.803787973
Kcna2,3.20E-14,3.49E-14,-4.801982275
Art2b,4.28E-13,3.81E-13,-4.682457289
Sell,3.58E-14,2.27E-14,-4.68050539
Gm48876,3.68E-29,3.50E-29,-4.669316231
Auts2,9.08E-14,7.60E-14,-4.663287069
Gm36981,1.54E-05,2.30E-05,-4.611884598
Fst,1.97E-05,2.98E-05,-4.584958786
Gm28809,3.56E-06,5.51E-06,-4.568105531
Slc6a19,1.79E-11,2.31E-11,-4.532261715
Nme4,5.32E-22,5.80E-22,-4.481872067
Cnn3,3.52E-08,2.15E-08,-4.470002736
Tnfrsf25,1.36E-36,1.48E-36,-4.446137096
Tubb2b,5.50E-09,9.37E-09,-4.368861385
Ccr4,7.00E-06,8.88E-06,-4.368083174
Gm4814,4.93E-06,7.35E-06,-4.305923925
Gpr83,1.37E-13,1.41E-13,-4.302066233
Bambi-ps1,6.61E-39,7.20E-39,-4.232257444
Gm43352,1.12E-23,1.15E-23,-4.229537572
Zbtb10,7.16E-15,7.80E-15,-4.213667215
Spo11,1.81E-08,1.97E-08,-4.202742791
Aqp11,5.83E-08,5.55E-08,-4.176720534
Lbp,5.54E-13,7.06E-13,-4.151082763
A530021J07Rik,8.19E-09,8.40E-09,-4.121941781
H2-Ob,1.41E-09,8.62E-10,-4.105433084
Rapgef4,1.99E-44,1.96E-44,-4.086375077
Kcnip3,3.00E-05,4.51E-05,-4.053521193
Gm15340,1.11E-18,1.42E-18,-4.049160064
Ldhb,6.81E-09,6.69E-09,-4.039944246
Gm37065,3.73E-11,1.01E-10,-4.033061388
Sh3pxd2a,1.96E-14,1.64E-14,-4.032208345
Colq,1.64E-06,1.79E-06,-4.029437537
Aldh1l1,8.89E-06,1.52E-05,-3.970897583
Ampd1,1.80E-13,1.79E-13,-3.967897173
Ifngr2,2.84E-96,2.71E-96,-3.949230405
Il6ra,4.32E-38,3.26E-38,-3.897158564
Gm42992,5.22E-05,8.07E-05,-3.875076021
Art4,4.98E-26,5.11E-26,-3.834033502
Gm42778,6.90E-06,1.04E-05,-3.803359523
Mmp15,1.78E-06,2.46E-06,-3.797594445
Cldn10,1.03E-09,9.83E-10,-3.793567561
Zscan10,1.90E-12,1.81E-12,-3.782618047
Gm32633,1.19E-17,1.18E-17,-3.780711664
Gm19705,1.00E-19,9.92E-20,-3.769390183
Gm45155,1.42E-05,2.11E-05,-3.762552206
Pard6g,4.95E-25,6.31E-25,-3.758597818
Vipr1,1.99E-49,1.82E-49,-3.719963779
Lef1,4.83E-64,2.98E-64,-3.712649484
Amigo2,6.80E-39,6.74E-39,-3.697826545
Gm27008,5.57E-08,1.51E-07,-3.686225235
Ptprf,8.79E-05,0.00011156,-3.673849185
Boll,4.30E-13,3.60E-13,-3.663423071
Atp1b1,2.10E-28,1.92E-28,-3.655080994
Slc43a1,8.18E-10,1.04E-09,-3.643324311
Zdhhc14,1.48E-12,1.61E-12,-3.623226316
Acsl3,1.61E-07,1.59E-07,-3.617333922
A930002I21Rik,2.01E-07,1.99E-07,-3.604046373
Igsf23,8.51E-09,9.27E-09,-3.5974649
Maml3,2.77E-08,3.52E-08,-3.594000352
Gm20098,0.000139512,0.000208131,-3.578213784
Hey1,1.32E-34,1.68E-34,-3.577914364
Txk,7.22E-60,8.39E-60,-3.571479913
Cnksr3,3.02E-09,2.99E-09,-3.569207863
Gm42449,1.32E-09,1.30E-09,-3.56858056
Qser1,4.72E-13,4.85E-13,-3.551785949
Treml2,2.25E-29,2.19E-29,-3.550196594
BC035044,5.33E-08,4.46E-08,-3.536684373
Adcy6,2.92E-07,2.89E-07,-3.535438148
H2-Q2,2.35E-07,3.00E-07,-3.50752632
Spats2l,1.59E-05,4.34E-05,-3.499558183
Slc16a5,0.000148792,0.000152681,-3.495408357
Gabrr2,1.23E-18,1.34E-18,-3.491956506
Gm49066,8.85E-05,0.000133783,-3.483994235
A430028G04Rik,6.71E-09,1.14E-08,-3.481599959
Zfp365,3.49E-12,3.58E-12,-3.46739007
Olig3,7.98E-07,2.18E-06,-3.45224082
Ptk2,9.30E-38,1.18E-37,-3.440244907
Gm5538,0.000177011,0.000266572,-3.420944527
St8sia6,2.19E-07,5.96E-07,-3.373790375
A630023P12Rik,2.08E-30,2.14E-30,-3.370493784
Lad1,9.99E-08,8.36E-08,-3.367721542
Ap1m2,1.05E-11,1.04E-11,-3.358772506
Chst15,2.33E-05,2.30E-05,-3.357619402
Ighj1,8.15E-07,1.34E-06,-3.354105387
