,pvalue,weighted_pvalue,log2FoldChange
Nsg2,5.36E-118,5.11E-118,-5.26993196
Cish,1.10E-115,6.76E-116,4.444627416
Ifngr2,2.84E-96,2.71E-96,-3.949230405
Capg,1.16E-92,7.14E-93,3.438206268
Gdpd5,6.11E-92,3.73E-92,2.70837856
B4galnt4,2.53E-90,2.31E-90,6.703067568
Ccr7,5.60E-86,3.46E-86,-5.408441033
Sqle,5.14E-81,4.70E-81,2.498033875
Jaml,3.91E-80,2.48E-80,2.804955288
Adgrg1,5.39E-76,5.14E-76,5.47650433
Abtb2,7.67E-72,4.75E-72,-2.122025407
Cdh1,8.73E-71,5.41E-71,5.039358107
Krt83,9.56E-70,1.21E-69,5.533398509
Lef1,4.83E-64,2.98E-64,-3.712649484
Tcrg-C2,8.82E-64,8.42E-64,4.837422411
Rbpj,2.61E-61,3.37E-61,2.963773518
Txk,7.22E-60,8.39E-60,-3.571479913
Ccdc50,1.55E-58,1.48E-58,2.123801292
Itgae,1.35E-57,1.17E-57,4.852191813
Galnt3,6.28E-57,6.19E-57,4.93720333
Tdrp,3.47E-56,4.03E-56,-5.200937412
Itga1,1.11E-55,6.87E-56,8.396906253
Aff3,2.97E-53,2.65E-53,-2.860677124
Nedd4l,1.22E-52,9.55E-53,-2.096084932
Vipr1,1.99E-49,1.82E-49,-3.719963779
Dgka,2.09E-49,1.81E-49,-1.469506391
Limd2,4.10E-49,2.51E-49,-1.503279133
Il6st,6.31E-49,4.00E-49,-2.630847596
Itsn1,8.42E-49,6.35E-49,5.328325573
Hmgn1,1.48E-48,1.41E-48,-2.855130849
Trim13,3.62E-48,3.53E-48,-1.838510202
Rasgrp2,5.08E-48,3.11E-48,-2.212028407
Ccr8,1.99E-47,1.94E-47,3.81169327
Crmp1,3.41E-47,3.04E-47,3.021985986
Rgs1,9.46E-47,5.79E-47,2.226283955
Cmah,2.48E-46,2.37E-46,-3.042076464
Qpct,1.02E-45,9.72E-46,3.569555764
Mapkapk3,3.52E-45,2.16E-45,2.590420925
Bach2,4.20E-45,4.00E-45,-2.585062846
Gm49751,8.60E-45,8.44E-45,3.566704059
Rab3ip,1.86E-44,1.76E-44,-2.024172105
Rapgef4,1.99E-44,1.96E-44,-4.086375077
St6gal1,2.90E-44,2.18E-44,-5.075551316
Adgrg3,4.62E-44,4.56E-44,3.075716603
Arl5c,6.18E-44,4.66E-44,-2.963268621
Osgin1,1.35E-42,1.34E-42,4.498030165
Pecam1,4.43E-42,4.20E-42,-2.854119626
Pdk1,4.59E-42,2.91E-42,-2.427335987
Ier5l,5.01E-42,4.66E-42,3.185267293
Ppp2r2c,1.98E-41,2.03E-41,5.373880295
A930005H10Rik,5.21E-41,5.16E-41,-2.479324497
Trgv2,1.23E-40,1.20E-40,4.747343981
Ift80,1.32E-40,8.06E-41,-2.227671969
Vim,2.84E-40,2.46E-40,2.066237037
Pitpnm2,3.18E-40,3.15E-40,-2.738447716
L1cam,1.04E-39,9.67E-40,3.511515781
Cxcr6,1.50E-39,9.29E-40,4.098281638
Adamts14,1.71E-39,2.18E-39,3.318798907
Tnfsf8,2.10E-39,2.05E-39,-3.207180233
Drc1,2.74E-39,3.49E-39,-5.566958967
Dtx1,3.01E-39,1.84E-39,-3.046436593
Bambi-ps1,6.61E-39,7.20E-39,-4.232257444
Amigo2,6.80E-39,6.74E-39,-3.697826545
1810041H14Rik,1.40E-38,1.78E-38,-3.002884781
Patj,1.48E-38,1.91E-38,-2.795376759
Slc1a4,1.74E-38,1.72E-38,4.020201153
Gm43698,1.82E-38,1.81E-38,-5.84361644
Utp14b,2.92E-38,2.99E-38,-5.546707257
Il6ra,4.32E-38,3.26E-38,-3.897158564
Ptk2,9.30E-38,1.18E-37,-3.440244907
Car2,1.48E-37,1.35E-37,1.971002189
Tjp1,2.47E-37,2.43E-37,10.48193556
Tnfrsf25,1.36E-36,1.48E-36,-4.446137096
Gpr18,1.61E-36,1.52E-36,-2.224473328
Zfp281,1.18E-35,7.29E-36,-1.472624084
Mfhas1,2.35E-35,1.77E-35,-1.566453553
AA467197,2.43E-35,2.38E-35,4.841995814
Id3,4.67E-35,3.66E-35,-3.161610843
Mdfic,9.96E-35,9.12E-35,3.392917153
Smad1,1.17E-34,1.07E-34,-1.890010388
Hey1,1.32E-34,1.68E-34,-3.577914364
Cacna2d4,1.51E-34,1.92E-34,-5.151071299
Hpgds,4.60E-34,5.87E-34,3.463862657
Sidt1,1.02E-33,6.29E-34,-2.825755582
Chst12,1.35E-33,1.57E-33,2.198886342
Trib2,2.10E-33,1.96E-33,-2.002217614
Slamf6,2.47E-33,2.87E-33,-3.279232918
Tcf7,2.49E-33,1.52E-33,-2.3980467
Tnfsf10,4.27E-33,3.35E-33,2.887949838
Ptger4,4.54E-33,2.88E-33,1.671786721
Golim4,7.71E-33,5.81E-33,1.755476513
Pde4a,1.61E-32,1.65E-32,4.04498825
Gzmb,2.04E-32,1.29E-32,4.093200677
Gm26780,2.80E-32,2.77E-32,5.049468394
Ppic,5.73E-32,5.65E-32,-2.75428379
Arhgef12,3.49E-31,3.40E-31,2.565506155
Acp5,4.03E-31,2.47E-31,-1.699783396
Armcx2,4.08E-31,4.04E-31,-2.042960592
Gng2,8.81E-31,1.02E-30,2.092487129
Ephx1,1.50E-30,9.14E-31,-2.575177413
Dapl1,1.62E-30,1.54E-30,-6.348512016
A630023P12Rik,2.08E-30,2.14E-30,-3.370493784
Lgals1,2.25E-30,1.42E-30,2.304951662
AU020206,2.94E-30,2.69E-30,2.785193371
Glrx,3.22E-30,2.94E-30,2.419045513
Rras2,1.14E-29,1.06E-29,-2.15015045
Xcr1,1.30E-29,1.29E-29,3.555573996
Pacsin1,1.68E-29,1.32E-29,-2.578273716
Treml2,2.25E-29,2.19E-29,-3.550196594
Adam19,3.58E-29,2.21E-29,2.147506928
Gm48876,3.68E-29,3.50E-29,-4.669316231
Ikbke,3.66E-29,3.18E-29,-1.808576039
St14,3.82E-29,3.50E-29,2.883023817
Dph5,4.84E-29,4.43E-29,-1.735038042
Grk6,9.25E-29,8.02E-29,-1.115001181
Atp1b1,2.10E-28,1.92E-28,-3.655080994
Ly6a,2.40E-28,1.49E-28,2.460343999
Tlr1,2.74E-28,2.81E-28,-3.007076264
Stard3nl,3.52E-28,3.22E-28,1.430780148
Asns,4.43E-28,3.94E-28,4.062357832
Rflnb,4.53E-28,4.32E-28,-3.099390186
Ccdc92,7.47E-28,6.82E-28,1.333191019
Adap1,1.12E-27,8.78E-28,3.094510376
Clic4,3.01E-27,2.80E-27,1.701337291
Gpaa1,5.14E-27,3.18E-27,1.52883391
Gm20324,5.56E-27,7.09E-27,-2.458690387
Pkp4,6.96E-27,6.21E-27,-3.259088828
C230096K16Rik,7.88E-27,1.00E-26,-3.069567576
Adk,8.06E-27,7.18E-27,-1.515198582
Cpm,1.07E-26,9.81E-27,-2.555862158
Ly6g5b,1.34E-26,1.33E-26,3.906341015
Trgj2,2.09E-26,1.99E-26,5.148888697
Nck2,2.17E-26,1.99E-26,-2.023840977
Camk2n1,2.34E-26,2.40E-26,3.498926295
Sh2b1,3.68E-26,3.49E-26,0.750765307
Art4,4.98E-26,5.11E-26,-3.834033502
Ighm,5.48E-26,3.40E-26,-2.455646571
2900026A02Rik,7.96E-26,8.17E-26,4.232594276
Dglucy,1.45E-25,1.43E-25,-1.569601468
Tjp3,1.80E-25,1.60E-25,1.781671033
Dubr,2.03E-25,2.21E-25,2.129423735
S100a4,2.13E-25,2.09E-25,4.018312119
Adrb1,2.37E-25,3.01E-25,4.006277607
Ms4a4c,2.95E-25,2.88E-25,-3.200138984
Igfbp4,4.27E-25,2.65E-25,-4.940497324
Pqlc3,4.77E-25,4.55E-25,2.017367068
Pard6g,4.95E-25,6.31E-25,-3.758597818
Rab8b,5.18E-25,3.21E-25,1.302269509
Dkkl1,5.66E-25,3.45E-25,4.311792509
Soat2,6.19E-25,6.04E-25,3.50897078
Nbeal2,8.18E-25,5.01E-25,1.307673598
Pdlim1,1.33E-24,1.24E-24,-1.425191111
Man1a,1.80E-24,1.11E-24,-0.948721765
Idh2,2.20E-24,2.10E-24,-1.633791896
Ggt1,2.42E-24,2.22E-24,-2.520352902
Ndfip1,3.83E-24,3.32E-24,0.98914257
Spats2,4.11E-24,4.07E-24,3.462124997
Apol9b,4.86E-24,5.29E-24,3.865904749
Sema4a,7.20E-24,4.47E-24,1.251397511
Gm28875,8.99E-24,8.90E-24,2.910509867
Gm43352,1.12E-23,1.15E-23,-4.229537572
Ccl4,1.22E-23,7.48E-24,3.570298687
Siah1a,1.37E-23,8.39E-24,-1.220784521
Hcn3,1.43E-23,1.56E-23,-2.282543265
Zfp683,1.45E-23,1.44E-23,3.645178904
Csrp1,2.25E-23,2.15E-23,-1.026236346
