"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"MTND1P23",695.859858933689,-1.3001458653757,0.298352263969566,3.3114476557753e-06,9.23054672721921e-06,"MTND1P23"
"MTND2P28",44444.1594230053,-1.36802604044856,0.197950210158441,1.06120722538455e-12,4.80199027711141e-12,"MTND2P28"
"MTCO1P12",5582.84884654574,-2.790900382282,0.289500805151029,8.90089403892141e-23,6.73747922195822e-22,"MTCO1P12"
"MTCO2P12",759.09056907109,-2.00818771004767,0.335734838068469,2.96781767037399e-10,1.14819683762901e-09,"MTCO2P12"
"MTATP8P1",168.281675797858,-2.10298449052586,0.279879392797275,7.90007027360239e-15,4.04523430295536e-14,"MTATP8P1"
"MTATP6P1",138965.718479552,-2.5444821577553,0.179902039463935,3.48876064431812e-46,6.38774462442549e-45,"MTATP6P1"
"MTCO3P12",2263.89668316403,-1.83189031970593,0.459689709779772,9.7153034496963e-06,2.58896309106881e-05,"MTCO3P12"
"LINC01409",127.37951448022,-1.51318060689623,0.226503705793158,4.29223706781946e-12,1.87566819772312e-11,"LINC01409"
"LINC01128",2049.04231887523,-1.32174161287729,0.294848519099295,1.7928034543017e-06,5.11867143118827e-06,"LINC01128"
"LINC00115",147.211427234023,-1.38283821815562,0.16356867372675,5.99960534355581e-18,3.61387852910468e-17,"LINC00115"
"LINC02593",73.1070010451966,-0.996774961183106,0.399723127151236,0.00516512603502262,0.00988168884829099,"LINC02593"
"SAMD11",150.534627572405,-1.05871354602539,0.360145083183311,0.00122325769883543,0.00256179490723255,"SAMD11"
"NOC2L",2640.66987263434,-0.5873335335557,0.115194302449812,2.48540080021547e-07,7.67122947828636e-07,"NOC2L"
"KLHL17",605.373548577151,-0.779882647837521,0.132654716594062,2.38534768596789e-09,8.62399287390338e-09,"KLHL17"
"PLEKHN1",26.7631470689575,-0.674527209501942,0.228598147751969,0.00204453939841133,0.00415217849962658,"PLEKHN1"
"LOC100288175",71.3470006834874,-1.61248656234576,0.364995399033099,1.68543561398595e-06,4.82432984322716e-06,"LOC100288175"
"SDF4",6501.59115211929,-0.848280898923465,0.118859931742497,5.03715595781276e-13,2.32561040410185e-12,"SDF4"
"B3GALT6",1012.8372169705,-0.780528759748423,0.13143268530608,1.66040388361182e-09,6.07220323154501e-09,"B3GALT6"
"C1QTNF12",53.5336528745885,-1.2025984749764,0.353747955453959,0.000200662039138527,0.000463746517972653,"C1QTNF12"
"UBE2J2",2099.75268832951,-0.852220740746792,0.101924570424745,3.26085932736676e-17,1.89019408536688e-16,"UBE2J2"
"SCNN1D",1379.18420146953,-2.05624346590175,0.195681841036008,1.12017102930159e-26,1.00229811306113e-25,"SCNN1D"
"ACAP3",7205.59965940413,-0.533001836838267,0.122302148412227,1.00520593705887e-05,2.67379162601472e-05,"ACAP3"
"PUSL1",352.063161253317,-0.858096694314105,0.175579189558091,5.27012313946882e-07,1.57694796395793e-06,"PUSL1"
"CPTP",2577.85319821192,-2.08441539092329,0.13396886277354,2.01712136320048e-55,4.92827879491813e-54,"CPTP"
"TAS1R3",69.2887327355258,-1.40715165739844,0.308542103701443,1.09450894062564e-06,3.18464367243255e-06,"TAS1R3"
"DVL1",5343.5421472261,-1.07583321921935,0.0977125470651885,1.24896492966704e-28,1.20954273719535e-27,"DVL1"
"AURKAIP1",4004.20750173034,-1.56895531418712,0.118871398654813,1.46347828480299e-40,2.23162126642105e-39,"AURKAIP1"
"CCNL2",15510.4649897767,-0.772415161550021,0.172683519349014,4.47454655219574e-06,1.23126815214729e-05,"CCNL2"
"MRPL20-AS1",1354.17999351966,-2.35532873739716,0.168366983238121,2.91269226219337e-45,5.19256846999681e-44,"MRPL20-AS1"
"MRPL20",2296.19026783939,-0.704081426680691,0.0987321963532844,6.35413148273424e-13,2.91377669904371e-12,"MRPL20"
"TMEM88B",140.746428195703,-1.20967049421394,0.609786719554294,0.0146892612634044,0.0261519150886543,"TMEM88B"
"VWA1",4573.23035909364,-0.932304495354028,0.244644225186962,6.32218103209463e-05,0.000154837531756292,"VWA1"
"ATAD3C",340.851614419353,-2.79572691756136,0.27058184339117,8.43771792791697e-26,7.27630773025322e-25,"ATAD3C"
"ATAD3B",1259.69885456197,-0.988272239690913,0.158258597361919,1.79569759966898e-10,7.05747146144412e-10,"ATAD3B"
"ATAD3A",1143.6958895839,-1.58827290600007,0.14022226275234,1.56142510368949e-30,1.63197045056973e-29,"ATAD3A"
"SSU72",5727.33143844881,-0.774125366694589,0.129096244323361,1.17493375908957e-09,4.34109954380085e-09,"SSU72"
"MIB2",3451.89051431167,-1.18380610518263,0.142996098265882,3.74916951395905e-17,2.16378002617523e-16,"MIB2"
"MMP23A",19.1940216017098,-2.35570637439131,0.751800153330927,0.000188431772704401,0.000436839964920482,"MMP23A"
"CDK11A",1348.01903524731,-0.50310251326034,0.124133770966327,3.98156095447297e-05,9.9774812962599e-05,"CDK11A"
"NADK",5633.12471849532,-1.75745970968938,0.193569413196563,1.57589944261144e-20,1.07435507536458e-19,"NADK"
"CALML6",94.9510425690571,-2.54027883740231,0.361194693118535,2.95843881801468e-13,1.3824348998229e-12,"CALML6"
"TMEM52",181.313784366056,-3.49614460718347,0.310655609663652,2.79215354317863e-30,2.88857528013662e-29,"TMEM52"
