"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"MTND1P23",695.859858933689,-1.10076135685359,0.348156150086125,0.000551282924809146,0.00203779077922976,"MTND1P23"
"MTND2P28",44444.1594230053,-1.42869460414119,0.232968359404361,1.84925738435895e-10,1.33992684294058e-09,"MTND2P28"
"MTCO1P12",5582.84884654574,-2.29757312372862,0.34054395700154,2.70262447922059e-12,2.25694410933527e-11,"MTCO1P12"
"MTCO2P12",759.09056907109,-1.72182953375945,0.395013119427573,2.37680368678033e-06,1.1820303725317e-05,"MTCO2P12"
"MTATP8P1",168.281675797858,-0.94092729699106,0.32337128447169,0.00161940951738428,0.00556632352818575,"MTATP8P1"
"MTATP6P1",138965.718479552,-2.14691810215574,0.211115940400068,5.48377361248762e-25,9.95520587874823e-24,"MTATP6P1"
"MTCO3P12",2263.89668316403,-1.12229952552601,0.519811387722312,0.011076147115347,0.0328632562040205,"MTCO3P12"
"SAMD11",150.534627572405,-1.30047135376913,0.429457969317676,0.000671022507223988,0.00244888060361652,"SAMD11"
"HES4",707.587178880419,-1.56973512732069,0.495288838653752,0.000317052149472538,0.0012110397869661,"HES4"
"AGRN",4523.42343589847,-0.533256240167315,0.150655336249436,0.000312364769890881,0.00119436501590857,"AGRN"
"LOC100288175",71.3470006834874,-3.87183874598247,0.413780635394794,3.66431980588661e-22,5.75540429296453e-21,"LOC100288175"
"B3GALT6",1012.8372169705,-0.608575991050218,0.153133103838427,5.10065470323358e-05,0.000216385294292412,"B3GALT6"
"SCNN1D",1379.18420146953,-1.10138398986104,0.228921499120934,5.08649627196969e-07,2.70653224135089e-06,"SCNN1D"
"ACAP3",7205.59965940413,-1.96449304629723,0.144307562696919,6.75291600272803e-43,2.76039748636938e-41,"ACAP3"
"DVL1",5343.5421472261,-1.05059637908602,0.114567813683929,1.71288611276042e-20,2.45093626962322e-19,"DVL1"
"AURKAIP1",4004.20750173034,-1.04658234480779,0.139041879763336,1.90016233113341e-14,1.84712474893631e-13,"AURKAIP1"
"MRPL20-AS1",1354.17999351966,-0.816170157451878,0.195775696071873,1.66640249501867e-05,7.53952953261658e-05,"MRPL20-AS1"
"MRPL20",2296.19026783939,-0.548238714662345,0.115230731650127,1.51620288327286e-06,7.69022566505432e-06,"MRPL20"
"ANKRD65",513.795817992509,-1.24043254004728,0.248875949622114,1.69961393958528e-07,9.53155195627207e-07,"ANKRD65"
"TMEM88B",140.746428195703,-7.73793921974711,0.67755687979774,1.52637855314423e-31,3.88316822314937e-30,"TMEM88B"
"ATAD3C",340.851614419353,-1.64098834713555,0.323449780051216,7.35172748598298e-08,4.28170218892042e-07,"ATAD3C"
"TMEM240",331.560385932408,-3.4753792024337,0.264072734935701,1.06072289140424e-40,3.98783855548584e-39,"TMEM240"
"SSU72",5727.33143844881,-0.626558643719903,0.150611018905454,2.25247895667326e-05,0.000100229079774109,"SSU72"
"FNDC10",253.533436444855,-3.73356331803625,0.300849277541151,1.20316022286149e-36,3.84333995693537e-35,"FNDC10"
"MIB2",3451.89051431167,-0.751324064080663,0.166272687302581,3.74273121202836e-06,1.82298939727545e-05,"MIB2"
"GNB1",17987.1042107102,-1.13448803511704,0.157693546196333,1.97263138344077e-13,1.79156231934222e-12,"GNB1"
"CFAP74",184.679000530663,-5.69828593573838,0.688848402389475,3.68142215373427e-18,4.54733412510557e-17,"CFAP74"
"GABRD",1279.66081078666,-7.74990741140709,0.527436384044074,3.57417549373786e-50,1.92411110424604e-48,"GABRD"
"PRKCZ",1665.54523074846,-7.24705613358364,0.325777630973927,7.85076609595018e-111,2.52454468425438e-108,"PRKCZ"
"PRKCZ-AS1",147.883767395206,-1.62158226833734,0.324160215426323,1.07619581762659e-07,6.15561547055836e-07,"PRKCZ-AS1"
"LOC100129534",116.985645611436,-0.62847596934247,0.223815175870352,0.003454003601896,0.0112236502113617,"LOC100129534"
"PEX10",951.639386672119,-0.792477264776506,0.248112306704645,0.000785902208500287,0.002841678637707,"PEX10"
"PLCH2",1173.00705745208,-4.7489194886658,0.37842115460735,9.61619624878063e-38,3.19007720811509e-36,"PLCH2"
