"","baseMean","log2FoldChange","lfcSE","pvalue","padj","SYMBOL"
"HES4",707.587178880419,-3.6810644239189,0.536704149652252,4.92831483321807e-13,2.45465044995349e-12,"HES4"
"AGRN",4523.42343589847,-0.584143839765491,0.164121929362838,0.000298170725062377,0.000696173460071688,"AGRN"
"LOC100288175",71.3470006834874,-2.1244979605804,0.447798536959529,3.39765085639846e-07,1.08201346965498e-06,"LOC100288175"
"ACAP3",7205.59965940413,-1.41588650492273,0.156907097064641,5.45135731399515e-20,3.95167704956685e-19,"ACAP3"
"ANKRD65",513.795817992509,-3.85613042537332,0.277344853562798,3.8433497135775e-45,7.49170414098309e-44,"ANKRD65"
"TMEM88B",140.746428195703,-6.24762572866352,0.728471177883466,3.51557489974415e-19,2.46284250334572e-18,"TMEM88B"
"TMEM240",331.560385932408,-4.62270756746478,0.298036540650381,1.04803894633394e-55,2.87145706636297e-54,"TMEM240"
"FNDC10",253.533436444855,-4.27398530376254,0.337966142582602,5.21875367105936e-38,8.04654696842943e-37,"FNDC10"
"GNB1",17987.1042107102,-2.25200593053928,0.171517179187644,3.67654520295077e-40,6.04823448694931e-39,"GNB1"
"GABRD",1279.66081078666,-9.08457073733037,0.597910344725965,3.1865024719594e-53,8.18576482404612e-52,"GABRD"
"PRKCZ",1665.54523074846,-3.00507422328017,0.351842301232733,1.64551066060521e-18,1.10964526995704e-17,"PRKCZ"
"PLCH2",1173.00705745208,-0.962455332867579,0.396886028501905,0.00822375331798512,0.0155198892677808,"PLCH2"
"HES5",65.8434662460896,-3.87332253990758,0.684741316238037,8.99111039621792e-10,3.57287283737539e-09,"HES5"
"PRXL2B",1047.08814502402,-1.8687175557676,0.169951937224889,7.72105565321206e-29,8.29176604111427e-28,"PRXL2B"
"PRDM16-DT",1289.98384400036,-5.86377822828136,0.501461460519296,4.69863563258192e-33,5.99469563726438e-32,"PRDM16-DT"
"PRDM16",571.73346574333,-3.47347814581043,0.495893051388042,2.09355245069359e-13,1.06644812765895e-12,"PRDM16"
"TP73",27.7565225521643,-0.981595619949432,0.47848678917605,0.0210818428965515,0.0369392976494843,"TP73"
"AJAP1",775.988277005735,-5.40741183900355,0.368628267863628,3.20047392331789e-50,7.43207614494864e-49,"AJAP1"
"NPHP4",809.018797847306,-1.04264124231583,0.275962624892118,7.79559049471068e-05,0.000195174834088545,"NPHP4"
"KCNAB2",5435.29321420485,-3.86091635574405,0.390978176738107,3.37047328160808e-24,2.9747453496742e-23,"KCNAB2"
"CHD5",654.234315540133,-7.7083003987605,0.46712746129441,2.58928113532574e-62,8.67850696919354e-61,"CHD5"
"ICMT",3689.96718299599,-1.40217591734656,0.200496025438965,8.21069706286887e-13,4.03151180361686e-12,"ICMT"
"ACOT7",1655.50722286915,-2.31995930012954,0.298988338693015,1.33728092947388e-15,7.75022599929252e-15,"ACOT7"
"PLEKHG5",2236.82185290922,-1.81882238796496,0.3249455868108,4.35378755854609e-09,1.63741322733272e-08,"PLEKHG5"
"CAMTA1",2692.28428945085,-2.34692105141916,0.206040641849364,7.5112849288484e-31,8.74460519400933e-30,"CAMTA1"
"VAMP3",5528.23795773347,-1.09884445607085,0.121537739001966,7.11328876604805e-20,5.13191022579176e-19,"VAMP3"
"PARK7",7730.26198201486,-0.557627845414187,0.119236911046407,2.40380956771705e-06,7.08698143019502e-06,"PARK7"
"SLC45A1",425.608716439029,-5.77113599003236,0.445097575621101,6.40989019126037e-40,1.04713203462268e-38,"SLC45A1"
"ENO1",28744.2580892845,-1.03249081568722,0.212687677698427,6.0436989778649e-07,1.87929553744244e-06,"ENO1"
"SLC2A5",473.502265003384,-4.07558411299166,0.431007933550913,1.67201849573413e-22,1.36389257053633e-21,"SLC2A5"
"TMEM201",756.761169552953,-1.11759325048566,0.185484626686114,7.55873118463609e-10,3.01982511149105e-09,"TMEM201"
"CLSTN1",7369.37827757308,-3.83249638949214,0.244950775414077,2.31780765391683e-56,6.46672580511759e-55,"CLSTN1"
"CTNNBIP1",1642.76636667256,-0.659606848585195,0.237940444008149,0.00412714908582036,0.0081767363244693,"CTNNBIP1"
"LZIC",763.119790168821,-0.772544930955976,0.173245790467194,5.59241127810388e-06,1.58925468155947e-05,"LZIC"
"RBP7",2532.42279316828,-1.66335774044876,0.412282192559007,1.28075342989537e-05,3.50842606982756e-05,"RBP7"
"KIF1B",8863.22503553096,-2.65365504880397,0.129476532179743,3.72660641760879e-94,2.97221250589757e-92,"KIF1B"
"CENPS",327.302840065136,-0.67665303661258,0.205589001215373,0.000736226496307848,0.00162894790581054,"CENPS"
"CORT",734.244874323957,-4.82971717440293,0.270609879065787,9.90612889687973e-73,4.45805065142149e-71,"CORT"
"C1orf127",23.4109398684842,-2.41317118869864,0.557723828811371,2.0656595931757e-06,6.12500737958969e-06,"C1orf127"
"DISP3",266.347686373652,-8.59110715695758,0.63145944322457,3.00650154707021e-43,5.52134313650321e-42,"DISP3"
"FBXO2",2929.37732164946,-3.09786371573534,0.346760093365988,4.85954393406389e-20,3.53777120762544e-19,"FBXO2"
"FBXO44",3948.82000259047,-1.61153185799184,0.214368200330227,1.33876134945436e-14,7.34258182427111e-14,"FBXO44"
"DRAXIN",53.2676899301818,-3.93531509137514,0.589792835260242,1.44299195574747e-12,6.98389768320225e-12,"DRAXIN"
"NPPB",27.4881519860418,-4.35745385256934,1.0112795279031,6.48540580450009e-07,2.00946668001326e-06,"NPPB"
"TNFRSF8",355.982389230343,-5.05893999268141,0.588543044291988,2.59336018417583e-19,1.82855599933545e-18,"TNFRSF8"
"VPS13D",4637.17135952493,-0.77242236933493,0.130060470880272,1.95901245878574e-09,7.5838923229765e-09,"VPS13D"
"LRRC38",13.1062319449286,-6.14825227709696,1.71787670142271,7.53384949364079e-06,2.11104380136811e-05,"LRRC38"
"PDPN",425.991108473936,-5.16300435982689,0.474602483362724,4.5154583710941e-29,4.89930449402151e-28,"PDPN"
"PRDM2",3187.61859998562,-1.13922635543707,0.136936640387524,3.84202664440026e-17,2.41899205982522e-16,"PRDM2"
"KAZN",1574.99045530806,-2.34552259354666,0.352344900386388,4.25889955396282e-12,1.99901236651649e-11,"KAZN"
"TMEM51-AS1",47.3301061526801,-1.30532424074088,0.559687331736879,0.00713342804683101,0.0136003850001752,"TMEM51-AS1"
"TMEM51",306.57104965843,-1.3084350184721,0.437278870681265,0.000984631751444064,0.00214062905460584,"TMEM51"
"PLEKHM2",5320.20636082569,-1.6451934306555,0.0839980327238962,4.67611969651637e-86,3.10386359027809e-84,"PLEKHM2"
"SRARP",74.1483603053618,-8.85695188228144,0.825678535000201,5.62750123813851e-28,5.81393964809651e-27,"SRARP"
"FAM131C",104.103072826661,-5.76365791857569,0.849976186125671,3.61624297059409e-13,1.81838710323635e-12,"FAM131C"
"CPLANE2",142.067437112893,-1.01242224493647,0.242329388828717,1.51014927704788e-05,4.10361380876005e-05,"CPLANE2"
"LINC01772",112.834849202922,-1.26223914157463,0.437025751479288,0.0014577154037922,0.00308782696289627,"LINC01772"
"CROCCP3",412.691806579868,-1.54088435325675,0.284705257168765,1.62884758453761e-08,5.85144432945495e-08,"CROCCP3"
"CROCC",2048.87944807111,-0.606760173385816,0.205518401853655,0.00245476984532552,0.00502752573793579,"CROCC"
"ATP13A2",2414.81455170173,-3.00342412046942,0.209967968192956,2.7455404196038e-47,5.77682182072299e-46,"ATP13A2"
"PADI2",3012.42486665133,-6.64414835010109,0.424082467779968,1.22130647982795e-56,3.43895975239538e-55,"PADI2"
"IGSF21",309.38945707632,-6.28507638369307,0.526034405491316,2.63140296582925e-34,3.50550739658591e-33,"IGSF21"
"PAX7",12.652162536823,-5.3380181446504,1.08993956474664,2.78539569673505e-08,9.79938229704698e-08,"PAX7"
"CAPZB",7649.13534719512,-0.67297556830498,0.144951274740573,2.57769055466434e-06,7.5725097029176e-06,"CAPZB"
"MICOS10",2585.37119927671,-1.44206191397541,0.110398911585646,1.56435144935344e-39,2.52041753608943e-38,"MICOS10"
"HTR6",85.2606282676444,-8.33363056839413,0.936107311249426,3.56009772494068e-20,2.60421362270751e-19,"HTR6"
"OTUD3",981.156005616988,-0.899557841346804,0.130514775795594,3.25245482930228e-12,1.53870405721044e-11,"OTUD3"
"PLA2G5",390.133855434028,-1.13956737850966,0.454983755348956,0.00535812762211554,0.0104184105088387,"PLA2G5"
"CAMK2N1",9259.33303449338,-2.52823725390251,0.1845967867672,1.69316216119759e-43,3.13209299120868e-42,"CAMK2N1"
