,neg1,neg2,neg3,neg4,neg5,pos1,pos2,pos3,pos4,pos5
Xkr4,0,0,0,0,0,0,0,0,0,0
Rp1,0,0,0,0,0,0,0,0,0,0
Sox17,1,1,0,0,0,0,0,0,0,3
Mrpl15,66,52,101,75,26,91,68,150,28,120
Lypla1,506,395,512,290,225,511,303,405,300,563
Tcea1,37,30,72,44,29,48,29,62,22,46
Rgs20,0,0,0,0,0,0,0,0,0,0
Atp6v1h,293,345,595,119,259,442,136,239,188,379
Oprk1,0,0,0,0,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0,0,0,0,0
Rb1cc1,15,38,48,18,8,50,20,47,11,50
Fam150a,0,0,0,0,0,0,0,0,0,0
St18,0,0,0,0,0,0,0,0,0,0
Pcmtd1,110,68,85,29,8,56,23,36,18,114
Sntg1,0,0,0,0,0,0,0,0,0,0
Rrs1,102,72,36,57,31,87,42,75,31,132
Adhfe1,0,0,0,0,0,1,0,0,0,0
2610203C22Rik,0,0,0,0,0,0,0,0,0,0
3110035E14Rik,0,0,0,0,0,0,0,0,0,0
Mybl1,0,11,0,0,0,0,0,0,0,0
Vcpip1,17,155,59,18,15,86,29,68,14,83
1700034P13Rik,0,0,0,0,0,0,0,0,0,0
Sgk3,3,0,19,8,0,30,28,17,20,64
Mcmdc2,0,0,0,0,0,1,0,0,0,0
Snhg6,48,47,127,38,87,120,69,113,33,134
Snord87,1,0,0,0,0,1,0,0,0,0
Ppp1r42,0,0,0,0,0,0,0,0,0,0
Cops5,22,14,33,44,30,57,21,101,33,58
Cspp1,2,14,66,29,34,65,28,29,16,45
Arfgef1,139,106,127,55,63,112,69,115,76,97
Cpa6,0,0,0,0,0,0,0,0,0,0
Mir467e,0,0,0,0,0,0,0,0,0,0
Prex2,10,17,21,13,13,26,20,42,14,52
A830018L16Rik,1,0,0,0,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0,0,0,0,0
Sulf1,0,0,0,0,0,0,0,0,0,0
Slco5a1,0,0,0,0,0,0,0,0,0,2
Prdm14,0,0,0,0,0,0,0,0,0,0
Ncoa2,43,116,45,68,56,82,53,65,28,108
Tram1,588,886,1007,540,510,855,515,711,366,882
Lactb2,0,21,0,13,28,48,5,20,7,13
